rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.65018979147193,79.51240270825113,002240,盛新锂能,bottom_area,2022-01-21,44.91,2022-01-20,44.44,1.0576057605760552,5.355535553555361,27.027914614121514,False,0.38,2.5146,1,1,1,100.0,15.073891625615756,15.073891625615756,13.942394239423944,1.0576057605760552,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
2,87.37691715302833,78.95778711484593,600418,江淮汽车,bottom_area,2022-01-21,13.88,2022-01-21,13.6,2.058823529411773,2.794117647058829,27.38921516284037,False,0.5797,1.5599,1,1,1,100.0,24.365079365079367,24.365079365079367,12.941176470588225,2.058823529411773,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
3,84.44692533270337,75.36367915842959,600032,浙江新能,bottom_area,2022-01-21,13.13,2022-01-20,12.95,1.3899613899614016,5.328185328185339,28.92425905598244,False,-0.5303,3.272,1,1,1,100.0,19.31608133086876,19.31608133086876,13.610038610038597,1.3899613899614016,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
4,84.16900065081562,73.8775944577028,300484,蓝海华腾,bottom_area,2022-01-21,14.07,2022-01-21,14.0,0.500000000000002,2.7857142857142896,31.773879142300192,False,-1.5395,1.5819,2,2,2,100.0,23.589217514531214,28.708133971291865,14.499999999999996,0.500000000000002,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
5,84.05412188685048,77.36764404777529,002256,兆新股份,bottom_area,2022-01-21,3.72,2022-01-21,3.61,3.0470914127423914,6.648199445983385,29.2156862745098,False,1.087,8.3352,1,1,1,100.0,27.930174563591027,27.930174563591027,11.952908587257607,3.0470914127423914,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
6,83.80277267124148,73.95498141263938,601798,蓝科高新,bottom_area,2022-01-21,7.66,2022-01-21,7.6,0.789473684210533,3.157894736842108,28.30188679245283,False,0.3932,2.228,1,1,1,100.0,21.74721189591078,21.74721189591078,14.210526315789467,0.789473684210533,历史1/1次成功; 当前距低点0.79%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
7,83.68227465546786,74.1567738162284,300567,精测电子,bottom_area,2022-01-21,56.87,2022-01-21,56.3,1.0124333925399651,5.27531083481351,27.82051282051282,False,-3.6755,2.2546,1,1,1,100.0,18.414634146341452,18.414634146341452,13.987566607460034,1.0124333925399651,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
8,80.33909270464017,70.02549950577122,688289,圣湘生物,bottom_area,2022-01-21,55.4,2022-01-21,55.33,0.12651364540032584,5.548527019699983,29.50694355968913,False,-6.5452,3.439,1,1,1,100.0,25.182530200451346,25.182530200451346,14.873486354599674,0.12651364540032584,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-6.55%; 状态bottom_area; 底部未确认
9,79.70159402565645,70.10099106275382,603230,内蒙新华,bottom_area,2022-01-21,16.48,2022-01-21,16.38,0.6105006105006192,5.982905982905986,28.440366972477072,False,-4.9596,21.8448,1,1,1,100.0,31.521142229544196,31.521142229544196,14.38949938949938,0.6105006105006192,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-4.96%; 状态bottom_area; 底部未确认
10,79.06966927251416,68.97114423712802,001296,长江材料,bottom_area,2022-01-21,36.0,2022-01-21,35.94,0.16694490818030683,4.59098497495828,28.406374501992037,False,-4.4839,14.8695,1,1,1,100.0,20.009562514941443,20.009562514941443,14.833055091819691,0.16694490818030683,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
11,78.89333627567652,69.29027042906829,688286,敏芯股份,bottom_area,2022-01-21,73.5,2022-01-21,73.11,0.5334427574887164,2.9544521953221126,31.352112676056336,False,-1.4481,0.9403,1,1,1,100.0,16.00279524807827,16.00279524807827,14.466557242511282,0.5334427574887164,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
12,69.08543881393273,61.4119288671362,300421,力星股份,bottom_area,2022-01-21,15.45,2022-01-21,15.27,1.1787819253438094,5.1080550098231905,32.73127753303965,False,-3.074,3.8049,1,2,1,50.0,43.59974009096816,43.59974009096816,13.821218074656189,1.1787819253438094,历史1/2次成功; 当前距低点1.18%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
13,67.91429192215692,62.676572713643196,601778,晶科科技,bottom_area,2022-01-21,7.12,2022-01-21,6.9,3.1884057971014457,4.057971014492744,29.230769230769226,False,0.2817,1.3534,1,2,1,50.0,42.344827586206904,42.344827586206904,11.811594202898554,3.1884057971014457,历史1/2次成功; 当前距低点3.19%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
14,54.68934331131198,50.253840604089575,688221,前沿生物,confirmed_rebound,2022-01-21,19.85,2022-01-21,19.28,2.956431535269711,17.323651452282157,30.597552195824335,False,-15.5319,14.5891,1,2,1,50.0,15.615615615615624,15.615615615615624,12.043568464730289,2.956431535269711,历史1/2次成功; 当前距低点2.96%; 最新日涨幅-15.53%; 状态confirmed_rebound; 底部未确认
