rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.28838493390663,85.91789667207306,600203,福日电子,bottom_area,2025-03-26,9.54,2025-03-26,9.41,1.3815090329436663,2.6567481402763016,29.51310861423221,False,0.3155,4.7879,3,3,3,100.0,20.149125092390385,24.045801526717554,13.618490967056331,1.3815090329436663,历史3/3次成功; 当前距低点1.38%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,88.84116028622135,78.21095898335297,301366,一博科技,bottom_area,2025-03-26,54.96,2025-03-24,54.6,0.6593406593406583,6.5018315018314965,27.68211920529801,False,0.0728,4.2361,2,2,2,100.0,26.366966057256242,36.479591836734706,14.340659340659343,0.6593406593406583,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
3,88.12691033355219,78.56289248334917,300720,海川智能,bottom_area,2025-03-26,21.3,2025-03-24,21.02,1.3320647002854478,7.4690770694576605,28.74576271186441,False,0.4717,3.2535,3,5,3,60.0,57.75229601757511,75.69193742478939,13.66793529971455,1.3320647002854478,历史3/5次成功; 当前距低点1.33%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
4,86.51184901027247,76.66882849231138,605208,永茂泰,bottom_area,2025-03-26,12.93,2025-03-26,12.8,1.0156249999999922,5.468749999999995,27.06552706552706,False,-0.9954,11.418,3,4,3,75.0,25.911040281243864,46.887631366208595,13.984375000000007,1.0156249999999922,历史3/4次成功; 当前距低点1.02%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
5,85.04122863096946,77.69473505813703,603315,福鞍股份,bottom_area,2025-03-26,13.96,2025-03-26,13.6,2.6470588235294206,6.323529411764715,29.788332472896233,False,-1.1331,9.5543,2,2,2,100.0,30.59155470851666,41.68490153172865,12.35294117647058,2.6470588235294206,历史2/2次成功; 当前距低点2.65%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
6,83.66762218708274,74.97951917192336,002123,梦网科技,bottom_area,2025-03-26,15.12,2025-03-25,14.88,1.612903225806441,4.50268817204301,27.308255984367356,False,0.8672,4.5588,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,13.387096774193557,1.612903225806441,历史2/3次成功; 当前距低点1.61%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
7,78.14006291124012,69.57900926360252,002173,创新医疗,bottom_area,2025-03-26,9.57,2025-03-26,9.45,1.2698412698412804,2.8571428571428714,28.893905191873593,False,-0.2086,10.5329,3,5,3,60.0,23.40993203677754,27.109266943291825,13.73015873015872,1.2698412698412804,历史3/5次成功; 当前距低点1.27%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
8,75.39598386819817,67.67714222409131,688031,星环科技,bottom_area,2025-03-26,50.84,2025-03-24,49.99,1.7003400680136054,8.381676335267048,27.843533487297922,False,-0.0786,2.2978,2,3,2,66.66666666666666,20.684144690836938,22.70402945387605,13.299659931986394,1.7003400680136054,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
9,75.22161353658989,69.17624618640359,300713,英可瑞,bottom_area,2025-03-26,17.17,2025-03-26,16.67,2.9994001199760043,4.9790041991601575,28.45493562231759,False,1.5976,9.9582,3,5,3,60.0,19.972464838434856,23.73271889400922,12.000599880023994,2.9994001199760043,历史3/5次成功; 当前距低点3.00%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
10,75.00390189555918,71.4024992428831,300509,新美星,bottom_area,2025-03-26,7.99,2025-03-25,7.62,4.855643044619424,6.167979002624668,29.769585253456217,False,3.0968,3.8315,1,1,1,100.0,18.028846153846153,18.028846153846153,10.144356955380575,4.855643044619424,历史1/1次成功; 当前距低点4.86%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
11,73.27482778644571,64.13175668438117,002093,国脉科技,bottom_area,2025-03-26,11.57,2025-03-26,11.53,0.3469210754553419,5.1170858629661735,27.39294710327457,False,-3.7438,11.1766,2,3,2,66.66666666666666,35.086398224476845,52.409638554216855,14.653078924544657,0.3469210754553419,历史2/3次成功; 当前距低点0.35%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
