rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.22040355702032,79.96517346881853,601226,华电科工,bottom_area,2023-09-25,5.93,2023-09-25,5.87,1.022146507666092,4.088586030664399,27.975460122699385,False,-2.7869,0.8355,1,1,1,100.0,39.54659949622166,39.54659949622166,13.977853492333908,1.022146507666092,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
2,87.12253036369479,79.71102192853034,002534,西子洁能,bottom_area,2023-09-25,12.82,2023-09-22,12.48,2.724358974358973,3.8461538461538494,27.861271676300582,False,-0.6971,0.3447,3,3,3,100.0,25.712690269187092,33.11594202898551,12.275641025641026,2.724358974358973,历史3/3次成功; 当前距低点2.72%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
3,85.76559576472037,77.3680697380554,601777,千里科技,bottom_area,2023-09-25,3.63,2023-08-25,3.56,1.9662921348314562,8.146067415730338,27.93522267206478,True,-1.3587,0.3751,1,1,1,100.0,27.96352583586626,27.96352583586626,13.033707865168543,1.9662921348314562,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
4,83.16674739011903,73.41164855013669,300561,汇金科技,bottom_area,2023-09-25,12.56,2023-09-21,12.46,0.8025682182985525,3.21027287319421,32.539252842447205,False,-2.0281,2.9723,2,2,2,100.0,24.79303273041607,27.62128325508607,14.197431781701447,0.8025682182985525,历史2/2次成功; 当前距低点0.80%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
5,82.14456448375262,74.42941632830772,603258,电魂网络,bottom_area,2023-09-25,28.3,2023-09-21,27.69,2.2029613578909335,7.5478512098230395,31.93215339233038,True,-2.7491,3.383,1,1,1,100.0,15.065420560747667,15.065420560747667,12.797038642109065,2.2029613578909335,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.75%; 状态bottom_area; 底部已确认
6,74.8612522049175,65.52734790338907,002386,天原股份,bottom_area,2023-09-25,5.69,2023-08-31,5.67,0.35273368606702754,5.996472663139327,31.604342581423396,False,-1.2153,0.4192,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,14.647266313932972,0.35273368606702754,历史2/3次成功; 当前距低点0.35%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
7,74.7944397200237,69.83588391104672,600032,浙江新能,bottom_area,2023-09-25,10.07,2023-09-22,9.7,3.8144329896907325,5.05154639175258,27.395209580838326,False,-0.9833,0.8913,1,1,1,100.0,19.31608133086876,19.31608133086876,11.185567010309267,3.8144329896907325,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
8,70.0361430069256,61.5597261013871,002265,建设工业,bottom_area,2023-09-25,12.23,2023-08-25,12.16,0.5756578947368444,7.1546052631578885,28.344136711844424,True,-1.371,0.4729,2,4,2,50.0,24.09798979240379,32.75229357798165,14.424342105263154,0.5756578947368444,历史2/4次成功; 当前距低点0.58%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
9,67.20364716057794,61.54513071238059,603232,格尔软件,bottom_area,2023-09-25,11.85,2023-09-21,11.53,2.775368603642674,4.596704249783184,29.176904176904184,False,-1.4143,1.9331,2,4,2,50.0,20.338554455300404,22.78481012658228,12.224631396357326,2.775368603642674,历史2/4次成功; 当前距低点2.78%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
10,65.44896071792925,60.824955998475275,300603,立昂技术,bottom_area,2023-09-25,9.3,2023-09-21,8.98,3.563474387527843,4.677060133630288,27.346278317152095,False,1.087,6.5976,2,5,2,40.0,25.320847322788993,35.36723163841809,11.436525612472156,3.563474387527843,历史2/5次成功; 当前距低点3.56%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
11,60.673311760517166,56.29273779983459,002069,獐子岛,bottom_area,2023-09-25,4.17,2023-09-14,4.03,3.4739454094292723,5.707196029776663,28.79858657243816,False,0.2404,0.8465,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,11.526054590570729,3.4739454094292723,历史1/3次成功; 当前距低点3.47%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
12,56.93327158063661,50.13627343684901,002145,钛能化学,bottom_area,2023-09-25,4.47,2023-09-25,4.44,0.6756756756756612,3.6036036036035863,28.387096774193544,False,-3.2468,2.7609,1,2,1,50.0,16.649537512846855,16.649537512846855,14.324324324324339,0.6756756756756612,历史1/2次成功; 当前距低点0.68%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
13,49.737331755332896,47.17250753433273,002777,久远银海,bottom_area,2023-09-25,26.08,2023-09-22,24.92,4.654895666131607,6.260032102728727,27.76811594202898,False,-0.458,2.8796,1,3,1,33.33333333333333,18.88352860096485,18.88352860096485,10.345104333868392,4.654895666131607,历史1/3次成功; 当前距低点4.65%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
