rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.77023950022614,82.32741133135082,002695,煌上煌,bottom_area,2025-09-05,12.33,2025-09-05,11.92,3.439597315436243,3.8590604026845705,27.669902912621364,False,1.398,2.1573,3,3,3,100.0,26.073619411534626,30.57176196032671,16.56040268456376,3.439597315436243,历史3/3次成功; 当前距低点3.44%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
2,88.94712901012183,79.57223880597016,301009,可靠股份,bottom_area,2025-09-05,13.92,2025-09-05,13.4,3.88059701492537,4.1791044776119435,27.762803234501348,False,0.578,4.132,1,1,1,100.0,53.96648044692738,53.96648044692738,16.119402985074633,3.88059701492537,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
3,88.05154419136221,79.86239679374911,688448,磁谷科技,bottom_area,2025-09-05,46.05,2025-09-04,44.01,4.635310156782547,8.588957055214728,31.08362041966803,False,2.5156,7.1019,2,2,2,100.0,44.14464489899632,63.23529411764706,15.364689843217455,4.635310156782547,历史2/2次成功; 当前距低点4.64%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
4,87.07190854203118,76.87763176914271,300510,金冠股份,bottom_area,2025-09-05,4.57,2025-09-03,4.43,3.160270880361187,3.6117381489842018,30.01579778830964,False,1.1062,4.569,3,4,3,75.0,30.849727829925854,40.000000000000014,16.839729119638815,3.160270880361187,历史3/4次成功; 当前距低点3.16%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
5,86.37018497458519,76.7771356199402,300645,正元智慧,bottom_area,2025-09-05,18.76,2025-09-05,18.12,3.532008830022078,3.6975717439293496,27.3164861612515,False,1.9011,5.6974,1,1,1,100.0,30.699547055863096,30.699547055863096,16.467991169977925,3.532008830022078,历史1/1次成功; 当前距低点3.53%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
6,83.76309268103428,74.65304059222525,688552,航天南湖,bottom_area,2025-09-05,33.86,2025-09-04,32.66,3.674219228413971,9.920391916717705,28.860814637333913,False,2.8242,8.2034,1,1,1,100.0,21.02290555381236,21.02290555381236,16.32578077158603,3.674219228413971,历史1/1次成功; 当前距低点3.67%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
7,82.28828118870952,74.2781535578725,000026,飞亚达,bottom_area,2025-09-05,16.71,2025-09-04,16.01,4.372267332916922,6.058713304184877,30.602514087559594,False,3.0845,2.2894,1,1,1,100.0,27.564102564102562,27.564102564102562,15.627732667083077,4.372267332916922,历史1/1次成功; 当前距低点4.37%; 最新日涨幅3.08%; 状态bottom_area; 底部未确认
8,76.99320680271255,69.89051244821877,002795,永和智控,bottom_area,2025-09-05,4.92,2025-08-28,4.7,4.680851063829781,5.957446808510643,31.884057971014496,False,1.6529,2.856,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,15.31914893617022,4.680851063829781,历史4/6次成功; 当前距低点4.68%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
9,76.51840952950205,65.12780044714816,002041,登海种业,bottom_area,2025-09-05,9.64,2025-06-23,9.53,1.154249737670527,7.345225603357829,29.719764011799416,True,0.0,0.8264,1,2,1,50.0,21.395106715252467,21.395106715252467,18.845750262329474,1.154249737670527,历史1/2次成功; 当前距低点1.15%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
10,76.08110478765737,69.11687068148447,300192,科德教育,bottom_area,2025-09-05,19.73,2025-09-05,18.84,4.723991507431001,5.732484076433131,32.18142548596112,False,-0.6045,10.7541,1,1,1,100.0,26.599845797995382,26.599845797995382,15.276008492568998,4.723991507431001,历史1/1次成功; 当前距低点4.72%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
11,74.99659179126654,67.3192155699805,300665,飞鹿股份,bottom_area,2025-09-05,9.47,2025-09-03,9.1,4.065934065934077,5.27472527472528,29.18287937743191,False,0.0,7.2218,3,5,3,60.0,23.062071184463395,23.50486787204451,15.934065934065925,4.065934065934077,历史3/5次成功; 当前距低点4.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,73.83578345172572,65.48912967022629,000561,烽火电子,bottom_area,2025-09-05,11.22,2025-09-04,10.85,3.4101382488479355,6.267281105990781,32.60869565217392,False,1.1722,3.4918,2,4,2,50.0,26.85077891182564,31.050955414012744,16.589861751152064,3.4101382488479355,历史2/4次成功; 当前距低点3.41%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
13,73.42169197621325,66.22473080995807,300730,科创信息,bottom_area,2025-09-05,18.79,2025-09-05,18.01,4.330927262631858,4.83064963908938,29.81293842556508,False,0.913,8.0633,2,3,2,66.66666666666666,22.648270441355024,24.329896907216508,15.669072737368145,4.330927262631858,历史2/3次成功; 当前距低点4.33%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
14,73.08455236266765,66.47139213551164,603109,神驰机电,bottom_area,2025-09-05,31.3,2025-09-04,29.87,4.787412119183125,7.499163039839297,27.79792119893642,False,2.5893,2.4446,3,5,3,60.0,27.347805200264215,33.71428571428571,15.212587880816875,4.787412119183125,历史3/5次成功; 当前距低点4.79%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
15,69.19605432864559,62.32216651560443,688115,思林杰,bottom_area,2025-09-05,53.71,2025-09-05,51.52,4.250776397515523,4.289596273291913,32.30850085402706,False,2.5979,2.8361,3,7,3,42.857142857142854,35.604882422103486,53.58819584171696,15.749223602484477,4.250776397515523,历史3/7次成功; 当前距低点4.25%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
16,66.1,55.08333333333333,000691,亚太实业,bottom_area,2025-09-05,5.83,2025-09-05,5.83,0.0,0.0,27.397260273972595,False,-5.0489,0.6169,2,6,2,33.33333333333333,54.77025046204832,76.05633802816902,20.0,0.0,历史2/6次成功; 当前距低点0.00%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
17,65.78095147092844,58.649244162510215,300902,国安达,bottom_area,2025-09-05,23.01,2025-09-04,22.19,3.695358269490763,4.371338440739066,32.798304058146584,False,1.7691,5.0135,1,2,1,50.0,26.906779661016937,26.906779661016937,16.30464173050924,3.695358269490763,历史1/2次成功; 当前距低点3.70%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
18,65.56551522489123,59.64640621153299,688227,品高股份,bottom_area,2025-09-05,31.44,2025-09-04,30.0,4.800000000000004,7.999999999999995,31.818181818181817,False,2.1774,3.663,2,5,2,40.0,34.14196887920967,36.87150837988826,15.199999999999998,4.800000000000004,历史2/5次成功; 当前距低点4.80%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
19,65.45920891872139,58.413461500606935,688682,霍莱沃,bottom_area,2025-09-05,29.1,2025-09-04,28.05,3.743315508021393,5.06238859180035,27.687548337200308,False,1.9979,1.8269,1,2,1,50.0,26.22699386503069,26.22699386503069,16.256684491978607,3.743315508021393,历史1/2次成功; 当前距低点3.74%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
20,64.93449873518429,56.86484918289292,605169,洪通燃气,bottom_area,2025-09-05,14.77,2025-09-05,14.38,2.71210013908205,2.71210013908205,31.064237775647165,False,0.6817,1.1441,1,4,1,25.0,26.09375,26.09375,17.287899860917953,2.71210013908205,历史1/4次成功; 当前距低点2.71%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
21,64.54203299886989,57.62778737182943,603080,新疆火炬,bottom_area,2025-09-05,21.17,2025-08-28,20.4,3.7745098039215845,5.490196078431378,29.655172413793107,False,1.0019,2.5738,1,2,1,50.0,22.385321100917427,22.385321100917427,16.225490196078418,3.7745098039215845,历史1/2次成功; 当前距低点3.77%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
