rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.6861842424705,85.77996284589507,601388,怡球资源,bottom_area,2024-07-09,2.16,2024-07-09,2.1,2.8571428571428594,3.3333333333333255,29.292929292929294,False,0.9346,0.9538,4,4,4,100.0,20.829293334305355,35.632183908045974,5.142857142857141,2.8571428571428594,历史4/4次成功; 当前距低点2.86%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
2,87.19078996044583,84.28689122622832,002317,众生药业,bottom_area,2024-07-09,10.96,2024-07-09,10.72,2.2388059701492558,3.1716417910447747,31.14964675658317,False,-0.6346,1.9597,4,4,4,100.0,27.695531388003374,58.31999999999999,5.761194029850744,2.2388059701492558,历史4/4次成功; 当前距低点2.24%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
3,86.7368803604865,84.4560296241403,601886,江河集团,bottom_area,2024-07-09,4.71,2024-07-09,4.59,2.614379084967323,3.2679738562091583,27.488151658767773,False,1.073,0.8737,3,3,3,100.0,27.40222547239673,33.5540838852097,5.385620915032677,2.614379084967323,历史3/3次成功; 当前距低点2.61%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
4,86.35464851894149,84.43359067603718,000065,北方国际,bottom_area,2024-07-09,9.81,2024-07-09,9.54,2.8301886792452975,3.4591194968553474,28.000000000000007,False,1.343,0.6684,3,3,3,100.0,29.926993896325044,41.48061104582843,5.169811320754702,2.8301886792452975,历史3/3次成功; 当前距低点2.83%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
5,86.34650452819193,84.54995418979689,688111,金山办公,bottom_area,2024-07-09,194.01,2024-07-05,188.53,2.906699199066456,6.497639632949663,31.11297866121017,False,0.5233,1.1211,4,4,4,100.0,14.823808406819378,27.68058076225045,5.0933008009335445,2.906699199066456,历史4/4次成功; 当前距低点2.91%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
6,86.29884101991556,84.26161731995127,002497,雅化集团,bottom_area,2024-07-09,8.57,2024-07-09,8.34,2.7577937649880147,3.477218225419675,27.351916376306622,False,0.5869,0.8956,3,3,3,100.0,28.11498443077391,38.755980861244026,5.242206235011985,2.7577937649880147,历史3/3次成功; 当前距低点2.76%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
7,86.07052484635194,84.91635950394935,002838,道恩股份,bottom_area,2024-07-09,8.77,2024-07-09,8.49,3.2979976442873893,3.5335689045936274,32.511923688394276,False,1.0369,0.6082,5,5,5,100.0,21.59029103722908,38.59649122807017,4.702002355712611,3.2979976442873893,历史5/5次成功; 当前距低点3.30%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
8,85.97754860033693,83.29412699550865,002603,以岭药业,bottom_area,2024-07-09,14.8,2024-07-09,14.46,2.3513139695712297,3.388658367911469,27.988047808764932,False,-0.6711,0.814,4,4,4,100.0,23.737219602855067,39.661898569570866,5.64868603042877,2.3513139695712297,历史4/4次成功; 当前距低点2.35%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
9,85.93986382526224,84.32591515651784,603368,柳药集团,bottom_area,2024-07-09,17.43,2024-07-09,16.92,3.014184397163109,3.42789598108746,29.79253112033195,False,1.4552,1.2981,3,3,3,100.0,31.603524634675978,42.85714285714285,4.985815602836891,3.014184397163109,历史3/3次成功; 当前距低点3.01%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
10,85.75515289562286,82.69344517349668,601908,京运通,bottom_area,2024-07-09,2.42,2024-07-09,2.37,2.1097046413502034,3.3755274261603407,32.285714285714285,False,0.0,0.7132,2,2,2,100.0,28.406299762231964,40.33898305084744,5.890295358649797,2.1097046413502034,历史2/2次成功; 当前距低点2.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,85.61069278266442,82.81343884823515,002044,美年健康,bottom_area,2024-07-09,3.6,2024-07-09,3.52,2.2727272727272747,2.8409090909090935,28.016359918200408,False,0.5587,0.9202,3,3,3,100.0,14.383102312114746,18.108108108108105,5.727272727272725,2.2727272727272747,历史3/3次成功; 当前距低点2.27%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
12,85.57695393850491,84.77411719460737,688167,炬光科技,bottom_area,2024-07-09,49.84,2024-07-08,48.15,3.5098650051921183,6.749740394600208,29.15992349565985,False,2.6148,3.338,4,4,4,100.0,23.422631217448355,39.13715105373497,4.490134994807882,3.5098650051921183,历史4/4次成功; 当前距低点3.51%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
