rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.71865444123671,82.24679115929958,002534,西子洁能,bottom_area,2023-09-22,12.91,2023-09-22,12.48,3.445512820512818,3.445512820512818,27.861271676300582,False,3.28,0.5049,3,3,3,100.0,25.712690269187092,33.11594202898551,6.554487179487182,3.445512820512818,历史3/3次成功; 当前距低点3.45%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
2,83.88561754279114,79.18557076207448,002265,建设工业,bottom_area,2023-09-22,12.4,2023-08-25,12.16,1.9736842105263175,7.1546052631578885,28.344136711844424,True,1.39,0.4704,3,4,3,75.0,19.519197645561725,32.75229357798165,8.026315789473683,1.9736842105263175,历史3/4次成功; 当前距低点1.97%; 最新日涨幅1.39%; 状态bottom_area; 底部已确认
3,83.53640767031443,80.24402415206285,300561,汇金科技,bottom_area,2023-09-22,12.82,2023-09-21,12.46,2.8892455858747947,3.21027287319421,32.539252842447205,False,2.3962,3.545,2,2,2,100.0,24.79303273041607,27.62128325508607,7.110754414125206,2.8892455858747947,历史2/2次成功; 当前距低点2.89%; 最新日涨幅2.40%; 状态bottom_area; 底部未确认
4,82.24328402443328,78.3431572815061,300603,立昂技术,bottom_area,2023-09-22,9.2,2023-09-21,8.98,2.4498886414253773,2.672605790645882,27.346278317152095,False,1.9956,5.4856,4,5,4,80.0,19.18765260191376,35.36723163841809,7.550111358574624,2.4498886414253773,历史4/5次成功; 当前距低点2.45%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
5,82.22586881110684,78.55797861424017,000028,国药一致,bottom_area,2023-09-22,31.12,2023-09-22,30.33,2.604681833168489,2.8684470820969374,31.30237825594564,False,1.2691,0.7245,2,2,2,100.0,12.240070934754426,14.150943396226415,7.395318166831512,2.604681833168489,历史2/2次成功; 当前距低点2.60%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
6,80.8154191273314,78.34582254704414,601777,千里科技,bottom_area,2023-09-22,3.68,2023-08-25,3.56,3.3707865168539355,8.146067415730338,27.93522267206478,True,1.6575,0.5066,1,1,1,100.0,27.96352583586626,27.96352583586626,6.629213483146065,3.3707865168539355,历史1/1次成功; 当前距低点3.37%; 最新日涨幅1.66%; 状态bottom_area; 底部已确认
7,79.29473453046288,74.30253308857428,002386,天原股份,bottom_area,2023-09-22,5.76,2023-08-31,5.67,1.5873015873015848,5.996472663139327,31.604342581423396,False,0.6993,0.495,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,8.412698412698417,1.5873015873015848,历史2/3次成功; 当前距低点1.59%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
8,77.73336077875902,70.82493624348726,300573,兴齐眼药,bottom_area,2023-09-22,153.8,2023-09-22,153.62,0.11717224319750476,5.318317927353201,31.724444444444444,False,-2.4483,3.2162,3,4,3,75.0,23.31768256977187,42.86062675283501,9.882827756802495,0.11717224319750476,历史3/4次成功; 当前距低点0.12%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
9,77.52356633912407,76.22272713138118,000058,深赛格,bottom_area,2023-09-22,7.09,2023-09-22,6.81,4.111600587371517,4.405286343612345,27.16577540106952,False,0.7102,4.2174,1,1,1,100.0,34.82352941176472,34.82352941176472,5.888399412628484,4.111600587371517,历史1/1次成功; 当前距低点4.11%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
10,73.96493770873364,73.9373491456196,688191,智洋创新,bottom_area,2023-09-22,18.76,2023-09-20,17.87,4.980414101846673,5.595970900951315,28.519999999999996,False,3.9335,3.691,2,2,2,100.0,16.51985643994637,22.671568627450974,5.019585898153327,4.980414101846673,历史2/2次成功; 当前距低点4.98%; 最新日涨幅3.93%; 状态bottom_area; 底部未确认
11,72.0996500543375,71.28531864625202,600375,汉马科技,confirmed_rebound,2023-09-22,5.69,2023-09-21,5.45,4.403669724770646,11.376146788990829,30.395913154533844,False,2.1544,2.9321,1,1,1,100.0,22.073578595317713,22.073578595317713,5.596330275229355,4.403669724770646,历史1/1次成功; 当前距低点4.40%; 最新日涨幅2.15%; 状态confirmed_rebound; 底部未确认
