rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.89999999999999,75.75,002137,实益达,bottom_area,2022-10-28,6.23,2022-10-28,6.23,0.0,7.704654895666124,27.04918032786884,False,-9.9711,22.9055,2,2,2,100.0,55.55040286140998,89.3034825870647,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
2,89.76772795212665,76.87065415284735,301313,凡拓数创,bottom_area,2022-10-28,22.53,2022-10-28,22.2,1.4864864864864948,6.801801801801808,30.407523510971785,False,-4.8162,14.797,1,1,1,100.0,38.816362053959956,38.816362053959956,18.51351351351351,1.4864864864864948,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
3,88.91646702861296,75.6495655989469,603030,全筑股份,bottom_area,2022-10-28,2.68,2022-10-28,2.65,1.1320754716981227,7.547169811320761,31.70103092783505,False,-6.2937,5.1281,1,1,1,100.0,27.906976744186036,27.906976744186036,18.867924528301877,1.1320754716981227,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-6.29%; 状态bottom_area; 底部未确认
4,88.55528096330728,74.10985051625829,002796,世嘉科技,bottom_area,2022-10-28,8.66,2022-10-28,8.64,0.23148148148147651,10.300925925925911,32.97129557796741,False,-9.7917,13.2466,2,2,2,100.0,31.7614424410541,36.33841886269071,19.768518518518523,0.23148148148147651,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-9.79%; 状态bottom_area; 底部未确认
5,88.277070745429,73.9063848101266,000789,万年青,bottom_area,2022-10-28,7.92,2022-10-28,7.9,0.2531645569620199,6.835443037974673,29.020664869721475,False,-6.2722,1.1785,1,1,1,100.0,47.599999999999994,47.599999999999994,19.74683544303798,0.2531645569620199,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-6.27%; 状态bottom_area; 底部未确认
6,84.34139929462634,71.09917748756699,001296,长江材料,bottom_area,2022-10-28,20.8,2022-10-28,20.67,0.6289308176100581,7.402031930333805,28.724137931034477,False,-6.0948,13.1774,2,2,2,100.0,20.446987912461964,20.884413309982484,19.371069182389945,0.6289308176100581,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-6.09%; 状态bottom_area; 底部未确认
7,84.14083083699103,74.0525169356171,000591,太阳能,bottom_area,2022-10-28,6.9,2022-10-10,6.7,2.9850746268656745,9.552238805970143,29.769392033542967,True,-3.4965,1.4167,1,1,1,100.0,32.84132841328414,32.84132841328414,17.014925373134325,2.9850746268656745,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-3.50%; 状态bottom_area; 底部已确认
8,82.4442636242984,69.20463980132726,603363,傲农生物,bottom_area,2022-10-28,12.66,2022-10-28,12.61,0.39651070578906195,7.057890563045207,32.05818965517241,False,-7.2527,5.2174,1,1,1,100.0,24.078947368421055,24.078947368421055,19.603489294210938,0.39651070578906195,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-7.25%; 状态bottom_area; 底部未确认
9,78.23975772670325,70.98883847549908,600178,东安动力,bottom_area,2022-10-28,6.07,2022-10-11,5.8,4.655172413793111,11.206896551724146,28.746928746928752,True,-4.1074,0.781,1,1,1,100.0,36.84210526315788,36.84210526315788,15.344827586206888,4.655172413793111,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-4.11%; 状态bottom_area; 底部已确认
10,77.0017408235745,69.41606747106623,600203,福日电子,bottom_area,2022-10-28,5.82,2022-10-10,5.58,4.3010752688172085,11.469534050179206,29.6343001261034,True,-5.0571,1.1617,1,1,1,100.0,24.045801526717554,24.045801526717554,15.698924731182792,4.3010752688172085,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-5.06%; 状态bottom_area; 底部已确认
11,66.9501252899603,59.37166242409374,601919,中远海控,bottom_area,2022-10-28,11.25,2022-10-10,10.88,3.4007352941176396,8.915441176470578,28.13738441215323,True,-1.918,0.66,1,2,1,50.0,40.45881126173098,40.45881126173098,16.599264705882362,3.4007352941176396,历史1/2次成功; 当前距低点3.40%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
12,61.496585261444004,51.74284020403977,600346,恒力石化,bottom_area,2022-10-28,15.31,2022-10-28,15.23,0.5252790544977024,4.136572554169396,29.458082445576654,False,-4.0727,0.2788,1,2,1,50.0,23.443421765024375,23.443421765024375,19.4747209455023,0.5252790544977024,历史1/2次成功; 当前距低点0.53%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
13,59.071172977363766,49.43890935384292,000301,东方盛虹,bottom_area,2022-10-28,12.77,2022-10-28,12.74,0.23547880690737333,5.8869701726844585,32.34200743494423,False,-5.1967,0.9448,1,4,1,25.0,28.337639965546952,28.337639965546952,19.764521193092627,0.23547880690737333,历史1/4次成功; 当前距低点0.24%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
14,54.97392403169888,50.08735300665897,002600,领益智造,bottom_area,2022-10-28,4.51,2022-10-10,4.3,4.883720930232557,12.093023255813964,30.533117932148635,True,-5.0526,0.5637,1,3,1,33.33333333333333,38.381201044386415,38.381201044386415,15.116279069767444,4.883720930232557,历史1/3次成功; 当前距低点4.88%; 最新日涨幅-5.05%; 状态bottom_area; 底部已确认
