rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.14348950580657,86.91847592539122,002800,天顺股份,bottom_area,2023-05-12,15.24,2023-05-11,15.01,1.5323117921385772,6.862091938707524,29.662605435801314,False,0.0657,3.5852,4,4,4,100.0,10.7104667283181,11.768447837150124,6.467688207861423,1.5323117921385772,历史4/4次成功; 当前距低点1.53%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
2,86.891227753868,82.52153094203572,688048,长光华芯,bottom_area,2023-05-12,85.36,2023-05-12,84.25,1.3175074183976254,3.038575667655789,29.20168067226891,False,0.4235,0.9223,2,2,2,100.0,17.771225032162963,19.48504983388705,6.682492581602374,1.3175074183976254,历史2/2次成功; 当前距低点1.32%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
3,86.81210582159284,84.41478573986068,002317,众生药业,bottom_area,2023-05-12,16.93,2023-05-12,16.51,2.5439127801332413,3.8764385221077955,27.58771929824561,False,1.6817,4.2285,3,3,3,100.0,26.316703648196015,58.31999999999999,5.45608721986676,2.5439127801332413,历史3/3次成功; 当前距低点2.54%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
4,85.28095666668888,81.87113915731689,601369,陕鼓动力,bottom_area,2023-05-12,9.22,2023-05-10,9.05,1.8784530386740321,4.972375690607726,32.31114435302916,False,-1.7058,0.3412,3,3,3,100.0,26.957054223084292,55.572755417956664,6.121546961325968,1.8784530386740321,历史3/3次成功; 当前距低点1.88%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
5,85.00174478273223,80.92658198446465,002724,海洋王,confirmed_rebound,2023-05-12,8.42,2023-04-25,8.3,1.445783132530111,8.192771084337345,28.999144568006834,True,-1.0576,0.9903,3,3,3,100.0,17.596599605555337,25.204081632653047,6.554216867469889,1.445783132530111,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.06%; 状态confirmed_rebound; 底部已确认
6,83.93193803033668,80.50851297413905,002455,百川股份,bottom_area,2023-05-12,7.77,2023-05-05,7.63,1.8348623853210968,4.587155963302759,28.691588785046722,False,-2.0177,0.9085,3,3,3,100.0,19.096769960597644,35.42600896860987,6.165137614678903,1.8348623853210968,历史3/3次成功; 当前距低点1.83%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
7,83.81438207434834,79.12524492731015,002802,洪汇新材,bottom_area,2023-05-12,10.03,2023-05-12,9.93,1.007049345417922,2.920443101711993,31.1373092926491,False,-1.8591,1.5107,2,2,2,100.0,18.17912599388721,20.65637065637066,6.992950654582078,1.007049345417922,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
8,83.60255135301401,79.76744614604165,688350,富淼科技,bottom_area,2023-05-12,16.29,2023-05-05,16.04,1.5586034912718205,4.301745635910232,32.774518021793796,False,-1.2727,1.1075,2,2,2,100.0,28.392807022265636,38.54748603351957,6.44139650872818,1.5586034912718205,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
9,83.55444268489771,77.49042674000844,002690,美亚光电,bottom_area,2023-05-12,23.84,2023-05-12,23.82,0.0839630562552459,2.3929471032745604,28.253012048192776,False,-1.8526,0.4968,3,3,3,100.0,21.246572625109707,27.355278093076052,7.916036943744754,0.0839630562552459,历史3/3次成功; 当前距低点0.08%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
10,83.08958057706586,79.46682811871281,002245,蔚蓝锂芯,confirmed_rebound,2023-05-12,10.88,2023-04-26,10.7,1.6822429906542196,8.317757009345799,29.512516469038214,False,-2.0702,1.3403,3,3,3,100.0,21.840549125830286,25.653923541247494,6.317757009345781,1.6822429906542196,历史3/3次成功; 当前距低点1.68%; 最新日涨幅-2.07%; 状态confirmed_rebound; 底部未确认
11,82.86856995687617,81.75209923949936,688075,安旭生物,bottom_area,2023-05-12,66.78,2023-05-10,64.65,3.2946635730858396,4.94972931167825,30.37906525953047,False,-0.3135,1.4877,5,5,5,100.0,27.010388097500325,40.134529147982065,4.705336426914161,3.2946635730858396,历史5/5次成功; 当前距低点3.29%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
