rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.20772015193265,75.01554621596674,300645,正元智慧,bottom_area,2025-09-08,18.9,2025-09-05,18.12,4.304635761589391,4.74613686534216,27.3164861612515,False,0.7463,4.9323,1,1,1,100.0,30.699547055863096,30.699547055863096,15.695364238410612,4.304635761589391,历史1/1次成功; 当前距低点4.30%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
2,83.10819384527656,74.45999256723228,688347,华虹公司,bottom_area,2025-09-08,70.05,2025-09-05,67.38,3.9626001780943927,8.029088750371047,28.258091993185698,False,-2.9106,7.4281,1,1,1,100.0,45.99312351229833,45.99312351229833,16.037399821905606,3.9626001780943927,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
3,80.28435780350786,71.53725284708955,300192,科德教育,bottom_area,2025-09-08,19.53,2025-09-05,18.84,3.662420382165612,5.732484076433131,32.18142548596112,False,-1.0137,7.5642,1,1,1,100.0,26.599845797995382,26.599845797995382,16.33757961783439,3.662420382165612,历史1/1次成功; 当前距低点3.66%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
4,79.73897535985296,72.7602502793007,300510,金冠股份,bottom_area,2025-09-08,4.65,2025-09-03,4.43,4.966139954853288,4.966139954853288,30.01579778830964,False,1.7505,5.6442,3,4,3,75.0,30.849727829925854,40.000000000000014,15.033860045146714,4.966139954853288,历史3/4次成功; 当前距低点4.97%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
5,79.57507440455143,72.27949497066982,688552,航天南湖,bottom_area,2025-09-08,34.2,2025-09-04,32.66,4.7152480097979375,9.920391916717705,28.860814637333913,False,1.0041,7.4561,1,1,1,100.0,21.02290555381236,21.02290555381236,15.284751990202064,4.7152480097979375,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
6,74.81734530383913,64.17082248282499,002041,登海种业,bottom_area,2025-09-08,9.68,2025-06-23,9.53,1.5739769150052505,7.345225603357829,29.719764011799416,True,0.4149,1.6383,1,2,1,50.0,21.395106715252467,21.395106715252467,18.42602308499475,1.5739769150052505,历史1/2次成功; 当前距低点1.57%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
7,68.59837759568764,59.411094881979466,002256,兆新股份,bottom_area,2025-09-08,2.91,2025-09-05,2.85,2.1052631578947385,6.666666666666665,28.571428571428577,False,-1.3559,13.7944,3,8,3,37.5,27.734381085911092,31.775700934579426,17.894736842105264,2.1052631578947385,历史3/8次成功; 当前距低点2.11%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
8,67.78480693460429,59.18212429236738,688221,前沿生物,bottom_area,2025-09-08,15.3,2025-09-08,14.92,2.546916890080434,8.378016085790897,27.1484375,False,-3.287,8.9566,3,7,3,42.857142857142854,30.52508725979674,34.87394957983194,17.453083109919568,2.546916890080434,历史3/7次成功; 当前距低点2.55%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
9,66.54635038985708,58.884368468840606,603256,宏和科技,bottom_area,2025-09-08,35.26,2025-09-04,34.14,3.280609256004679,10.63268892794377,28.277310924369747,True,-3.2647,2.3734,2,5,2,40.0,34.91482565877029,47.511312217194565,16.719390743995323,3.280609256004679,历史2/5次成功; 当前距低点3.28%; 最新日涨幅-3.26%; 状态bottom_area; 底部已确认
10,65.59150033140797,59.11822033898303,002826,易明医药,bottom_area,2025-09-08,19.69,2025-09-03,18.88,4.290254237288147,7.415254237288147,29.631010063361906,True,-0.856,4.1837,1,2,1,50.0,50.0,50.0,15.709745762711854,4.290254237288147,历史1/2次成功; 当前距低点4.29%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
11,65.29465160686856,56.11402477000775,300870,欧陆通,bottom_area,2025-09-08,207.95,2025-09-08,204.51,1.6820693364627635,5.129333528922795,27.45299751684994,False,-3.9847,4.073,1,2,1,50.0,21.28571428571428,21.28571428571428,18.317930663537236,1.6820693364627635,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
12,65.08475877888928,55.81146860986548,302132,中航成飞,bottom_area,2025-09-08,81.25,2025-09-08,80.0,1.5625,3.687500000000003,27.140255009107467,False,-1.789,3.371,1,4,1,25.0,28.81165919282512,28.81165919282512,18.4375,1.5625,历史1/4次成功; 当前距低点1.56%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
13,64.42107913756901,56.938776266349244,002265,建设工业,bottom_area,2025-09-08,30.15,2025-09-05,29.21,3.2180760013693863,9.448818897637787,28.756097560975608,False,-0.7244,6.1292,2,6,2,33.33333333333333,37.111054925473766,41.46981627296587,16.781923998630617,3.2180760013693863,历史2/6次成功; 当前距低点3.22%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
14,63.766052425809725,57.416256330153324,300902,国安达,bottom_area,2025-09-08,23.13,2025-09-04,22.19,4.2361424064893995,4.551599819738612,32.798304058146584,False,0.5215,3.7501,1,2,1,50.0,26.906779661016937,26.906779661016937,15.763857593510602,4.2361424064893995,历史1/2次成功; 当前距低点4.24%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
15,62.070124826264276,55.120760170375526,605169,洪通燃气,bottom_area,2025-09-08,14.88,2025-09-05,14.38,3.477051460361613,4.033379694019472,31.064237775647165,False,0.7448,1.3966,1,4,1,25.0,26.09375,26.09375,16.52294853963839,3.477051460361613,历史1/4次成功; 当前距低点3.48%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
16,55.124860435218764,50.11926966006672,002272,川润股份,bottom_area,2025-09-08,15.82,2025-09-04,15.1,4.768211920529806,7.218543046357627,29.34019653720169,False,-0.7528,9.378,1,5,1,20.0,48.337595907928375,48.337595907928375,15.231788079470196,4.768211920529806,历史1/5次成功; 当前距低点4.77%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
17,51.57891320632922,47.03858365888658,002298,中电鑫龙,bottom_area,2025-09-08,9.78,2025-09-05,9.32,4.935622317596557,6.330472103004291,27.187500000000004,False,0.0,7.9801,1,7,1,14.285714285714285,23.734729493891784,23.734729493891784,15.064377682403446,4.935622317596557,历史1/7次成功; 当前距低点4.94%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
