rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.10200382718688,84.53248222821277,300648,星云股份,bottom_area,2022-09-23,36.88,2022-09-23,36.42,1.2630422844590907,6.26029654036244,27.60882528324389,False,-2.717,2.8669,5,5,5,100.0,17.054938907416574,26.78362573099414,6.736957715540909,1.2630422844590907,历史5/5次成功; 当前距低点1.26%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
2,86.93330622484456,82.06914180679402,002316,亚联发展,bottom_area,2022-09-23,3.01,2022-09-21,2.98,1.0067114093959666,7.718120805369128,28.70813397129186,True,-5.0473,3.8643,3,3,3,100.0,18.35722483987543,24.890829694323134,6.993288590604034,1.0067114093959666,历史3/3次成功; 当前距低点1.01%; 最新日涨幅-5.05%; 状态bottom_area; 底部已确认
3,86.07247086160804,81.92961486467718,002245,蔚蓝锂芯,bottom_area,2022-09-23,14.84,2022-09-23,14.63,1.435406698564587,5.673274094326726,27.788746298124384,False,-2.7523,2.1388,3,3,3,100.0,21.840549125830286,25.653923541247494,6.564593301435413,1.435406698564587,历史3/3次成功; 当前距低点1.44%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
4,84.66771627443867,80.14927609703729,688010,福光股份,bottom_area,2022-09-23,20.25,2022-09-23,20.02,1.148851148851151,4.845154845154839,28.44889206576126,False,-2.2683,0.2111,1,1,1,100.0,42.08955223880597,42.08955223880597,6.8511488511488485,1.148851148851151,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
5,84.51687842986148,79.85324483381623,688027,国盾量子,bottom_area,2022-09-23,87.64,2022-09-23,86.73,1.0492332526230792,5.257696298858529,32.2421875,False,-3.3524,0.7717,3,3,3,100.0,16.15858413869275,26.382393397524062,6.950766747376921,1.0492332526230792,历史3/3次成功; 当前距低点1.05%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
6,84.35323686337229,80.49731604539532,603033,三维股份,bottom_area,2022-09-23,16.2,2022-09-23,15.95,1.5673981191222572,4.6394984326018935,32.415254237288146,False,-1.8182,0.2091,3,3,3,100.0,15.757977188140112,24.922480620155024,6.432601880877743,1.5673981191222572,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
7,83.16140307851187,78.79507549101899,002080,中材科技,bottom_area,2022-09-23,21.15,2022-09-23,20.9,1.1961722488038278,3.8755980861244135,27.15231788079471,False,-1.8561,0.4596,2,2,2,100.0,18.72230224888029,28.579356270810223,6.803827751196173,1.1961722488038278,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
8,82.89823811078188,78.38527459246632,300538,同益股份,bottom_area,2022-09-23,11.13,2022-09-23,11.01,1.0899182561307992,5.358764759309717,28.039215686274517,False,-3.2174,0.757,2,2,2,100.0,25.431657077658826,30.150753768844226,6.910081743869201,1.0899182561307992,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
9,82.89399822294583,78.77240366826936,688199,久日新材,bottom_area,2022-09-23,34.57,2022-09-23,34.11,1.3485781295807706,3.840515977719151,28.098650927487352,False,-2.5099,0.6885,1,1,1,100.0,37.135278514588855,37.135278514588855,6.65142187041923,1.3485781295807706,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
10,82.77020333386622,78.21001924055271,688356,键凯科技,bottom_area,2022-09-23,163.96,2022-09-23,162.25,1.0539291217257367,4.739599383667179,28.76898761963298,False,-2.9822,1.2363,2,2,2,100.0,13.833213107996695,15.625,6.946070878274263,1.0539291217257367,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
11,82.61570660145753,77.51918540027016,300437,清水源,bottom_area,2022-09-23,17.51,2022-09-23,17.39,0.6900517538815468,5.1178838412881,29.3950466910272,False,-3.473,2.3585,6,6,6,100.0,22.379050532903687,30.330330330330323,7.309948246118453,0.6900517538815468,历史6/6次成功; 当前距低点0.69%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
