rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.85059550561799,88.10640449438203,002685,华东重机,bottom_area,2024-04-24,2.73,2024-04-16,2.67,2.247191011235957,7.490636704119858,28.22580645161291,True,1.1111,1.4738,2,2,2,100.0,62.24778046811945,109.52380952380952,7.752808988764043,2.247191011235957,历史2/2次成功; 当前距低点2.25%; 最新日涨幅1.11%; 状态bottom_area; 底部已确认
2,85.33781280519572,78.6586117235018,002459,晶澳科技,bottom_area,2024-04-24,13.92,2024-04-24,13.82,0.7235890014471754,3.61794500723589,32.51953125,False,-2.8611,1.9396,4,4,4,100.0,18.701046488179387,26.683937823834192,9.276410998552825,0.7235890014471754,历史4/4次成功; 当前距低点0.72%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
3,82.66262492756012,77.9496087817251,603259,药明康德,bottom_area,2024-04-24,41.96,2024-04-16,41.17,1.9188729657517587,7.724070925431138,30.078125,True,-1.5717,2.7522,2,2,2,100.0,13.842145933543593,14.040390163483993,8.081127034248242,1.9188729657517587,历史2/2次成功; 当前距低点1.92%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
4,81.98866164052917,76.87759221841344,300759,康龙化成,bottom_area,2024-04-24,18.17,2024-04-23,17.88,1.6219239373601941,4.25055928411634,28.19277108433735,False,-1.571,1.2786,2,2,2,100.0,13.632144062337028,16.594594594594597,8.378076062639806,1.6219239373601941,历史2/2次成功; 当前距低点1.62%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
5,81.01083806019192,78.2235617229378,002271,东方雨虹,bottom_area,2024-04-24,13.05,2024-04-24,12.65,3.162055335968382,3.162055335968382,30.494505494505493,False,0.4619,3.1611,2,2,2,100.0,17.274451015837123,19.371959310039802,6.837944664031618,3.162055335968382,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
6,79.65874316939892,74.75666666666667,000718,苏宁环球,bottom_area,2024-04-24,1.83,2024-04-24,1.8,1.666666666666668,4.999999999999992,27.1255060728745,False,-2.139,1.3369,1,1,1,100.0,19.44444444444444,19.44444444444444,8.333333333333332,1.666666666666668,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
7,79.43658152317431,77.64783557280599,002256,兆新股份,bottom_area,2024-04-24,1.91,2024-04-16,1.84,3.8043478260869477,8.152173913043473,30.82706766917293,True,0.0,0.7231,4,5,4,80.0,22.858863528409877,31.775700934579426,6.195652173913053,3.8043478260869477,历史4/5次成功; 当前距低点3.80%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
8,78.75695387861514,75.78521410513697,301539,宏鑫科技,bottom_area,2024-04-24,25.91,2024-04-23,25.16,2.9809220985691574,4.650238473767878,31.815718157181568,False,2.5732,28.038,1,1,1,100.0,18.61137897782063,18.61137897782063,7.019077901430842,2.9809220985691574,历史1/1次成功; 当前距低点2.98%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
9,78.43331872216595,72.57676656805336,002129,TCL中环,bottom_area,2024-04-24,9.79,2024-04-24,9.7,0.9278350515463903,2.7835051546391893,30.316091954022994,False,-1.8054,2.1933,2,2,2,100.0,21.839948847199626,31.12759643916912,9.072164948453612,0.9278350515463903,历史2/2次成功; 当前距低点0.93%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
10,72.70579076914153,69.71311463346214,002835,同为股份,bottom_area,2024-04-24,18.03,2024-04-24,17.54,2.7936145952109577,5.188141391106044,27.09891936824605,False,-7.491,29.3631,1,1,1,100.0,16.35782747603834,16.35782747603834,7.206385404789042,2.7936145952109577,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-7.49%; 状态bottom_area; 底部未确认
11,70.50544696434804,66.41943462486053,300769,德方纳米,bottom_area,2024-04-24,30.56,2024-04-24,30.0,1.8666666666666623,3.2999999999999945,30.216329378925334,False,-2.3642,4.6841,3,5,3,60.0,13.738895832583383,20.592193808882907,8.133333333333338,1.8666666666666623,历史3/5次成功; 当前距低点1.87%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
12,68.82959537049419,65.43459282039332,688276,百克生物,bottom_area,2024-04-24,39.28,2024-04-23,38.38,2.344971339239183,5.471599791558088,30.471014492753625,False,-2.4342,1.214,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,7.655028660760818,2.344971339239183,历史2/3次成功; 当前距低点2.34%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
13,55.71174169591828,52.926571137128164,301388,欣灵电气,bottom_area,2024-04-24,19.06,2024-04-24,18.63,2.3081052066559296,6.280193236714986,28.29099307159354,False,-5.0797,16.2921,1,2,1,50.0,11.822854883353113,11.822854883353113,7.691894793344072,2.3081052066559296,历史1/2次成功; 当前距低点2.31%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
14,54.23631158225555,53.45275165237315,002022,科华生物,bottom_area,2024-04-24,6.89,2024-04-22,6.61,4.236006051437206,4.236006051437206,27.362637362637354,False,0.5839,0.6476,1,3,1,33.33333333333333,25.04038772213247,25.04038772213247,5.763993948562794,4.236006051437206,历史1/3次成功; 当前距低点4.24%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
