rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,77.77237047149211,73.40078559942792,603232,格尔软件,confirmed_rebound,2024-02-07,8.14,2024-02-07,8.06,0.9925558312655095,15.012406947890804,30.874785591766717,False,-9.1518,5.8749,5,5,5,100.0,14.160284380178927,22.78481012658228,7.007444168734491,0.9925558312655095,历史5/5次成功; 当前距低点0.99%; 最新日涨幅-9.15%; 状态confirmed_rebound; 底部未确认
13,77.64932040222718,73.37730158730157,000520,凤凰航运,confirmed_rebound,2024-02-07,1.91,2024-02-07,1.89,1.0582010582010593,8.994708994709002,30.00000000000001,False,-6.3725,2.211,1,1,1,100.0,24.999999999999986,24.999999999999986,6.9417989417989405,1.0582010582010593,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.37%; 状态confirmed_rebound; 底部未确认
14,77.59079175441978,71.84332569853683,605218,伟时电子,confirmed_rebound,2024-02-07,13.55,2024-02-07,13.55,0.0,11.143911439114389,31.357649442755818,False,-10.0266,7.2737,3,3,3,100.0,22.54476182009046,42.36874236874236,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态confirmed_rebound; 底部未确认
15,77.33460825079743,75.03270546340023,603037,凯众股份,confirmed_rebound,2024-02-07,12.23,2024-02-06,11.94,2.4288107202680145,12.73031825795646,32.95901179112858,True,-5.9231,5.8912,2,2,2,100.0,24.840827449523108,39.71014492753625,5.571189279731986,2.4288107202680145,历史2/2次成功; 当前距低点2.43%; 最新日涨幅-5.92%; 状态confirmed_rebound; 底部已确认
16,76.9032135804579,73.40364519855903,001201,东瑞股份,confirmed_rebound,2024-02-07,14.8,2024-02-07,14.57,1.578586135895679,9.128345916266301,29.203109815354704,False,-6.2104,3.3515,2,2,2,100.0,14.853879507533163,18.4043517679057,6.421413864104321,1.578586135895679,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-6.21%; 状态confirmed_rebound; 底部未确认
17,76.67416079539986,70.99459332907394,000020,深华发A,confirmed_rebound,2024-02-07,11.81,2024-02-07,11.81,0.0,9.229466553767992,27.98780487804877,False,-9.9848,9.174,3,3,3,100.0,17.981684564913593,23.076923076923073,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态confirmed_rebound; 底部未确认
18,76.34945325262682,76.29132652765335,002553,南方精工,confirmed_rebound,2024-02-07,7.35,2024-02-06,7.07,3.9603960396039515,14.568599717114559,32.92220113851992,True,-2.9062,6.313,3,3,3,100.0,23.500158591130926,32.14285714285715,4.0396039603960485,3.9603960396039515,历史3/3次成功; 当前距低点3.96%; 最新日涨幅-2.91%; 状态confirmed_rebound; 底部已确认
19,75.91146611455224,75.63391047976413,002564,天沃科技,bottom_area,2024-02-07,3.27,2024-02-07,3.15,3.8095238095238133,5.71428571428572,28.73303167420815,False,3.1546,2.9591,1,1,1,100.0,27.954971857410886,27.954971857410886,4.190476190476187,3.8095238095238133,历史1/1次成功; 当前距低点3.81%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
20,75.70904032994076,73.23531416266842,002330,得利斯,confirmed_rebound,2024-02-07,3.6,2024-02-06,3.52,2.2727272727272747,12.784090909090914,32.04633204633204,True,-4.7619,2.881,2,2,2,100.0,13.264152389712924,15.844544095665164,5.727272727272725,2.2727272727272747,历史2/2次成功; 当前距低点2.27%; 最新日涨幅-4.76%; 状态confirmed_rebound; 底部已确认
21,75.24268622823813,69.6691539150353,603230,内蒙新华,confirmed_rebound,2024-02-07,11.29,2024-02-07,11.29,0.0,10.008857395925604,29.70112079701121,False,-9.9681,25.3591,2,2,2,100.0,27.522332876533863,31.521142229544196,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部未确认
22,74.55334010859046,72.21596830985915,603001,奥康国际,bottom_area,2024-02-07,3.93,2024-02-07,3.84,2.343750000000008,6.250000000000005,28.35820895522389,False,-2.7228,1.0229,1,1,1,100.0,14.084507042253536,14.084507042253536,5.656249999999992,2.343750000000008,历史1/1次成功; 当前距低点2.34%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
23,74.29743177598395,69.30730576117907,605158,华达新材,confirmed_rebound,2024-02-07,5.2,2024-02-07,5.18,0.38610038610039504,11.583011583011595,32.020997375328086,False,-9.5652,4.4904,2,2,2,100.0,18.051691620903078,25.5083179297597,7.613899613899605,0.38610038610039504,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-9.57%; 状态confirmed_rebound; 底部未确认
24,73.80783138461538,68.34058461538461,603177,德创环保,confirmed_rebound,2024-02-07,6.73,2024-02-07,6.73,0.0,11.292719167904899,28.251599147121535,False,-10.0267,2.4654,1,1,1,100.0,37.04615384615384,37.04615384615384,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态confirmed_rebound; 底部未确认
25,73.16111291123107,70.45279757584782,603291,联合水务,confirmed_rebound,2024-02-07,10.01,2024-02-06,9.81,2.038735983690105,13.65953109072375,28.602620087336245,True,-7.4006,9.0026,1,1,1,100.0,12.102772143340088,12.102772143340088,5.9612640163098956,2.038735983690105,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-7.40%; 状态confirmed_rebound; 底部已确认
26,72.96159189109878,69.69790681290591,600983,惠而浦,confirmed_rebound,2024-02-07,6.27,2024-02-07,6.17,1.6207455429497513,11.669367909238245,31.596452328159643,False,-8.3333,0.79,1,1,1,100.0,12.114014251781468,12.114014251781468,6.379254457050249,1.6207455429497513,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-8.33%; 状态confirmed_rebound; 底部未确认
27,72.89020529510763,70.86937557572075,600981,苏豪汇鸿,confirmed_rebound,2024-02-07,2.02,2024-02-06,1.97,2.53807106598985,13.705583756345192,31.59722222222222,True,-6.0465,1.9017,1,1,1,100.0,20.463320463320475,20.463320463320475,5.4619289340101504,2.53807106598985,历史1/1次成功; 当前距低点2.54%; 最新日涨幅-6.05%; 状态confirmed_rebound; 底部已确认
28,72.63114395927899,72.01822291320912,002026,山东威达,confirmed_rebound,2024-02-07,6.11,2024-02-06,5.9,3.5593220338983045,13.559322033898303,32.57142857142857,True,-7.0015,3.8366,2,2,2,100.0,22.49181263708199,29.397590361445776,4.4406779661016955,3.5593220338983045,历史2/2次成功; 当前距低点3.56%; 最新日涨幅-7.00%; 状态confirmed_rebound; 底部已确认
29,72.30734012418509,70.9558010564433,603318,水发燃气,confirmed_rebound,2024-02-07,5.46,2024-02-06,5.3,3.0188679245283048,13.773584905660385,28.859060402684566,True,-6.6667,2.4812,2,2,2,100.0,10.154945829934643,10.696761530912658,4.981132075471695,3.0188679245283048,历史2/2次成功; 当前距低点3.02%; 最新日涨幅-6.67%; 状态confirmed_rebound; 底部已确认
30,72.26734739005785,69.25418293936278,000759,中百集团,confirmed_rebound,2024-02-07,2.85,2024-02-07,2.8,1.7857142857142954,11.071428571428573,28.020565552699235,False,-8.3601,7.8178,1,1,1,100.0,11.750599520383698,11.750599520383698,6.214285714285705,1.7857142857142954,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-8.36%; 状态confirmed_rebound; 底部未确认
31,72.24282901554406,66.89150834772597,002377,国创高新,confirmed_rebound,2024-02-07,1.46,2024-02-07,1.46,0.0,9.58904109589042,31.455399061032864,False,-9.8765,5.6347,2,2,2,100.0,12.588754557666471,14.814814814814808,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.88%; 状态confirmed_rebound; 底部未确认
32,72.20719148936172,66.85851063829789,002418,康盛股份,confirmed_rebound,2024-02-07,1.78,2024-02-07,1.78,0.0,11.797752808988763,32.31939163498099,False,-10.101,3.6688,1,1,1,100.0,29.078014184397176,29.078014184397176,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.10%; 状态confirmed_rebound; 底部未确认
33,72.18360825426537,69.70716934338206,002763,汇洁股份,confirmed_rebound,2024-02-07,6.08,2024-02-06,5.95,2.18487394957983,13.277310924369749,32.38636363636364,True,-6.0278,7.5548,1,1,1,100.0,9.885386819484234,9.885386819484234,5.8151260504201705,2.18487394957983,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-6.03%; 状态confirmed_rebound; 底部已确认
34,72.05588780791302,72.2428693521185,002559,亚威股份,confirmed_rebound,2024-02-07,6.8,2024-02-06,6.53,4.134762633996931,15.160796324655426,31.979166666666664,True,-6.2069,13.9676,3,3,3,100.0,14.086710524900548,19.640387275242045,3.865237366003069,4.134762633996931,历史3/3次成功; 当前距低点4.13%; 最新日涨幅-6.21%; 状态confirmed_rebound; 底部已确认
