rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.55086641101461,83.90014794808374,000715,中兴商业,bottom_area,2023-02-09,6.32,2023-01-19,6.15,2.7642276422764214,7.317073170731696,31.05381165919282,True,0.3175,1.8619,3,3,3,100.0,17.056919206849418,24.33862433862435,7.2357723577235795,2.7642276422764214,历史3/3次成功; 当前距低点2.76%; 最新日涨幅0.32%; 状态bottom_area; 底部已确认
2,83.42382134371181,79.14341628005064,002785,万里石,bottom_area,2023-02-09,24.24,2023-02-08,23.71,2.235343736819897,7.760438633487979,27.068594278683477,False,-1.3431,8.1305,1,1,1,100.0,54.214876033057855,54.214876033057855,7.764656263180103,2.235343736819897,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
3,80.84239115355122,77.945518345741,000650,仁和药业,bottom_area,2023-02-09,6.35,2023-01-12,6.16,3.0844155844155763,5.844155844155835,27.444051825677267,False,0.4747,2.1092,2,2,2,100.0,14.827881065637138,17.19038817005545,6.915584415584425,3.0844155844155763,历史2/2次成功; 当前距低点3.08%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
4,79.35725728239483,78.70141218088742,300562,乐心医疗,bottom_area,2023-02-09,10.08,2023-01-31,9.64,4.56431535269709,5.082987551867222,27.790262172284635,False,0.5988,2.845,3,3,3,100.0,20.365866586219184,22.71604938271605,5.435684647302911,4.56431535269709,历史3/3次成功; 当前距低点4.56%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
5,78.03547522472182,75.56157318451699,000679,大连友谊,bottom_area,2023-02-09,5.62,2023-01-18,5.44,3.308823529411759,9.007352941176459,28.515111695137975,True,0.5367,1.4137,3,4,3,75.0,16.40156361062258,24.94061757719715,6.691176470588242,3.308823529411759,历史3/4次成功; 当前距低点3.31%; 最新日涨幅0.54%; 状态bottom_area; 底部已确认
6,70.2102208149018,70.14178980046233,300485,赛升药业,bottom_area,2023-02-09,12.3,2023-01-12,11.72,4.948805460750854,6.143344709897601,27.69895126465145,False,1.318,2.3135,1,1,1,100.0,12.392829306313327,12.392829306313327,5.051194539249147,4.948805460750854,历史1/1次成功; 当前距低点4.95%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
7,68.92266701077797,64.0533579102591,000419,通程控股,bottom_area,2023-02-09,6.13,2023-01-19,6.06,1.15511551155116,4.620462046204625,29.039812646370024,False,0.8224,1.6187,1,2,1,50.0,24.82269503546099,24.82269503546099,8.84488448844884,1.15511551155116,历史1/2次成功; 当前距低点1.16%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
8,63.110790158201986,60.56707155589509,300434,金石亚药,bottom_area,2023-02-09,12.31,2023-01-19,11.97,2.8404344193817868,6.766917293233071,31.127733026467197,False,0.4078,2.1646,1,2,1,50.0,26.7379679144385,26.7379679144385,7.159565580618215,2.8404344193817868,历史1/2次成功; 当前距低点2.84%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
9,63.04251959323722,58.74597429491815,000721,西安饮食,bottom_area,2023-02-09,13.29,2023-02-09,13.12,1.2957317073170727,2.515243902439025,30.765171503957784,False,-0.5984,8.1703,1,2,1,50.0,20.485175202156327,20.485175202156327,8.704268292682928,1.2957317073170727,历史1/2次成功; 当前距低点1.30%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
10,60.37153170985945,58.303781325636294,002349,精华制药,bottom_area,2023-02-09,12.04,2023-01-19,11.67,3.1705227077977653,5.3984575835475646,28.44880441446965,False,0.7531,1.9637,1,2,1,50.0,18.615984405458093,18.615984405458093,6.829477292202235,3.1705227077977653,历史1/2次成功; 当前距低点3.17%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
11,56.43632093119251,55.13816510232705,002589,瑞康医药,bottom_area,2023-02-09,4.12,2023-01-31,3.97,3.7783375314861436,5.2896725440805925,27.55474452554745,False,0.4878,1.6694,1,3,1,33.33333333333333,28.49162011173183,28.49162011173183,6.221662468513857,3.7783375314861436,历史1/3次成功; 当前距低点3.78%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
