rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.1561174381192,80.08588540880407,688316,青云科技,bottom_area,2022-02-10,49.19,2022-02-08,48.5,1.4226804123711294,4.948453608247419,31.497175141242934,False,-2.051,4.826,3,3,3,100.0,11.77202553231324,13.030303030303022,6.577319587628871,1.4226804123711294,历史3/3次成功; 当前距低点1.42%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
2,81.83260783342955,77.3906683839368,300648,星云股份,bottom_area,2022-02-10,45.09,2022-02-10,44.6,1.0986547085201839,5.9417040358744355,29.183867894569698,False,-4.2065,2.2669,2,2,2,100.0,20.191403867542057,26.78362573099414,6.9013452914798155,1.0986547085201839,历史2/2次成功; 当前距低点1.10%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
3,79.28208364814112,75.42492270883913,688039,当虹科技,bottom_area,2022-02-10,61.98,2022-02-10,61.12,1.407068062827224,7.14986910994764,32.081342371374596,False,-4.8949,3.06,2,2,2,100.0,13.403429527339858,17.019445878506282,6.592931937172776,1.407068062827224,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-4.89%; 状态bottom_area; 底部未确认
4,78.93185457844905,74.56800522896276,688127,蓝特光学,bottom_area,2022-02-10,18.4,2022-02-09,18.21,1.0433827567270606,5.3816584294343786,29.39123691353237,False,-2.697,1.7523,1,1,1,100.0,10.789881259679916,10.789881259679916,6.956617243272939,1.0433827567270606,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
5,77.78827725484899,74.00717409999716,601966,玲珑轮胎,bottom_area,2022-02-10,28.78,2022-02-10,28.38,1.4094432699083936,4.474982381959125,31.614457831325304,False,-3.5199,1.3556,1,1,1,100.0,22.476907287033857,22.476907287033857,6.590556730091607,1.4094432699083936,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
6,77.66769356169621,76.84925548922341,300624,万兴科技,bottom_area,2022-02-10,41.39,2022-02-08,40.01,3.4491377155711134,5.223694076480888,27.557486873076225,False,-1.593,3.5681,2,2,2,100.0,35.87790043400834,51.195680123425035,4.550862284428887,3.4491377155711134,历史2/2次成功; 当前距低点3.45%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
7,75.60141293300875,71.8520937997541,300507,苏奥传感,bottom_area,2022-02-10,9.72,2022-02-08,9.59,1.35557872784151,6.1522419186652755,30.60781476121563,False,-3.9526,4.1745,1,1,1,100.0,10.230179028132978,10.230179028132978,6.644421272158491,1.35557872784151,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
8,75.31342970154704,72.26247836988152,688049,炬芯科技,bottom_area,2022-02-10,49.0,2022-01-27,48.11,1.8499272500519655,7.046352109748494,30.577200577200575,False,-2.9703,2.7629,1,1,1,100.0,8.281249999999996,8.281249999999996,6.150072749948035,1.8499272500519655,历史1/1次成功; 当前距低点1.85%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
9,75.26913544673754,74.38361620618767,300658,延江股份,bottom_area,2022-02-10,10.08,2022-01-27,9.75,3.384615384615385,6.871794871794871,32.57261410788382,False,-2.8902,1.686,2,2,2,100.0,21.830856360810415,26.72018348623853,4.615384615384615,3.384615384615385,历史2/2次成功; 当前距低点3.38%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
10,75.1947583320099,70.05933043896377,300562,乐心医疗,bottom_area,2022-02-10,12.42,2022-02-10,12.38,0.3231017770597669,4.200323101777056,27.004716981132077,False,-2.6646,4.2209,1,1,1,100.0,17.559153175591536,17.559153175591536,7.676898222940233,0.3231017770597669,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
11,74.70120777108824,70.60491458851929,300573,兴齐眼药,bottom_area,2022-02-10,99.35,2022-02-10,98.3,1.06815869786368,3.1434384537131264,28.50909090909091,False,-1.6531,1.4222,2,3,2,66.66666666666666,28.675536306353806,42.86062675283501,6.93184130213632,1.06815869786368,历史2/3次成功; 当前距低点1.07%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
12,74.00745231503156,71.94842314739584,300677,英科医疗,bottom_area,2022-02-10,53.84,2022-02-07,52.51,2.532850885545621,4.646733955437069,29.516778523489933,False,-1.1747,2.0492,1,1,1,100.0,14.964103045375621,14.964103045375621,5.467149114454379,2.532850885545621,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
