rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.25139679860881,75.37902693681619,301468,博盈特焊,bottom_area,2026-03-20,48.91,68.0,2026-03-20,48.85,0.12282497441145376,6.366427840327532,28.16176470588235,28.07352941176471,False,-4.0416,7.5097,2,2,2,100.0,37.25305311007689,37.58639021796917,19.87717502558855,0.12282497441145376,历史2/2次成功; 当前距低点0.12%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
2,89.29100672508663,74.60428571428572,301066,万事利,bottom_area,2026-03-20,14.02,19.49,2026-03-20,14.0,0.14285714285713982,5.357142857142857,28.168291431503327,28.065674704976907,False,-3.9068,2.6553,1,1,1,100.0,51.40186915887851,51.40186915887851,19.85714285714286,0.14285714285713982,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-3.91%; 状态bottom_area; 底部未确认
3,89.02570377107749,78.99272032721817,688377,迪威尔,bottom_area,2026-03-20,38.28,50.95,2026-03-20,37.01,3.4315049986490225,5.052688462577694,27.36015701668303,24.867517173699706,False,0.7368,1.7531,1,1,1,100.0,41.37931034482759,41.37931034482759,16.568495001350982,3.4315049986490225,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
4,88.83924527362124,74.03270439468437,688608,恒玄科技,bottom_area,2026-03-20,168.0,246.36,2026-03-20,168.0,0.0,3.273809523809524,31.807111544081835,31.807111544081835,False,-2.0522,1.5631,2,2,2,100.0,30.55217416496976,36.80636853195971,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
5,88.77531522452416,74.07830829944346,300488,恒锋工具,bottom_area,2026-03-20,27.47,37.8,2026-03-20,27.45,0.07285974499089098,3.825136612021861,27.38095238095238,27.328042328042322,False,-2.8299,2.0718,3,4,3,75.0,40.26574472055218,65.52470248827983,19.92714025500911,0.07285974499089098,历史3/4次成功; 当前距低点0.07%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
6,88.76249245961827,74.64538087300537,600172,黄河旋风,bottom_area,2026-03-20,8.09,11.59,2026-03-20,8.05,0.49689440993787753,7.20496894409938,30.543572044866256,30.198446937014666,False,-4.0332,9.1391,2,2,2,100.0,37.89408670786942,51.074589127686465,19.503105590062123,0.49689440993787753,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
7,87.19995326605333,72.83480211786909,603861,白云电器,bottom_area,2026-03-20,15.88,22.63,2026-03-20,15.86,0.1261034047919379,5.04413619167718,29.916040653999115,29.827662395050815,False,-2.9933,3.4361,1,1,1,100.0,30.06622516556292,30.06622516556292,19.873896595208063,0.1261034047919379,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
8,86.37241476458038,72.44633484995924,603535,嘉诚国际,bottom_area,2026-03-20,8.49,11.77,2026-03-20,8.46,0.3546099290780066,3.42789598108746,28.12234494477484,27.867459643160576,False,-2.1889,0.8008,1,1,1,100.0,30.778739184178,30.778739184178,19.645390070921994,0.3546099290780066,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
9,86.30796367312787,71.9233030609399,301117,佳缘科技,bottom_area,2026-03-20,43.35,59.95,2026-03-20,43.35,0.0,5.5594002306805,27.689741451209343,27.689741451209343,False,-3.4306,5.8295,2,2,2,100.0,29.426360542687625,31.299904183966788,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
10,86.24314022444456,72.35162770507092,001391,国货航,bottom_area,2026-03-20,5.5,7.73,2026-03-20,5.48,0.3649635036496272,1.8248175182481685,29.107373868046572,28.84864165588616,False,-1.0791,1.4083,1,1,1,100.0,30.39647577092513,30.39647577092513,19.635036496350374,0.3649635036496272,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
11,86.02509913701361,71.82503483812013,002739,儒意电影,bottom_area,2026-03-20,9.58,13.87,2026-03-20,9.57,0.10449320794148158,2.821316614420058,31.00216294160057,30.930064888248015,False,-2.145,1.5564,1,1,1,100.0,24.37246963562753,24.37246963562753,19.89550679205852,0.10449320794148158,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
