rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.18456673144291,77.9057124586416,300515,三德科技,bottom_area,2023-08-08,13.4,2023-07-28,13.22,1.3615733736762459,7.3373676248108834,27.162534435261698,True,-1.1799,1.4079,1,1,1,100.0,23.441396508728182,23.441396508728182,18.638426626323756,1.3615733736762459,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
2,89.72009194822785,77.35953703606656,600995,南网储能,bottom_area,2023-08-08,10.94,2023-06-07,10.74,1.862197392923643,8.379888268156428,32.7909887359199,True,-1.1743,1.024,1,1,1,100.0,26.64165103189493,26.64165103189493,18.13780260707636,1.862197392923643,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
3,88.12755900443044,77.74809094390864,002755,奥赛康,bottom_area,2023-08-08,7.94,2023-08-08,7.7,3.1168831168831197,3.766233766233767,31.00358422939068,False,1.0178,0.516,1,1,1,100.0,30.831099195710454,30.831099195710454,16.88311688311688,3.1168831168831197,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
4,86.03884861635447,76.11746878057504,002219,新里程,bottom_area,2023-08-08,3.79,2023-08-07,3.67,3.2697547683923736,4.632152588555857,29.42307692307693,False,0.7979,0.6311,1,1,1,100.0,23.938223938223942,23.938223938223942,16.730245231607626,3.2697547683923736,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
5,85.44908185026374,76.76276856524875,600935,华塑股份,bottom_area,2023-08-08,3.8,2023-06-27,3.65,4.109589041095888,7.671232876712336,28.571428571428577,True,0.0,0.3339,1,1,1,100.0,28.50877192982458,28.50877192982458,15.890410958904114,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
6,82.62260080854439,70.10760268664427,688143,长盈通,bottom_area,2023-08-08,29.69,2023-08-08,29.4,0.9863945578231386,2.687074829931982,29.64824120603015,False,-1.0333,1.1436,1,1,1,100.0,25.949367088607595,25.949367088607595,19.01360544217686,0.9863945578231386,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
7,82.0863482242412,73.72839008013578,002864,盘龙药业,bottom_area,2023-08-08,35.55,2023-08-08,34.15,4.099560761346995,4.743777452415826,27.340425531914896,False,2.9241,8.4452,1,1,1,100.0,21.26553019358567,21.26553019358567,15.900439238653007,4.099560761346995,历史1/1次成功; 当前距低点4.10%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
8,76.65394692116382,69.4585953093738,002045,国光电器,bottom_area,2023-08-08,13.92,2023-07-28,13.31,4.58302028549962,6.536438767843721,27.937195452084456,False,-1.1364,1.4591,3,4,3,75.0,30.875707313510432,33.77563329312426,15.416979714500382,4.58302028549962,历史3/4次成功; 当前距低点4.58%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
9,70.34145882832576,60.06102628246705,603033,三维股份,bottom_area,2023-08-08,15.26,2023-08-07,15.06,1.3280212483399687,1.7928286852589612,30.180806675938804,False,0.4608,0.1415,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,18.67197875166003,1.3280212483399687,历史1/3次成功; 当前距低点1.33%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
10,67.88614981063046,58.436795624535385,002829,星网宇达,bottom_area,2023-08-08,31.02,2023-08-02,30.48,1.771653543307084,3.0511811023622037,31.918695555059195,False,0.4859,1.6359,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,18.22834645669292,1.771653543307084,历史1/3次成功; 当前距低点1.77%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
11,67.80833566460738,56.774892002335086,605117,德业股份,bottom_area,2023-08-08,108.77,2023-08-08,108.49,0.2580883030694084,6.378468061572497,28.095174973488866,False,-3.8625,4.4855,2,6,2,33.33333333333333,51.93428382351709,59.18895599654874,19.741911696930593,0.2580883030694084,历史2/6次成功; 当前距低点0.26%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
