rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.3763372772724,80.72542868236322,300624,万兴科技,bottom_area,2022-02-16,40.48,2022-02-14,39.08,3.58239508700102,5.578300921187307,29.24135433641137,False,1.3267,4.0372,2,2,2,100.0,35.87790043400834,51.195680123425035,4.41760491299898,3.58239508700102,历史2/2次成功; 当前距低点3.58%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
2,80.8458429732099,78.01572304995621,603368,柳药集团,bottom_area,2022-02-16,16.65,2022-01-28,16.3,2.1472392638036677,6.871165644171786,30.282292557741652,False,-0.2994,1.3677,1,1,1,100.0,42.85714285714285,42.85714285714285,5.852760736196333,2.1472392638036677,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
3,79.23620210459809,76.27416265385882,688319,欧林生物,bottom_area,2022-02-16,27.79,2022-02-14,27.24,2.0190895741556565,3.3039647577092595,29.739489295847317,False,0.47,0.7163,1,1,1,100.0,9.449929478138205,9.449929478138205,5.9809104258443435,2.0190895741556565,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
4,78.74392460988791,77.35558569713737,600211,西藏药业,bottom_area,2022-02-16,41.9,2022-01-28,40.65,3.075030750307503,6.519065190651903,28.18021201413428,False,0.552,0.5477,2,2,2,100.0,11.541160257196122,13.252533280349695,4.924969249692497,3.075030750307503,历史2/2次成功; 当前距低点3.08%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
5,78.59318939848306,75.86501429170637,000967,盈峰环境,bottom_area,2022-02-16,6.14,2022-01-28,6.01,2.1630615640598987,6.988352745424292,30.52023121387284,False,0.3268,0.7062,1,1,1,100.0,9.015025041736227,9.015025041736227,5.836938435940102,2.1630615640598987,历史1/1次成功; 当前距低点2.16%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
6,78.54591118293983,76.4587927852874,300562,乐心医疗,bottom_area,2022-02-16,11.84,2022-02-14,11.54,2.5996533795494,3.5528596187175054,31.957547169811328,False,1.2831,2.4173,1,1,1,100.0,17.559153175591536,17.559153175591536,5.4003466204506,2.5996533795494,历史1/1次成功; 当前距低点2.60%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
7,74.72700669461929,75.8925775125775,300511,雪榕生物,confirmed_rebound,2022-02-16,6.98,2022-01-27,6.66,4.804804804804809,8.108108108108109,31.198347107438014,True,0.7215,1.7926,2,2,2,100.0,25.900712191034756,29.220779220779214,3.1951951951951907,4.804804804804809,历史2/2次成功; 当前距低点4.80%; 最新日涨幅0.72%; 状态confirmed_rebound; 底部已确认
8,74.54796168199975,73.39242142970232,688049,炬芯科技,bottom_area,2022-02-16,48.88,2022-02-14,47.37,3.187671522060387,4.390964745619602,31.645021645021647,False,0.3284,2.299,1,1,1,100.0,8.281249999999996,8.281249999999996,4.812328477939613,3.187671522060387,历史1/1次成功; 当前距低点3.19%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
9,74.37615131911592,73.7636781960257,300677,英科医疗,bottom_area,2022-02-16,52.51,2022-02-14,50.7,3.570019723865868,4.536489151873761,31.94630872483221,False,1.7636,2.2917,1,1,1,100.0,14.964103045375621,14.964103045375621,4.429980276134132,3.570019723865868,历史1/1次成功; 当前距低点3.57%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
10,73.82188150632783,74.14929397322258,001896,豫能控股,confirmed_rebound,2022-02-16,6.16,2022-01-27,5.91,4.230118443316413,8.121827411167505,31.833910034602077,True,0.9836,0.5387,2,2,2,100.0,9.483677548301134,9.493670886075943,3.7698815566835875,4.230118443316413,历史2/2次成功; 当前距低点4.23%; 最新日涨幅0.98%; 状态confirmed_rebound; 底部已确认
11,72.89702814598039,72.98469745222931,000518,四环生物,confirmed_rebound,2022-02-16,3.33,2022-01-27,3.2,4.0624999999999964,8.4375,27.272727272727277,True,0.3012,0.7951,1,1,1,100.0,17.834394904458602,17.834394904458602,3.9375000000000036,4.0624999999999964,历史1/1次成功; 当前距低点4.06%; 最新日涨幅0.30%; 状态confirmed_rebound; 底部已确认
