rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.43031457537228,81.13005668057752,002564,天沃科技,bottom_area,2026-04-01,6.16,8.27,2026-03-27,5.99,2.8380634390651074,4.0066777963272155,27.569528415961297,25.513905683192256,False,1.6502,1.3235,2,2,2,100.0,28.92925441745143,29.903536977491967,17.161936560934894,2.8380634390651074,历史2/2次成功; 当前距低点2.84%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
2,92.31463511879038,79.95992491565693,001391,国货航,bottom_area,2026-04-01,5.32,7.73,2026-03-23,5.21,2.1113243761996223,4.222648752399227,32.60025873221217,31.177231565329883,False,1.5267,1.2604,1,1,1,100.0,30.39647577092513,30.39647577092513,17.888675623800378,2.1113243761996223,历史1/1次成功; 当前距低点2.11%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
3,91.74358217373805,79.32055238618764,601628,中国人寿,bottom_area,2026-04-01,37.02,50.7,2026-03-31,36.29,2.011573436208333,2.700468448608443,28.422090729783044,26.982248520710055,False,1.8712,0.1283,1,1,1,100.0,25.736235595390532,25.736235595390532,17.988426563791666,2.011573436208333,历史1/1次成功; 当前距低点2.01%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
4,89.67204468800013,80.63627891606082,603610,麒盛科技,bottom_area,2026-04-01,15.76,20.92,2026-03-30,15.13,4.163912756113675,7.73298083278255,27.67686424474188,24.665391969407274,True,1.6119,1.6235,1,1,1,100.0,82.78301886792451,82.78301886792451,15.836087243886327,4.163912756113675,历史1/1次成功; 当前距低点4.16%; 最新日涨幅1.61%; 状态bottom_area; 底部已确认
5,88.1076801740156,78.95873326081248,000567,海德股份,bottom_area,2026-04-01,5.23,7.02,2026-03-23,5.03,3.976143141153085,7.355864811133203,28.347578347578338,25.498575498575487,True,1.1605,0.3309,1,1,1,100.0,38.67924528301886,38.67924528301886,16.023856858846916,3.976143141153085,历史1/1次成功; 当前距低点3.98%; 最新日涨幅1.16%; 状态bottom_area; 底部已确认
6,87.84750935202445,79.22214023741799,300643,万通智控,bottom_area,2026-04-01,16.9,23.66,2026-03-23,16.2,4.320987654320983,7.839506172839504,31.53000845308538,28.571428571428577,True,2.5485,1.8726,2,2,2,100.0,27.655871447687197,31.090289608177173,15.67901234567902,4.320987654320983,历史2/2次成功; 当前距低点4.32%; 最新日涨幅2.55%; 状态bottom_area; 底部已确认
7,87.40018343973561,79.38409836065571,000932,华菱钢铁,bottom_area,2026-04-01,5.11,6.86,2026-03-24,4.88,4.7131147540983696,8.401639344262298,28.86297376093295,25.510204081632654,True,0.789,0.8856,1,1,1,100.0,55.72289156626506,55.72289156626506,15.286885245901633,4.7131147540983696,历史1/1次成功; 当前距低点4.71%; 最新日涨幅0.79%; 状态bottom_area; 底部已确认
8,87.28652213983433,77.557839638068,301687,新广益,bottom_area,2026-04-01,53.11,74.4,2026-03-31,51.31,3.5080880919898596,6.587409861625406,31.03494623655914,28.615591397849467,False,3.0862,7.5959,1,1,1,100.0,34.60365853658537,34.60365853658537,16.49191190801014,3.5080880919898596,历史1/1次成功; 当前距低点3.51%; 最新日涨幅3.09%; 状态bottom_area; 底部未确认
9,85.8071318383518,77.22265169589731,688377,迪威尔,bottom_area,2026-04-01,36.9,50.95,2026-03-27,35.41,4.2078508895792215,5.930528099406952,30.500490677134458,27.576054955839062,False,1.4294,0.6888,1,1,1,100.0,41.37931034482759,41.37931034482759,15.79214911042078,4.2078508895792215,历史1/1次成功; 当前距低点4.21%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
10,85.33262551912487,73.695503863179,603863,松炀资源,bottom_area,2026-04-01,15.68,21.38,2026-04-01,15.38,1.9505851755526586,7.282184655396613,28.063610851262855,26.660430308699716,False,-4.7966,6.9202,1,1,1,100.0,27.434613244296045,27.434613244296045,18.049414824447343,1.9505851755526586,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
11,85.13384488216246,75.29646543967279,688568,中科星图,bottom_area,2026-04-01,60.59,80.75,2026-03-30,58.68,3.254942058623046,7.873210633946826,27.3312693498452,24.965944272445817,True,-0.6721,1.1663,1,1,1,100.0,32.62222222222222,32.62222222222222,16.745057941376956,3.254942058623046,历史1/1次成功; 当前距低点3.25%; 最新日涨幅-0.67%; 状态bottom_area; 底部已确认
