rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.75848055071482,79.24730697280029,688322,奥比中光,bottom_area,2024-04-08,27.85,2024-04-08,27.71,0.5052327679538093,3.2840129916997483,28.729423868312757,False,-1.9366,1.5803,5,5,5,100.0,19.18944991255361,28.749462827675128,7.4947672320461916,0.5052327679538093,历史5/5次成功; 当前距低点0.51%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
2,84.66544908346492,78.52058830365462,688327,云从科技,bottom_area,2024-04-08,11.94,2024-04-08,11.93,0.08382229673092864,3.9396479463537353,28.175797712221552,False,-5.4632,3.2107,7,7,7,100.0,20.331737312909354,53.56783919597991,7.916177703269072,0.08382229673092864,历史7/7次成功; 当前距低点0.08%; 最新日涨幅-5.46%; 状态bottom_area; 底部未确认
3,83.69137039209973,77.72554103352063,688048,长光华芯,bottom_area,2024-04-08,38.46,2024-04-08,38.4,0.15625000000000594,5.208333333333334,32.690622261174404,False,-4.8726,3.2082,4,4,4,100.0,16.94511308344427,23.810089020771517,7.843749999999994,0.15625000000000594,历史4/4次成功; 当前距低点0.16%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
4,82.81619437076829,77.74662764095146,300757,罗博特科,bottom_area,2024-04-08,112.48,2024-04-08,111.68,0.7163323782234932,7.091690544412596,31.62309434886426,False,-8.3964,11.5964,5,5,5,100.0,23.924007867209824,74.11052233156698,7.283667621776507,0.7163323782234932,历史5/5次成功; 当前距低点0.72%; 最新日涨幅-8.40%; 状态bottom_area; 底部未确认
5,81.65264450130246,80.04639399454818,688039,当虹科技,bottom_area,2024-04-08,27.07,2024-04-08,26.29,2.966907569418034,4.602510460251049,28.90751757706868,False,-1.2404,3.0158,5,5,5,100.0,13.822275552802699,17.31207289293849,5.033092430581966,2.966907569418034,历史5/5次成功; 当前距低点2.97%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
6,81.62044240600999,75.5744837092685,603037,凯众股份,bottom_area,2024-04-08,21.36,2024-04-08,21.36,0.0,6.226591760299635,30.423452768729643,False,-9.9874,16.874,3,3,3,100.0,32.38969736165862,47.48743718592965,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
7,80.51400000000002,74.55000000000001,300580,贝斯特,bottom_area,2024-04-08,24.56,2024-04-03,24.56,0.0,4.600977198697079,27.444608567208277,False,-2.501,1.3932,1,1,1,100.0,53.89266817838245,53.89266817838245,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
8,79.70803214884408,74.23699088145898,002611,东方精工,bottom_area,2024-04-08,6.6,2024-04-08,6.58,0.30395136778114856,3.7993920972644375,29.09482758620689,False,-3.0837,5.575,1,1,1,100.0,145.12534818941506,145.12534818941506,7.696048632218852,0.30395136778114856,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
9,79.63928294210697,76.91038187762615,300426,华智数媒,bottom_area,2024-04-08,8.41,2024-04-08,8.23,2.187120291616035,4.617253948967181,27.168141592920353,False,-0.2372,2.0636,2,2,2,100.0,20.736645927476964,25.936811168258643,5.812879708383965,2.187120291616035,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
10,79.11892254733219,73.25826161790017,002657,中科金财,bottom_area,2024-04-08,13.91,2024-04-08,13.91,0.0,3.5226455787203466,27.096436058700203,False,-3.6036,3.4413,2,2,2,100.0,36.60355708548481,56.540447504302946,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.60%; 状态bottom_area; 底部未确认
11,79.01717378563286,73.31320028722925,603178,圣龙股份,bottom_area,2024-04-08,28.4,2024-04-08,28.37,0.10574550581599429,3.8068382093760955,27.256410256410252,False,-2.1365,2.3459,4,5,4,80.0,25.72204322843939,44.66270354096666,7.894254494184006,0.10574550581599429,历史4/5次成功; 当前距低点0.11%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
