rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.4653054818554,88.70733219227408,605117,德业股份,bottom_area,2023-03-29,252.3,2023-03-24,245.0,2.9795918367346985,7.591836734693887,28.913390396053963,True,0.2782,2.4402,5,5,5,100.0,28.875277311984927,59.18895599654874,5.0204081632653015,2.9795918367346985,历史5/5次成功; 当前距低点2.98%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
2,87.44144760839394,82.02452589807793,300382,斯莱克,bottom_area,2023-03-29,14.9,2023-03-28,14.8,0.6756756756756733,3.783783783783775,32.788374205267935,False,0.1344,1.3493,3,3,3,100.0,30.403583003325068,49.70059880239522,7.324324324324327,0.6756756756756733,历史3/3次成功; 当前距低点0.68%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,83.3111801443133,78.64504930565441,601958,金钼股份,bottom_area,2023-03-29,11.07,2023-03-29,10.96,1.0036496350364912,3.102189781021896,28.92347600518806,False,0.0,0.8294,1,1,1,100.0,9.749303621169918,9.749303621169918,6.996350364963509,1.0036496350364912,历史1/1次成功; 当前距低点1.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,83.26948400370105,82.97502258009615,300681,英搏尔,confirmed_rebound,2023-03-29,31.56,2023-03-20,30.4,3.8157894736842115,8.190789473684218,31.22171945701358,True,0.0951,1.9929,4,4,4,100.0,18.521626774710526,27.487589035182385,4.1842105263157885,3.8157894736842115,历史4/4次成功; 当前距低点3.82%; 最新日涨幅0.10%; 状态confirmed_rebound; 底部已确认
5,82.94062455611314,78.67923965080259,002708,光洋股份,bottom_area,2023-03-29,6.44,2023-03-20,6.36,1.2578616352201268,6.132075471698108,31.759656652360512,False,-1.0753,1.1658,1,1,1,100.0,35.522388059701484,35.522388059701484,6.742138364779874,1.2578616352201268,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
6,81.96657533381213,78.90415658325415,002660,茂硕电源,bottom_area,2023-03-29,9.09,2023-03-20,8.91,2.020202020202017,7.519640852974185,28.31858407079646,True,-0.9804,1.8627,2,2,2,100.0,20.21622144792876,24.71428571428572,5.979797979797984,2.020202020202017,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
7,80.80306235746771,77.74197220201346,002347,泰尔股份,bottom_area,2023-03-29,5.12,2023-03-20,5.02,1.9920318725099708,6.175298804780887,29.09604519774012,False,-0.9671,2.2641,2,2,2,100.0,22.816155222237516,29.585798816568047,6.007968127490029,1.9920318725099708,历史2/2次成功; 当前距低点1.99%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
8,79.43073580285349,74.12438894552082,300699,光威复材,bottom_area,2023-03-29,51.92,2023-03-29,51.71,0.4061110036743393,5.182749951653451,29.41577941577942,False,-4.5588,3.6385,2,2,2,100.0,33.98022598870056,49.6271186440678,7.593888996325661,0.4061110036743393,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-4.56%; 状态bottom_area; 底部未确认
9,78.421507989223,78.10066202630415,300393,中来股份,bottom_area,2023-03-29,14.8,2023-03-20,14.26,3.7868162692847194,7.8541374474053365,27.61421319796954,True,-1.0695,2.3459,3,3,3,100.0,20.884963012222048,23.89610389610389,4.213183730715281,3.7868162692847194,历史3/3次成功; 当前距低点3.79%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
10,78.34112677576668,72.91542349772205,603051,鹿山新材,bottom_area,2023-03-29,48.38,2023-03-29,48.25,0.2694300518134768,4.455958549222795,27.985074626865668,False,-2.4793,6.4176,2,2,2,100.0,15.58991406374611,18.738110336081178,7.730569948186523,0.2694300518134768,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
11,78.11849323815647,74.08699431036958,300767,震安科技,bottom_area,2023-03-29,40.65,2023-03-28,40.15,1.2453300124533002,3.6861768368617787,28.9128895184136,False,-0.3432,0.5182,1,1,1,100.0,10.679283541737075,10.679283541737075,6.754669987546699,1.2453300124533002,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
12,77.88799151694393,76.87296978004238,600418,江淮汽车,confirmed_rebound,2023-03-29,13.39,2023-03-20,12.96,3.3179012345678984,10.339506172839505,27.55729457797652,True,-2.2628,2.8277,3,3,3,100.0,18.751530079877334,24.365079365079367,4.682098765432102,3.3179012345678984,历史3/3次成功; 当前距低点3.32%; 最新日涨幅-2.26%; 状态confirmed_rebound; 底部已确认
13,76.8212834928433,75.42106125850813,002324,普利特,bottom_area,2023-03-29,14.22,2023-03-20,13.8,3.0434782608695645,7.391304347826083,29.01234567901235,True,0.1408,1.2397,1,1,1,100.0,8.226837060702884,8.226837060702884,4.9565217391304355,3.0434782608695645,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.14%; 状态bottom_area; 底部已确认
14,76.08996062290231,73.06836277219868,002729,好利科技,bottom_area,2023-03-29,20.99,2023-03-29,20.6,1.893203883495131,2.281553398058247,30.49932523616734,False,-0.0476,3.5763,1,1,1,100.0,13.144449605202036,13.144449605202036,6.106796116504869,1.893203883495131,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
15,75.9923657750564,70.36330164357074,002374,中锐股份,bottom_area,2023-03-29,4.44,2023-03-27,4.44,0.0,3.6036036036035863,28.155339805825236,False,-1.5521,0.9268,2,2,2,100.0,10.82420238478892,12.068965517241388,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
16,74.19835999922275,73.93916792387144,601702,华峰铝业,confirmed_rebound,2023-03-29,12.78,2023-03-20,12.31,3.8180341186027524,9.098294069861893,29.212190914318576,True,1.2678,3.1692,1,1,1,100.0,19.96927803379416,19.96927803379416,4.181965881397248,3.8180341186027524,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.27%; 状态confirmed_rebound; 底部已确认
17,73.5449038387722,73.02396852192788,000887,中鼎股份,bottom_area,2023-03-29,12.56,2023-03-20,12.12,3.630363036303641,6.600660066006607,28.45336481700119,False,-0.6329,1.3526,2,2,2,100.0,17.53331314354936,23.84615384615385,4.369636963696359,3.630363036303641,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
18,72.8470067925463,71.33448707631726,688348,昱能科技,bottom_area,2023-03-29,328.29,2023-03-29,319.01,2.908999717877192,5.184790445440588,32.018497208370626,False,-0.8247,6.054,1,1,1,100.0,16.27422813482398,16.27422813482398,5.091000282122808,2.908999717877192,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
19,72.30379359376447,72.61585019700918,605128,上海沿浦,bottom_area,2023-03-29,41.7,2023-03-28,40.01,4.223944013996514,4.39890027493128,32.75630252100841,False,3.0648,2.9045,1,1,1,100.0,16.80883090817863,16.80883090817863,3.7760559860034864,4.223944013996514,历史1/1次成功; 当前距低点4.22%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
20,56.11859035044818,55.43355776666499,605333,沪光股份,confirmed_rebound,2023-03-29,18.45,2023-03-20,17.85,3.361344537815114,8.403361344537814,30.409356725146193,True,-0.3241,2.3605,1,2,1,50.0,29.01840490797546,29.01840490797546,4.638655462184886,3.361344537815114,历史1/2次成功; 当前距低点3.36%; 最新日涨幅-0.32%; 状态confirmed_rebound; 底部已确认
