rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,77.77090882663202,73.03437017510826,002177,御银股份,bottom_area,2022-05-12,2.39,2022-05-12,2.35,1.7021276595744694,4.680851063829781,29.00302114803625,False,-1.2397,8.0799,1,1,1,100.0,10.619469026548666,10.619469026548666,8.297872340425531,1.7021276595744694,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
2,74.70462187902196,67.95546854942232,603039,泛微网络,bottom_area,2022-05-12,30.76,2022-05-12,30.75,0.032520325203257115,0.1626016260162625,27.867698803659398,False,-4.9737,4.4511,1,1,1,100.0,12.901155327342744,12.901155327342744,9.967479674796744,0.032520325203257115,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-4.97%; 状态bottom_area; 底部未确认
3,72.55140283860554,71.49591359692675,000538,云南白药,bottom_area,2022-05-12,55.68,2022-05-05,53.42,4.230625233994754,5.484837139648071,30.032743942370654,False,0.234,0.465,1,1,1,100.0,10.86956521739131,10.86956521739131,5.769374766005247,4.230625233994754,历史1/1次成功; 当前距低点4.23%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
4,69.74435101366925,68.49445224998342,000910,大亚圣象,confirmed_rebound,2022-05-12,8.22,2022-04-28,7.9,4.050632911392409,10.126582278481,28.70036101083032,True,-0.4843,0.9005,1,1,1,100.0,16.020942408376957,16.020942408376957,5.949367088607592,4.050632911392409,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-0.48%; 状态confirmed_rebound; 底部已确认
5,56.664253316895405,56.25866757392062,000959,首钢股份,bottom_area,2022-05-12,4.3,2022-05-10,4.11,4.622871046228698,6.812652068126504,32.40131578947368,False,0.0,0.7461,1,2,1,50.0,25.423728813559325,25.423728813559325,5.377128953771303,4.622871046228698,历史1/2次成功; 当前距低点4.62%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
