rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.29786120394363,79.28781255147423,000935,四川双马,bottom_area,2023-04-27,18.99,2023-04-25,18.68,1.6595289079229052,4.014989293361884,30.609212481426457,False,-0.315,0.3601,1,1,1,100.0,43.71794871794874,43.71794871794874,18.340471092077095,1.6595289079229052,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
2,90.53512961999546,76.83898432918205,301313,凡拓数创,bottom_area,2023-04-27,32.36,2023-04-26,32.04,0.9987515605493142,7.990012484394514,28.97362003990246,False,-1.0398,7.8142,2,2,2,100.0,45.6243972431962,52.43243243243245,19.001248439450688,0.9987515605493142,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
3,89.98740240235361,78.2360563235198,300530,领湃科技,bottom_area,2023-04-27,22.09,2023-04-25,21.59,2.3158869847151458,6.947660954145437,32.6365054602184,False,0.136,0.2519,3,4,3,75.0,27.802573379948058,34.07510431154381,17.684113015284854,2.3158869847151458,历史3/4次成功; 当前距低点2.32%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
4,89.44993199519968,78.22681318681319,605133,嵘泰股份,bottom_area,2023-04-27,28.02,2023-04-25,27.3,2.6373626373626333,5.567765567765566,28.79499217527387,False,-0.3556,6.3616,1,1,1,100.0,60.01483679525222,60.01483679525222,17.36263736263737,2.6373626373626333,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
5,88.75335706843536,75.85738205179683,688004,博汇科技,bottom_area,2023-04-27,34.47,2023-04-26,34.0,1.3823529411764672,14.970588235294127,31.313131313131315,False,-1.4298,5.8716,1,1,1,100.0,21.87713310580205,21.87713310580205,18.617647058823533,1.3823529411764672,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
6,88.06491810649776,76.04802849708743,688228,开普云,bottom_area,2023-04-27,45.59,2023-04-27,44.72,1.9454382826475953,6.618962432915923,29.29644268774704,False,-1.4483,3.1711,1,1,1,100.0,29.80445043830074,29.80445043830074,18.054561717352406,1.9454382826475953,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
7,87.68632798617801,74.0870843934745,002642,荣联科技,bottom_area,2023-04-27,6.69,2023-04-27,6.64,0.7530120481927818,4.066265060240971,28.138528138528144,False,-2.3358,2.9956,2,2,2,100.0,27.816945501903422,35.253456221198164,19.24698795180722,0.7530120481927818,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
8,87.43327552626404,75.52375959079285,000629,钒钛股份,bottom_area,2023-04-27,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,-0.716,0.7931,1,1,1,100.0,27.173913043478265,27.173913043478265,18.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
9,85.58357225566513,76.42270116371203,300661,圣邦股份,bottom_area,2023-04-27,124.1,2023-04-25,119.58,3.7798963037297177,6.790433182806494,30.20079383609619,False,0.4858,1.1657,1,1,1,100.0,31.832606108687024,31.832606108687024,16.220103696270282,3.7798963037297177,历史1/1次成功; 当前距低点3.78%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
10,85.44672446038003,76.79181142905377,001210,金房能源,bottom_area,2023-04-27,22.43,2023-04-24,21.54,4.131847725162491,5.2924791086351,27.180527383367135,False,0.8997,0.9458,1,1,1,100.0,38.131313131313135,38.131313131313135,15.86815227483751,4.131847725162491,历史1/1次成功; 当前距低点4.13%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
11,85.22177706575827,76.22347564313081,002795,永和智控,bottom_area,2023-04-27,10.47,2023-04-25,10.08,3.869047619047625,8.432539682539678,28.763250883392228,True,-1.7824,2.2365,2,2,2,100.0,28.467226959996715,31.302270011947446,16.130952380952376,3.869047619047625,历史2/2次成功; 当前距低点3.87%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
