rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.48574189601587,85.18021847081003,000065,北方国际,bottom_area,2024-07-29,9.42,2024-07-25,9.19,2.502720348204575,3.69967355821545,30.641509433962266,False,0.2128,0.5543,3,3,3,100.0,29.926993896325044,41.48061104582843,12.497279651795425,2.502720348204575,历史3/3次成功; 当前距低点2.50%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,90.07491951120508,82.92256858227563,002246,北化股份,bottom_area,2024-07-29,7.42,2024-07-25,7.2,3.055555555555552,4.30555555555555,31.882686849574267,False,0.135,1.501,3,3,3,100.0,24.565780908291877,31.992687385740403,11.944444444444448,3.055555555555552,历史3/3次成功; 当前距低点3.06%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
3,89.1890387022901,80.17893129770994,002687,乔治白,bottom_area,2024-07-29,4.0,2024-07-25,3.93,1.7811704834605555,2.5445292620865163,32.82051282051282,False,-0.2494,0.5333,1,1,1,100.0,64.00000000000001,64.00000000000001,13.218829516539444,1.7811704834605555,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
4,88.95190859670792,78.22894523722216,603368,柳药集团,bottom_area,2024-07-29,16.63,2024-07-25,16.53,0.604960677555946,2.7223230490018104,31.410788381742737,False,-1.9458,0.9926,3,3,3,100.0,31.603524634675978,42.85714285714285,14.395039322444052,0.604960677555946,历史3/3次成功; 当前距低点0.60%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
5,88.53372739093432,80.61349555221555,601886,江河集团,bottom_area,2024-07-29,4.57,2024-07-25,4.46,2.4663677130044914,4.260089686098664,29.54186413902054,False,-0.6522,0.4887,3,3,3,100.0,27.40222547239673,33.5540838852097,12.533632286995507,2.4663677130044914,历史3/3次成功; 当前距低点2.47%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
6,87.94635240587837,77.96549370281821,002563,森马服饰,bottom_area,2024-07-29,4.89,2024-07-25,4.84,1.0330578512396658,5.7851239669421535,28.18991097922849,False,-2.9762,0.531,1,1,1,100.0,28.929384965831446,28.929384965831446,13.966942148760333,1.0330578512396658,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
7,87.55144910588967,81.6714734123688,000789,万年青,bottom_area,2024-07-29,4.41,2024-07-09,4.25,3.7647058823529442,7.2941176470588145,29.752066115702476,True,0.4556,0.3992,2,2,2,100.0,34.00539152759949,47.599999999999994,11.235294117647054,3.7647058823529442,历史2/2次成功; 当前距低点3.76%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
8,84.54369858752987,74.01763936608484,001203,大中矿业,bottom_area,2024-07-29,8.28,2024-07-29,8.25,0.3636363636363559,2.9090909090909114,29.06276870163371,False,-2.3585,0.4219,2,2,2,100.0,22.670592877288865,29.46341463414634,14.636363636363644,0.3636363636363559,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
9,83.66047880761113,79.22381899203945,603209,兴通股份,bottom_area,2024-07-29,12.58,2024-07-25,12.03,4.571903574397346,5.569409808811305,28.093245666467432,False,1.1254,1.0299,3,3,3,100.0,23.267522267018258,26.115859449192786,10.428096425602654,4.571903574397346,历史3/3次成功; 当前距低点4.57%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
10,82.35801789728148,78.14725967033856,000811,冰轮环境,bottom_area,2024-07-29,8.5,2024-07-24,8.12,4.679802955665035,7.142857142857144,31.64983164983166,True,-1.9608,1.1173,3,3,3,100.0,32.0817763938432,47.451868629671566,10.320197044334964,4.679802955665035,历史3/3次成功; 当前距低点4.68%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
11,82.11218378027347,75.91400290707982,300349,金卡智能,bottom_area,2024-07-29,10.38,2024-07-25,10.05,3.2835820895522394,4.4776119402985,32.59557344064386,False,-0.2882,0.7942,1,1,1,100.0,45.48693586698337,45.48693586698337,11.71641791044776,3.2835820895522394,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
12,81.42020150246712,76.49476908576813,002552,宝鼎科技,bottom_area,2024-07-29,11.05,2024-07-25,10.61,4.1470311027332825,7.16305372290292,30.197368421052634,True,-1.865,0.9438,1,1,1,100.0,52.23596574690771,52.23596574690771,10.852968897266717,4.1470311027332825,历史1/1次成功; 当前距低点4.15%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
13,80.58823095823843,74.78285764719726,001218,丽臣实业,bottom_area,2024-07-29,14.26,2024-07-25,13.78,3.4833091436865056,4.2089985486211905,30.404040404040412,False,-0.1401,0.5476,2,2,2,100.0,25.18711018711019,29.999999999999993,11.516690856313494,3.4833091436865056,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
14,79.8940738474217,74.93110458284373,000629,钒钛股份,bottom_area,2024-07-29,2.31,2024-07-25,2.22,4.054054054054047,4.954954954954949,32.72727272727272,False,0.0,0.4091,1,1,1,100.0,27.173913043478265,27.173913043478265,10.945945945945953,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,78.74150275124096,73.27250351947787,600210,紫江企业,bottom_area,2024-07-29,4.85,2024-07-25,4.68,3.6324786324786316,4.487179487179486,27.329192546583858,False,-0.4107,0.5477,2,2,2,100.0,18.895455922199744,19.867549668874158,11.367521367521368,3.6324786324786316,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
16,76.98666119067488,72.87455928755622,600970,中材国际,bottom_area,2024-07-29,9.88,2024-07-25,9.45,4.550264550264567,5.079365079365084,30.206794682422455,False,3.4555,1.0648,1,1,1,100.0,22.19979818365287,22.19979818365287,10.449735449735433,4.550264550264567,历史1/1次成功; 当前距低点4.55%; 最新日涨幅3.46%; 状态bottom_area; 底部未确认
17,76.43266767532067,71.36269116988926,300435,中泰股份,bottom_area,2024-07-29,10.62,2024-07-25,10.23,3.81231671554251,5.571847507331381,27.549575070821525,False,-0.7477,0.4574,1,1,1,100.0,27.498781082398814,27.498781082398814,11.187683284457488,3.81231671554251,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
18,75.77094236652852,69.59835148003069,688169,石头科技,bottom_area,2024-07-29,303.68,2024-07-25,295.02,2.9353942105620043,5.416581926649047,30.245424882962123,False,1.8924,1.463,2,3,2,66.66666666666666,23.679481792717084,29.71190476190475,12.064605789437994,2.9353942105620043,历史2/3次成功; 当前距低点2.94%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
19,74.9456448351785,69.66998144126046,603187,海容冷链,bottom_area,2024-07-29,10.71,2024-07-25,10.34,3.5783365570599712,5.222437137330763,32.90071382219338,False,-0.8333,0.6767,1,1,1,100.0,15.530047265361235,15.530047265361235,11.421663442940028,3.5783365570599712,历史1/1次成功; 当前距低点3.58%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
20,74.77329617139877,70.79793588274464,002603,以岭药业,bottom_area,2024-07-29,15.12,2024-07-09,14.46,4.564315352697084,10.995850622406637,27.988047808764932,True,-1.1118,0.4053,3,4,3,75.0,28.653628424161244,39.661898569570866,10.435684647302915,4.564315352697084,历史3/4次成功; 当前距低点4.56%; 最新日涨幅-1.11%; 状态bottom_area; 底部已确认
21,74.2191547409983,68.21360533737626,002044,美年健康,bottom_area,2024-07-29,3.47,2024-07-25,3.37,2.9673590504451064,3.5608308605341277,31.083844580777086,False,0.289,0.5211,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,12.032640949554892,2.9673590504451064,历史2/3次成功; 当前距低点2.97%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
22,72.74670441112904,65.0030122355779,601666,平煤股份,bottom_area,2024-07-29,9.75,2024-07-25,9.61,1.456815816857446,5.411030176899078,29.597069597069602,False,-1.8127,0.9999,2,4,2,50.0,22.766410204370302,27.30923694779115,13.543184183142554,1.456815816857446,历史2/4次成功; 当前距低点1.46%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
23,72.33632283287425,67.65776042988823,002346,柘中股份,bottom_area,2024-07-29,7.18,2024-07-25,6.91,3.907380607814755,4.920405209840808,29.989868287740624,False,0.1395,0.2419,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,11.092619392185245,3.907380607814755,历史2/3次成功; 当前距低点3.91%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
24,67.50466921607925,61.49948419301163,600058,五矿发展,bottom_area,2024-07-29,6.16,2024-07-25,6.01,2.495840266222968,3.9933444259567423,31.85941043083901,False,-0.8052,0.2631,1,2,1,50.0,99.54954954954954,99.54954954954954,12.504159733777032,2.495840266222968,历史1/2次成功; 当前距低点2.50%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
