rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,75.71330318107957,75.69543995041282,601015,陕西黑猫,confirmed_rebound,2021-03-26,6.78,2021-03-24,6.52,3.9877300613497035,9.509202453987733,32.50517598343686,True,-1.4535,3.4554,2,2,2,100.0,37.29819618435554,65.6514382402707,4.012269938650297,3.9877300613497035,历史2/2次成功; 当前距低点3.99%; 最新日涨幅-1.45%; 状态confirmed_rebound; 底部已确认
2,71.96084192101199,71.82171994533095,002416,爱施德,bottom_area,2021-03-26,8.26,2021-03-25,7.95,3.899371069182385,5.031446540880497,27.06422018348624,False,1.9753,2.6684,1,1,1,100.0,8.56067732831607,8.56067732831607,4.100628930817615,3.899371069182385,历史1/1次成功; 当前距低点3.90%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
3,71.71126614987926,72.12026423001812,002353,杰瑞股份,bottom_area,2021-03-26,35.69,2021-03-24,34.22,4.295733489187606,5.055523085914682,27.438507209499573,False,1.826,1.372,1,1,1,100.0,15.024390243902431,15.024390243902431,3.704266510812394,4.295733489187606,历史1/1次成功; 当前距低点4.30%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
