rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.62299817955163,79.35521961566505,002136,安纳达,bottom_area,2025-06-10,10.73,2025-06-10,10.57,1.5137180700094621,3.689687795648066,29.297658862876247,False,-1.7399,7.2489,1,1,1,100.0,42.29299363057326,42.29299363057326,18.48628192999054,1.5137180700094621,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
2,89.32484225481414,76.4676832244871,688682,霍莱沃,bottom_area,2025-06-10,28.31,2025-06-10,27.9,1.469534050179212,5.376344086021505,31.61764705882353,False,-0.1411,2.2296,1,1,1,100.0,26.22699386503069,26.22699386503069,18.53046594982079,1.469534050179212,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
3,87.93803184443114,73.57556802149816,000811,冰轮环境,bottom_area,2025-06-10,9.18,2025-06-10,9.16,0.21834061135370714,3.2751091703056847,28.937160589604343,False,-2.2364,2.6248,1,1,1,100.0,35.17948717948718,35.17948717948718,19.781659388646293,0.21834061135370714,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
4,87.83993088788716,73.84255961844197,605005,合兴股份,bottom_area,2025-06-10,18.96,2025-06-10,18.87,0.47694753577106436,5.19342872284049,29.08680947012401,False,-4.0,3.7556,1,1,1,100.0,96.96521095484826,96.96521095484826,19.523052464228936,0.47694753577106436,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
5,87.75887221472999,75.54988645673237,688448,磁谷科技,bottom_area,2025-06-10,29.22,2025-06-03,28.71,1.7763845350052174,4.771856495994418,27.113480578827115,False,-2.4048,3.8866,1,1,1,100.0,25.053995680345576,25.053995680345576,18.223615464994783,1.7763845350052174,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
6,86.68145367996739,75.59034948628471,688543,国科军工,bottom_area,2025-06-10,44.6,2025-06-04,43.52,2.4816176470588194,6.755514705882347,31.604589030331603,False,-2.1286,3.8117,1,1,1,100.0,33.916331836445266,33.916331836445266,17.51838235294118,2.4816176470588194,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
7,86.24038258699537,75.04964642070763,688318,财富趋势,bottom_area,2025-06-10,99.0,2025-06-06,96.71,2.3679040430152067,6.503980974046124,30.906622847753095,False,-2.0384,1.1998,1,1,1,100.0,29.615417412808053,29.615417412808053,17.632095956984795,2.3679040430152067,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
8,84.62423095353078,71.42013507880996,688188,柏楚电子,bottom_area,2025-06-10,138.22,2025-06-10,137.27,0.6920667298025704,3.897428425730308,31.563465948748625,False,-0.9176,0.4473,1,1,1,100.0,29.3981033481711,29.3981033481711,19.30793327019743,0.6920667298025704,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
9,83.42591710126032,70.61878205128205,603577,汇金通,bottom_area,2025-06-10,9.44,2025-06-10,9.36,0.8547008547008554,3.6324786324786316,27.216174183514774,False,-2.3785,8.171,1,1,1,100.0,27.083333333333325,27.083333333333325,19.14529914529915,0.8547008547008554,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
10,83.35215739475473,69.9367758552371,600770,综艺股份,bottom_area,2025-06-10,5.38,2025-06-10,5.36,0.373134328358201,7.835820895522386,29.006622516556284,False,-3.2374,8.412,1,1,1,100.0,27.72861356932153,27.72861356932153,19.6268656716418,0.373134328358201,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
11,81.24395491126887,72.58925583365344,002779,中坚科技,bottom_area,2025-06-10,96.42,2025-06-10,92.88,3.8113695090439346,6.66451335055986,31.851199647809818,False,-1.9325,4.7894,1,1,1,100.0,34.08160384018072,34.08160384018072,16.188630490956065,3.8113695090439346,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
12,81.09177183631316,73.7059770251347,002042,华孚时尚,bottom_area,2025-06-10,4.85,2025-06-03,4.63,4.751619870410362,9.935205183585312,28.549382716049386,True,-2.6104,1.9396,1,1,1,100.0,42.41758241758243,42.41758241758243,15.24838012958964,4.751619870410362,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
13,80.95627004884845,72.3666169032535,300394,天孚通信,bottom_area,2025-06-10,68.73,2025-06-09,66.19,3.837437679407775,11.028856322707353,28.497353354218426,False,-2.094,4.8799,1,1,1,100.0,33.2041656575442,33.2041656575442,16.162562320592226,3.837437679407775,历史1/1次成功; 当前距低点3.84%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
14,64.08493489568619,55.69498520182198,300819,聚杰微纤,bottom_area,2025-06-10,21.84,2025-06-10,21.35,2.2950819672131075,7.119437939110068,31.12903225806451,False,-4.2525,4.1679,1,2,1,50.0,26.54716175842936,26.54716175842936,17.704918032786892,2.2950819672131075,历史1/2次成功; 当前距低点2.30%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
