rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.54491285833397,90.37420705263102,002317,众生药业,bottom_area,2025-12-19,19.17,2025-12-19,18.96,1.1075949367088653,1.6877637130801704,30.294117647058815,False,0.2615,4.7911,5,5,5,100.0,24.08345972218942,58.31999999999999,6.892405063291135,1.1075949367088653,历史5/5次成功; 当前距低点1.11%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
2,91.9498753706855,88.04116491396462,002728,特一药业,bottom_area,2025-12-19,11.1,2025-12-19,10.91,1.7415215398716728,2.01649862511458,27.508305647840537,False,0.1805,7.2026,4,4,4,100.0,19.310935617591518,39.3073593073593,6.258478460128328,1.7415215398716728,历史4/4次成功; 当前距低点1.74%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
3,87.61402365200416,85.44375234250454,603038,华立股份,bottom_area,2025-12-19,16.0,2025-12-17,15.58,2.69576379974326,5.0064184852374805,29.661399548532724,False,0.9464,0.9655,4,4,4,100.0,17.04351508558693,28.753412192902637,5.3042362002567405,2.69576379974326,历史4/4次成功; 当前距低点2.70%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
4,86.93226859681246,86.92590622490212,603327,福蓉科技,bottom_area,2025-12-19,10.93,2025-12-19,10.51,3.996194100856327,7.4215033301617455,29.651941097724226,False,2.5328,6.5398,7,7,7,100.0,40.952842875562084,129.39632545931758,4.003805899143673,3.996194100856327,历史7/7次成功; 当前距低点4.00%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
5,86.7852124729645,84.90719340167433,002459,晶澳科技,bottom_area,2025-12-19,11.14,2025-12-16,10.83,2.8624192059095153,3.970452446906738,29.215686274509807,False,0.9973,1.1727,6,6,6,100.0,16.2016623180001,26.683937823834192,5.137580794090485,2.8624192059095153,历史6/6次成功; 当前距低点2.86%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
6,86.66141030104497,83.92431048661344,002129,TCL中环,bottom_area,2025-12-19,8.34,2025-12-16,8.15,2.331288343558276,3.4355828220858817,29.253472222222214,False,0.8464,1.8246,3,3,3,100.0,21.073375859818903,31.12759643916912,5.668711656441724,2.331288343558276,历史3/3次成功; 当前距低点2.33%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
7,85.88354145126216,84.50388616690454,300768,迪普科技,bottom_area,2025-12-19,18.62,2025-12-17,18.05,3.1578947368421066,4.1551246537396125,29.43706020328381,False,0.9214,1.0825,3,3,3,100.0,34.32196863927173,47.28781110402041,4.842105263157894,3.1578947368421066,历史3/3次成功; 当前距低点3.16%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
8,85.783942830888,82.96344773567209,600048,保利发展,bottom_area,2025-12-19,6.33,2025-12-17,6.19,2.2617124394184116,2.584814216478178,27.60233918128655,False,1.28,1.1238,2,2,2,100.0,31.721247836269217,31.987577639751546,5.738287560581588,2.2617124394184116,历史2/2次成功; 当前距低点2.26%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
9,85.64270501539836,84.29620981699053,300681,英搏尔,bottom_area,2025-12-19,24.04,2025-12-17,23.3,3.1759656652360446,4.377682403433474,28.593319031566043,False,1.2211,3.5129,6,6,6,100.0,16.760277063057536,27.487589035182385,4.824034334763955,3.1759656652360446,历史6/6次成功; 当前距低点3.18%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
10,85.47359445412924,84.93208622848726,300598,诚迈科技,bottom_area,2025-12-19,44.92,2025-12-17,43.33,3.669513039464582,4.246480498499892,32.296875,False,1.975,2.1781,5,5,5,100.0,26.22890300250812,45.24950099800398,4.330486960535418,3.669513039464582,历史5/5次成功; 当前距低点3.67%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
11,85.14868808441508,82.11194463325808,600161,天坛生物,bottom_area,2025-12-19,16.44,2025-12-17,16.1,2.111801242236024,2.484472049689432,27.08333333333332,False,0.8589,0.4002,2,2,2,100.0,25.305653040624797,36.77455357142857,5.888198757763977,2.111801242236024,历史2/2次成功; 当前距低点2.11%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
