rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.30786227870955,78.0295102239741,605268,王力安防,bottom_area,2021-05-11,14.69,2021-05-10,14.39,2.0847810979847043,2.5712300208478056,27.433182047402916,False,1.2405,5.3125,1,1,1,100.0,19.692532942898985,19.692532942898985,12.915218902015296,2.0847810979847043,历史1/1次成功; 当前距低点2.08%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
2,83.8667390980865,77.10748548199768,002222,福晶科技,bottom_area,2021-05-11,14.83,2021-05-10,14.4,2.9861111111111094,3.611111111111108,32.20338983050846,False,0.3383,2.2229,1,1,1,100.0,25.783972125435533,25.783972125435533,12.013888888888891,2.9861111111111094,历史1/1次成功; 当前距低点2.99%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
3,80.67626145725997,74.70313494019506,600009,上海机场,bottom_area,2021-05-11,45.43,2021-05-10,43.95,3.3674630261660905,4.345847554038673,29.781115194120467,False,2.2277,1.4841,1,1,1,100.0,17.531992687385745,17.531992687385745,11.63253697383391,3.3674630261660905,历史1/1次成功; 当前距低点3.37%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
4,78.22598230719322,71.68516113502884,300658,延江股份,bottom_area,2021-05-11,17.93,2021-05-10,17.44,2.8096330275229264,5.447247706422014,31.28447596532702,False,-2.342,1.8068,1,1,1,100.0,16.941529235382294,16.941529235382294,12.190366972477074,2.8096330275229264,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
5,77.15202377553143,73.5386435139803,300437,清水源,bottom_area,2021-05-11,8.1,2021-05-11,7.72,4.922279792746113,4.922279792746113,32.04225352112676,False,3.9795,5.4353,1,1,1,100.0,30.330330330330323,30.330330330330323,10.077720207253888,4.922279792746113,历史1/1次成功; 当前距低点4.92%; 最新日涨幅3.98%; 状态bottom_area; 底部未确认
6,72.87819465552232,69.0442548634889,688195,腾景科技,bottom_area,2021-05-11,20.71,2021-05-07,19.8,4.595959595959596,7.979797979797971,27.419354838709676,True,-0.8617,8.7597,1,1,1,100.0,15.446466356326713,15.446466356326713,10.404040404040405,4.595959595959596,历史1/1次成功; 当前距低点4.60%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
