rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.23753186415702,85.15033826118781,002338,奥普光电,bottom_area,2025-11-18,50.82,2025-11-18,50.13,1.3764213046080145,2.533413125872723,28.742004264392314,False,0.4348,1.5035,3,3,3,100.0,15.960101267172554,20.995288574793882,8.623578695391988,1.3764213046080145,历史3/3次成功; 当前距低点1.38%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
2,91.20805109836272,84.57079926935207,001209,洪兴股份,bottom_area,2025-11-18,21.47,2025-11-18,21.25,1.0352941176470536,3.858823529411766,31.118314424635336,False,-2.4091,8.1617,4,4,4,100.0,14.469192782727669,21.88679245283018,8.964705882352947,1.0352941176470536,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
3,87.75504529679219,82.77817103908018,300563,神宇股份,bottom_area,2025-11-18,37.39,2025-10-23,36.68,1.9356597600872434,6.27044711014176,28.776699029126213,False,-1.6053,2.9952,4,4,4,100.0,15.86814673160799,20.477137176938378,8.064340239912756,1.9356597600872434,历史4/4次成功; 当前距低点1.94%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
4,86.15970286556896,81.27613193744713,603173,福斯达,bottom_area,2025-11-18,39.46,2025-11-18,38.71,1.937483854301214,4.055799535003875,29.477136090362542,False,1.2314,6.2744,1,1,1,100.0,35.34190927555856,35.34190927555856,8.062516145698787,1.937483854301214,历史1/1次成功; 当前距低点1.94%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
5,85.76311962137942,79.14459500947588,000661,长春高新,bottom_area,2025-11-18,102.6,2025-11-18,101.8,0.7858546168958714,0.8251473477406713,28.193552937857095,False,0.4307,1.123,3,3,3,100.0,16.270664172034742,25.03526756324649,9.214145383104128,0.7858546168958714,历史3/3次成功; 当前距低点0.79%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
6,85.57912024843694,79.59181887801098,688631,莱斯信息,bottom_area,2025-11-18,64.42,2025-11-18,63.66,1.193842287150495,2.6076028903550057,32.34137527898821,False,0.0311,2.4079,1,1,1,100.0,17.17085641244142,17.17085641244142,8.806157712849505,1.193842287150495,历史1/1次成功; 当前距低点1.19%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
7,83.71085232693963,79.27097834676783,002790,瑞尔特,bottom_area,2025-11-18,9.07,2025-11-12,8.88,2.1396396396396336,5.40540540540539,32.829046898638424,False,-2.9947,6.0079,1,1,1,100.0,49.512670565302145,49.512670565302145,7.860360360360367,2.1396396396396336,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
8,82.6224899054928,75.58059094433747,603809,豪能股份,bottom_area,2025-11-18,12.3,2025-11-18,12.26,0.32626427406199776,1.5497553017944496,27.88235294117647,False,-0.4854,1.1984,2,2,2,100.0,30.615448866660387,31.661442006269603,9.673735725938002,0.32626427406199776,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
9,80.36596924357023,73.78824327374657,300611,美力科技,bottom_area,2025-11-18,27.08,2025-11-18,26.94,0.5196733481811322,3.155159613956933,27.832842218055177,False,-2.66,4.3347,2,2,2,100.0,23.34999197634166,35.911602209944746,9.480326651818869,0.5196733481811322,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
10,80.31231160644008,77.00079515509366,002062,宏润建设,bottom_area,2025-11-18,9.58,2025-11-18,9.32,2.7896995708154484,7.081545064377684,27.751937984496124,False,-4.1041,3.3026,3,3,3,100.0,22.15758159437036,33.22683706070288,7.210300429184552,2.7896995708154484,历史3/3次成功; 当前距低点2.79%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
11,80.07130772673183,73.3667183850799,603151,邦基科技,bottom_area,2025-11-18,19.5,2025-11-18,19.42,0.4119464469618862,2.214212152420184,27.99406748238783,False,-0.9146,1.7786,1,1,1,100.0,36.42987249544626,36.42987249544626,9.588053553038115,0.4119464469618862,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
12,78.55153138436707,72.13916147543912,002181,粤传媒,bottom_area,2025-11-18,9.45,2025-11-18,9.4,0.5319148936170099,2.8723404255319105,32.80914939242316,False,-1.8692,4.4922,2,2,2,100.0,14.634018456375832,17.187499999999993,9.468085106382992,0.5319148936170099,历史2/2次成功; 当前距低点0.53%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
13,78.41075038868404,74.01745621343497,688141,杰华特,bottom_area,2025-11-18,40.3,2025-11-12,39.52,1.9736842105263004,7.945344129554639,30.666666666666657,True,-0.641,2.5738,3,4,3,75.0,14.206753835671678,14.416058394160567,8.026315789473701,1.9736842105263004,历史3/4次成功; 当前距低点1.97%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
14,76.36108318971,72.86523657925996,002123,梦网科技,bottom_area,2025-11-18,12.11,2025-11-13,11.81,2.5402201524132,3.217612193056723,31.93083573487032,False,0.2483,1.8432,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,7.4597798475868,2.5402201524132,历史2/3次成功; 当前距低点2.54%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
15,75.32321889911354,69.97096244354395,600292,电投水电,bottom_area,2025-11-18,13.4,2025-11-18,13.25,1.1320754716981158,3.471698113207554,28.571428571428577,False,-2.4035,2.918,2,3,2,66.66666666666666,26.050687378220395,40.524193548387096,8.867924528301884,1.1320754716981158,历史2/3次成功; 当前距低点1.13%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
16,70.81388420619527,65.54572327044026,600094,大名城,bottom_area,2025-11-18,4.28,2025-11-18,4.24,0.9433962264150951,6.603773584905645,28.378378378378372,False,-5.5188,2.9923,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,9.056603773584905,0.9433962264150951,历史2/3次成功; 当前距低点0.94%; 最新日涨幅-5.52%; 状态bottom_area; 底部未确认
17,66.34094148637608,61.439376400501544,300669,沪宁股份,bottom_area,2025-11-18,28.04,2025-11-17,27.77,0.9722722362261418,4.321209938782856,28.758337609030267,False,-0.5674,1.076,2,3,2,66.66666666666666,18.061776518443477,19.86588432523052,9.027727763773859,0.9722722362261418,历史2/3次成功; 当前距低点0.97%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
18,60.253495633467146,56.126543877750215,002468,申通快递,bottom_area,2025-11-18,14.28,2025-11-18,14.1,1.2765957446808491,4.1843971631205665,29.745889387145,False,-5.8668,3.0205,1,2,1,50.0,16.382699868938413,16.382699868938413,8.723404255319151,1.2765957446808491,历史1/2次成功; 当前距低点1.28%; 最新日涨幅-5.87%; 状态bottom_area; 底部未确认
