rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.01402578358892,82.90923076923077,603787,新日股份,bottom_area,2026-04-17,12.59,17.11,2026-04-16,12.35,1.943319838056682,3.15789473684211,27.819988310929283,26.417299824663935,False,-0.9441,2.9036,2,2,2,100.0,56.730295566502456,92.85714285714283,18.05668016194332,1.943319838056682,历史2/2次成功; 当前距低点1.94%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
2,89.10825755775335,76.64759064723823,001391,国货航,bottom_area,2026-04-17,5.29,7.73,2026-04-03,5.2,1.7307692307692282,3.4615384615384563,32.729624838292374,31.56532988357051,False,-0.5639,0.648,1,1,1,100.0,30.39647577092513,30.39647577092513,18.269230769230774,1.7307692307692282,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
3,85.8793730791581,77.03300247262447,300080,易成新能,bottom_area,2026-04-17,4.65,6.38,2026-04-03,4.47,4.026845637583906,7.382550335570472,29.93730407523511,27.115987460815038,True,0.0,1.5595,1,1,1,100.0,28.947368421052627,28.947368421052627,15.973154362416095,4.026845637583906,历史1/1次成功; 当前距低点4.03%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
4,85.32644855422056,75.03711012349359,001328,登康口腔,bottom_area,2026-04-17,32.19,44.35,2026-04-07,31.27,2.942117045091136,6.459865685960983,29.492671927846676,27.418263810597526,False,-0.8318,0.6825,1,1,1,100.0,36.58675799086758,36.58675799086758,17.057882954908866,2.942117045091136,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
5,82.11378926492873,73.48427945052127,603535,嘉诚国际,bottom_area,2026-04-17,8.26,11.77,2026-03-23,7.95,3.899371069182385,8.553459119496862,32.4553950722175,29.82158028887001,True,-1.9002,0.6941,1,1,1,100.0,30.778739184178,30.778739184178,16.100628930817617,3.899371069182385,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
6,79.5985576203118,72.52995983935745,600611,大众交通,bottom_area,2026-04-17,4.72,6.6,2026-04-07,4.5,4.888888888888884,5.555555555555555,31.818181818181813,28.484848484848484,False,0.0,0.8147,1,1,1,100.0,24.497991967871478,24.497991967871478,15.111111111111116,4.888888888888884,历史1/1次成功; 当前距低点4.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,77.86527938661001,65.16819060647516,000966,长源电力,bottom_area,2026-04-17,4.26,5.95,2026-04-17,4.25,0.23529411764705382,2.35294117647058,28.571428571428577,28.40336134453782,False,-1.8433,1.8832,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,19.76470588235295,0.23529411764705382,历史2/3次成功; 当前距低点0.24%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
8,75.13807542149544,68.43561798953105,603848,好太太,bottom_area,2026-04-17,15.52,21.38,2026-04-03,14.8,4.864864864864857,5.810810810810807,30.776426566884936,27.408793264733394,False,-0.449,0.3132,1,1,1,100.0,24.664031620553352,24.664031620553352,15.135135135135144,4.864864864864857,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
9,70.27040061538372,59.35686462555132,600121,郑州煤电,bottom_area,2026-04-17,4.09,5.69,2026-04-07,4.06,0.7389162561576417,6.896551724137938,28.646748681898078,28.119507908611606,False,-1.9185,2.6957,3,6,3,50.0,23.44942843865986,29.452054794520542,19.26108374384236,0.7389162561576417,历史3/6次成功; 当前距低点0.74%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
10,67.46289084632124,58.12578639208562,000625,长安汽车,bottom_area,2026-04-17,10.06,13.84,2026-03-30,9.88,1.8218623481781346,4.554655870445337,28.612716763005775,27.312138728323692,False,-0.8867,0.8722,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.178137651821867,1.8218623481781346,历史1/3次成功; 当前距低点1.82%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
11,66.86186924947975,56.909050649350654,688169,石头科技,bottom_area,2026-04-17,111.27,153.7,2026-04-16,110.0,1.154545454545451,4.336363636363632,28.43201040988939,27.605725439167205,False,-0.6074,1.7747,1,4,1,25.0,29.71190476190475,29.71190476190475,18.84545454545455,1.154545454545451,历史1/4次成功; 当前距低点1.15%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
