rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.03033630054199,83.07880617414972,300454,深信服,bottom_area,2023-10-27,82.5,2023-10-27,80.44,2.560914967677775,2.9711586275484843,27.150878464046375,False,0.3405,1.2126,3,3,3,100.0,19.34243172287662,29.49391262831224,7.439085032322225,2.560914967677775,历史3/3次成功; 当前距低点2.56%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
2,85.84006231615628,79.70891810795399,688023,安恒信息,bottom_area,2023-10-27,118.28,2023-10-24,116.98,1.1113010771071954,4.804240041032647,29.021297251380375,False,-2.6021,1.4199,1,1,1,100.0,39.261744966442954,39.261744966442954,8.888698922892805,1.1113010771071954,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
3,83.66518991889822,79.65868786644394,603326,我乐家居,bottom_area,2023-10-27,10.14,2023-10-23,9.9,2.4242424242424265,3.8383838383838285,30.76923076923077,False,1.1976,2.2523,2,2,2,100.0,15.946024697401477,20.141843971631218,7.575757575757574,2.4242424242424265,历史2/2次成功; 当前距低点2.42%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
4,80.53196265248138,76.08802037559302,000938,紫光股份,bottom_area,2023-10-27,19.69,2023-10-23,19.3,2.020725388601039,4.041450777202059,28.011935844834014,False,-0.9059,1.6681,1,1,1,100.0,30.942334739803094,30.942334739803094,7.979274611398962,2.020725388601039,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
5,80.08444119390758,78.85471334907473,000928,中钢国际,bottom_area,2023-10-27,6.22,2023-10-23,5.97,4.1876046901172534,5.192629815745402,31.06235565819862,False,2.3026,2.089,3,3,3,100.0,16.57232280936585,18.798449612403097,5.812395309882747,4.1876046901172534,历史3/3次成功; 当前距低点4.19%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
6,79.27519906435654,76.26236489563992,600408,安泰集团,bottom_area,2023-10-27,2.43,2023-10-23,2.36,2.9661016949152663,7.203389830508472,30.99415204678363,True,-0.8163,1.7705,2,2,2,100.0,17.60793957014374,21.457489878542503,7.033898305084735,2.9661016949152663,历史2/2次成功; 当前距低点2.97%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
7,78.65912800206173,75.12788061661216,600057,厦门象屿,bottom_area,2023-10-27,6.34,2023-10-26,6.18,2.588996763754048,3.559870550161823,27.12264150943397,False,1.278,0.8722,1,1,1,100.0,10.273081924577374,10.273081924577374,7.411003236245953,2.588996763754048,历史1/1次成功; 当前距低点2.59%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
8,78.06849475943122,76.16438513115239,002314,南山控股,bottom_area,2023-10-27,3.08,2023-10-19,2.97,3.7037037037036993,4.713804713804703,28.087167070217912,False,0.3257,1.0107,2,2,2,100.0,12.843169761273208,13.750000000000004,6.296296296296301,3.7037037037036993,历史2/2次成功; 当前距低点3.70%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
9,77.9964627148392,76.347359744361,000014,沙河股份,bottom_area,2023-10-27,11.25,2023-10-23,10.83,3.8781163434903037,5.909510618651899,31.671924290220822,False,1.0782,2.3521,2,2,2,100.0,15.964865631822029,20.605355064027936,6.121883656509697,3.8781163434903037,历史2/2次成功; 当前距低点3.88%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
10,75.98467122982983,75.73117774782871,601155,新城控股,bottom_area,2023-10-27,11.95,2023-10-20,11.4,4.8245614035087625,5.263157894736839,27.06333973128599,False,1.2712,0.5722,2,2,2,100.0,24.2536438055306,24.642857142857142,5.1754385964912375,4.8245614035087625,历史2/2次成功; 当前距低点4.82%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
11,75.41955781572855,74.70670755281996,603305,旭升集团,bottom_area,2023-10-27,18.34,2023-10-26,17.55,4.501424501424496,6.324786324786322,27.178423236514526,False,1.382,1.3611,2,2,2,100.0,14.784706537999003,15.339805825242717,5.498575498575504,4.501424501424496,历史2/2次成功; 当前距低点4.50%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
12,74.2476146675568,73.8023516110797,688337,普源精电,bottom_area,2023-10-27,39.78,2023-10-26,38.0,4.684210526315793,5.973684210526324,27.61904761904762,False,2.5522,1.8269,1,1,1,100.0,28.829847371396255,28.829847371396255,5.315789473684208,4.684210526315793,历史1/1次成功; 当前距低点4.68%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
