rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
18,64.65999999999998,53.883333333333326,002123,梦网科技,bottom_area,2025-10-17,12.2,2025-10-17,12.2,0.0,2.8688524590164053,29.68299711815563,False,-2.478,2.0883,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
19,64.06416286590476,53.88830095893782,600706,曲江文旅,bottom_area,2025-10-17,9.85,2025-10-13,9.8,0.5102040816326422,4.59183673469387,31.420573827851634,False,-1.3026,4.0447,1,2,1,50.0,24.578313253012034,24.578313253012034,19.48979591836736,0.5102040816326422,历史1/2次成功; 当前距低点0.51%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
20,63.79714285714285,53.16428571428571,688039,当虹科技,bottom_area,2025-10-17,49.0,2025-10-17,49.0,0.0,6.448979591836728,30.956742285472732,False,-5.7692,3.743,2,7,2,28.57142857142857,62.201664036449046,79.31638913234006,20.0,0.0,历史2/7次成功; 当前距低点0.00%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
21,63.03856168751035,55.383589382182976,300732,设研院,bottom_area,2025-10-17,8.19,2025-10-13,7.96,2.8894472361808985,7.663316582914577,28.673835125448026,True,-1.444,2.498,1,4,1,25.0,33.58348968105066,33.58348968105066,17.110552763819104,2.8894472361808985,历史1/4次成功; 当前距低点2.89%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
22,61.863816508043136,52.12680472506568,300757,罗博特科,bottom_area,2025-10-17,208.25,2025-10-17,207.0,0.6038647342995169,6.666666666666672,31.606423048965844,False,-5.1555,3.5322,2,8,2,25.0,47.30438881327193,74.11052233156698,19.396135265700483,0.6038647342995169,历史2/8次成功; 当前距低点0.60%; 最新日涨幅-5.16%; 状态bottom_area; 底部未确认
23,60.91440345833028,51.65910506736983,603305,旭升集团,bottom_area,2025-10-17,14.78,2025-10-17,14.64,0.9562841530054562,5.669398907103825,27.881773399014776,False,-6.2183,4.8396,2,6,2,33.33333333333333,31.05429894026305,32.41061130334487,19.043715846994544,0.9562841530054562,历史2/6次成功; 当前距低点0.96%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
24,60.330534586978985,53.395046172097715,002148,北纬科技,bottom_area,2025-10-17,9.1,2025-10-13,8.81,3.2917139614074817,8.286038592508497,29.236947791164653,True,-2.2556,3.169,1,4,1,25.0,27.823408624229966,27.823408624229966,16.70828603859252,3.2917139614074817,历史1/4次成功; 当前距低点3.29%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
25,58.08623252325231,51.57188868886888,600232,金鹰股份,bottom_area,2025-10-17,6.27,2025-10-13,6.06,3.465346534653465,6.930693069306945,28.28402366863905,False,-0.7911,1.675,1,3,1,33.33333333333333,27.954545454545443,27.954545454545443,16.534653465346537,3.465346534653465,历史1/3次成功; 当前距低点3.47%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
26,57.57472354736973,51.37907188067933,688335,复洁科技,bottom_area,2025-10-17,25.21,2025-10-16,24.3,3.7448559670781894,13.456790123456788,31.45275035260931,True,-1.176,8.4483,1,3,1,33.33333333333333,21.15059221658205,21.15059221658205,16.255144032921812,3.7448559670781894,历史1/3次成功; 当前距低点3.74%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
27,57.32560316069051,47.877990056066864,002617,露笑科技,bottom_area,2025-10-17,8.23,2025-10-17,8.22,0.12165450121654241,5.596107055961059,29.743589743589734,False,-4.5244,4.9058,1,6,1,16.666666666666664,36.60589060308556,36.60589060308556,19.87834549878346,0.12165450121654241,历史1/6次成功; 当前距低点0.12%; 最新日涨幅-4.52%; 状态bottom_area; 底部未确认
28,56.742976190476185,51.58452380952381,000718,苏宁环球,bottom_area,2025-10-17,2.64,2025-09-29,2.52,4.761904761904765,10.714285714285715,32.800000000000004,True,-2.2222,4.5512,1,4,1,25.0,36.111111111111114,36.111111111111114,15.238095238095237,4.761904761904765,历史1/4次成功; 当前距低点4.76%; 最新日涨幅-2.22%; 状态bottom_area; 底部已确认
29,55.480497017892645,46.23374751491054,300563,神宇股份,bottom_area,2025-10-17,36.79,2025-10-17,36.79,0.0,7.039956509921183,28.563106796116504,False,-6.1001,6.6263,1,4,1,25.0,20.477137176938378,20.477137176938378,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-6.10%; 状态bottom_area; 底部未确认
30,54.39161554930035,48.98623760651273,002022,科华生物,bottom_area,2025-10-17,6.38,2025-10-13,6.12,4.248366013071892,6.04575163398693,27.573964497041416,False,-0.6231,0.8935,1,4,1,25.0,25.04038772213247,25.04038772213247,15.751633986928109,4.248366013071892,历史1/4次成功; 当前距低点4.25%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
31,53.62637217547793,48.722671085574895,000679,大连友谊,bottom_area,2025-10-17,7.75,2025-10-13,7.4,4.7297297297297245,10.675675675675663,29.924242424242426,True,0.1292,1.7553,1,8,1,12.5,24.94061757719715,24.94061757719715,15.270270270270276,4.7297297297297245,历史1/8次成功; 当前距低点4.73%; 最新日涨幅0.13%; 状态bottom_area; 底部已确认
