rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.46250627256718,83.12646758602678,002322,理工能科,bottom_area,2022-12-14,9.38,2022-11-28,9.16,2.401746724890837,8.187772925764191,29.80842911877395,True,0.7519,0.9467,2,2,2,100.0,25.120699563321974,28.6908077994429,17.598253275109165,2.401746724890837,历史2/2次成功; 当前距低点2.40%; 最新日涨幅0.75%; 状态bottom_area; 底部已确认
2,94.90597249550164,80.59215036891129,002047,宝鹰股份,bottom_area,2022-12-14,3.93,2022-12-12,3.89,1.0282776349614406,3.08483290488431,28.09611829944547,False,0.2551,1.2455,1,1,1,100.0,20.51948051948051,20.51948051948051,18.97172236503856,1.0282776349614406,历史1/1次成功; 当前距低点1.03%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
3,84.09719255106769,73.55992818045343,000815,美利云,bottom_area,2022-12-14,13.18,2022-12-14,12.84,2.6479750778816187,2.8037383177570048,29.060773480662988,False,0.9188,5.7605,2,3,2,66.66666666666666,41.45507898578945,55.703211517165016,17.35202492211838,2.6479750778816187,历史2/3次成功; 当前距低点2.65%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
