rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.11419590496297,81.28945812807882,002016,世荣兆业,bottom_area,2025-03-04,5.88,2025-03-04,5.8,1.3793103448275874,1.3793103448275874,31.92488262910798,False,0.5128,0.9939,1,1,1,100.0,28.571428571428566,28.571428571428566,18.620689655172416,1.3793103448275874,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
2,88.71570858520938,79.68101124697023,002522,浙江众成,bottom_area,2025-03-04,5.08,2025-03-04,4.88,4.098360655737709,5.122950819672131,29.377713458755427,False,2.4194,8.9576,2,2,2,100.0,36.58749216157104,37.41339491916859,15.901639344262291,4.098360655737709,历史2/2次成功; 当前距低点4.10%; 最新日涨幅2.42%; 状态bottom_area; 底部未确认
3,85.53240428871091,75.98530268037118,300548,长芯博创,bottom_area,2025-03-04,42.31,2025-03-04,40.88,3.4980430528375726,4.7700587084148625,29.879931389365343,False,0.0473,9.4296,1,1,1,100.0,26.026026026026024,26.026026026026024,16.501956947162427,3.4980430528375726,历史1/1次成功; 当前距低点3.50%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
4,80.31338526565384,71.10290251937215,600986,浙文互联,bottom_area,2025-03-04,8.43,2025-03-04,8.16,3.308823529411759,4.166666666666665,28.671328671328666,False,1.5663,6.0841,2,3,2,66.66666666666666,36.345986557872585,50.432276657060505,16.691176470588243,3.308823529411759,历史2/3次成功; 当前距低点3.31%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
5,67.82519241643072,57.89070366757731,688183,生益电子,bottom_area,2025-03-04,27.12,2025-03-04,26.77,1.3074336944340732,7.022786701531561,31.499488229273283,False,-7.1869,3.7444,1,2,1,50.0,26.24544349939247,26.24544349939247,18.692566305565926,1.3074336944340732,历史1/2次成功; 当前距低点1.31%; 最新日涨幅-7.19%; 状态bottom_area; 底部未确认
6,66.1456334961681,59.98022438496895,300422,博世科,bottom_area,2025-03-04,4.3,2025-02-06,4.11,4.622871046228698,6.5693430656934195,30.220713073005083,False,2.381,4.0926,1,2,1,50.0,45.4320987654321,45.4320987654321,15.377128953771301,4.622871046228698,历史1/2次成功; 当前距低点4.62%; 最新日涨幅2.38%; 状态bottom_area; 底部未确认
