rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.61717507472581,83.95545317308152,603171,税友股份,bottom_area,2026-02-13,66.79,90.6,2026-02-13,66.02,1.1663132384126178,5.104513783701916,27.130242825607066,26.28035320088299,False,-2.4679,0.8569,3,3,3,100.0,29.433587939044575,42.43926623698561,18.833686761587384,1.1663132384126178,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
2,89.6670083420447,81.47824045692644,603800,洪田股份,bottom_area,2026-02-13,39.8,53.2,2026-02-06,38.0,4.73684210526315,8.421052631578956,28.571428571428577,25.187969924812037,True,2.8158,2.9083,3,3,3,100.0,28.216346542615163,32.08300079808461,15.263157894736851,4.73684210526315,历史3/3次成功; 当前距低点4.74%; 最新日涨幅2.82%; 状态bottom_area; 底部已确认
3,86.99405959615562,73.71875126903554,600271,航天信息,bottom_area,2026-02-13,9.94,13.99,2026-02-02,9.85,0.9137055837563437,5.1776649746192875,29.592566118656187,28.94924946390279,False,0.0,0.9994,1,1,1,100.0,21.999999999999996,21.999999999999996,19.086294416243657,0.9137055837563437,历史1/1次成功; 当前距低点0.91%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,85.60869327972209,74.5505958477859,301023,奕帆传动,bottom_area,2026-02-13,46.41,65.18,2026-02-06,45.32,2.40511915269196,5.4060017652250725,30.469469162319733,28.797177048174298,False,-0.3436,3.8973,1,1,1,100.0,27.388535031847127,27.388535031847127,17.59488084730804,2.40511915269196,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
5,82.75238896725551,73.73319929843444,600435,北方导航,bottom_area,2026-02-13,16.71,22.55,2026-01-30,16.12,3.6600496277915626,7.133995037220835,28.514412416851435,25.8980044345898,True,-0.5949,2.0944,1,1,1,100.0,29.183400267737625,29.183400267737625,16.33995037220844,3.6600496277915626,历史1/1次成功; 当前距低点3.66%; 最新日涨幅-0.59%; 状态bottom_area; 底部已确认
6,79.89543975869836,67.42203503055318,603169,兰石重装,bottom_area,2026-02-13,10.27,14.18,2026-01-29,10.2,0.6862745098039245,7.745098039215696,28.067700987306072,27.57404795486601,True,-1.534,1.8005,3,5,3,60.0,35.30505867153828,49.872122762148344,19.313725490196077,0.6862745098039245,历史3/5次成功; 当前距低点0.69%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
7,76.66090206456958,66.45502994011977,300652,雷迪克,bottom_area,2026-02-13,51.18,74.21,2026-02-06,50.1,2.1556886227544876,3.932135728542912,32.48888289987871,31.03355342945694,False,0.7877,1.4575,1,2,1,50.0,54.41115272575945,54.41115272575945,17.844311377245514,2.1556886227544876,历史1/2次成功; 当前距低点2.16%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
8,74.41890608576452,63.61796879779749,603360,百傲化学,bottom_area,2026-02-13,28.39,38.98,2026-02-09,28.0,1.3928571428571448,9.357142857142861,28.168291431503327,27.167778347870698,False,0.3535,1.2329,1,2,1,50.0,25.39614561027837,25.39614561027837,18.607142857142854,1.3928571428571448,历史1/2次成功; 当前距低点1.39%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
9,71.7892357535821,61.1030798281026,300723,一品红,bottom_area,2026-02-13,33.29,45.88,2026-02-02,32.91,1.154664235794599,6.95837131570953,28.269398430688764,27.441150828247608,False,-0.9226,1.3099,1,2,1,50.0,31.428571428571427,31.428571428571427,18.8453357642054,1.154664235794599,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
10,67.42685118796442,56.189042656637014,002342,巨力索具,bottom_area,2026-02-13,15.44,21.42,2026-02-13,15.44,0.0,0.0,27.91783380018675,27.91783380018675,False,-9.9708,2.5027,2,5,2,40.0,41.500229336758096,49.54591321897074,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
11,67.03846636287322,58.28611734982506,000797,中国武夷,bottom_area,2026-02-13,3.09,4.27,2026-02-02,3.02,2.3178807947019817,9.602649006622517,29.274004683840744,27.634660421545664,True,-0.3226,1.5954,2,6,2,33.33333333333333,24.126624883936852,27.083333333333325,17.68211920529802,2.3178807947019817,历史2/6次成功; 当前距低点2.32%; 最新日涨幅-0.32%; 状态bottom_area; 底部已确认
