rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.71448616411854,84.44168437524786,603226,菲林格尔,bottom_area,2023-09-13,5.35,2023-09-12,5.25,1.904761904761898,3.0476190476190506,29.71887550200803,False,1.1342,4.5569,3,3,3,100.0,18.62656730163969,20.479302832244016,13.095238095238102,1.904761904761898,历史3/3次成功; 当前距低点1.90%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
2,92.08042495542945,82.65145256282123,300588,熙菱信息,bottom_area,2023-09-13,12.57,2023-09-12,12.36,1.699029126213599,7.1197411003236315,27.20848056537103,False,0.8828,16.165,2,2,2,100.0,23.146446078431378,25.98039215686274,13.3009708737864,1.699029126213599,历史2/2次成功; 当前距低点1.70%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
3,89.965295040016,79.9691511466809,300561,汇金科技,bottom_area,2023-09-13,12.9,2023-09-13,12.75,1.1764705882352968,2.3529411764705936,30.96913914455874,False,-1.1494,3.9484,2,2,2,100.0,24.79303273041607,27.62128325508607,13.823529411764701,1.1764705882352968,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
4,87.56350702482159,78.16911851036508,603106,恒银科技,bottom_area,2023-09-13,7.21,2023-09-11,7.11,1.4064697609001355,6.610407876230657,30.634146341463413,False,-2.171,4.7432,1,1,1,100.0,34.60144927536232,34.60144927536232,13.593530239099863,1.4064697609001355,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
5,83.43682226712313,78.7502541140401,000411,英特集团,bottom_area,2023-09-13,11.88,2023-08-24,11.38,4.393673110720562,9.490333919156415,27.974683544303797,True,-1.2469,2.0624,3,3,3,100.0,31.816283905822544,47.98426745329401,10.606326889279439,4.393673110720562,历史3/3次成功; 当前距低点4.39%; 最新日涨幅-1.25%; 状态bottom_area; 底部已确认
6,81.20659062376613,74.80627198524641,601777,千里科技,bottom_area,2023-09-13,3.67,2023-08-25,3.56,3.089887640449435,8.146067415730338,27.93522267206478,True,-2.6525,0.6484,1,1,1,100.0,27.96352583586626,27.96352583586626,11.910112359550565,3.089887640449435,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
7,79.03690141101497,69.3650002679959,603221,爱丽家居,bottom_area,2023-09-13,8.14,2023-09-13,8.1,0.4938271604938386,2.2222222222222188,29.3193717277487,False,-1.4528,3.4558,1,1,1,100.0,15.91895803183791,15.91895803183791,14.50617283950616,0.4938271604938386,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
8,68.76145918787984,64.49290345894462,002386,天原股份,bottom_area,2023-09-13,5.9,2023-08-31,5.67,4.05643738977073,5.996472663139327,31.604342581423396,False,-1.3378,0.4447,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,10.943562610229268,4.05643738977073,历史2/3次成功; 当前距低点4.06%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
9,68.51602104332301,63.157226101387124,002265,建设工业,bottom_area,2023-09-13,12.54,2023-08-25,12.16,3.1249999999999916,7.1546052631578885,28.344136711844424,True,-2.4125,0.8971,2,4,2,50.0,24.09798979240379,32.75229357798165,11.875000000000007,3.1249999999999916,历史2/4次成功; 当前距低点3.12%; 最新日涨幅-2.41%; 状态bottom_area; 底部已确认
10,68.08978496025244,61.30132908309416,002861,瀛通通讯,bottom_area,2023-09-13,11.5,2023-09-13,11.29,1.8600531443755612,2.125775022143492,28.089171974522298,False,0.4367,11.3966,1,2,1,50.0,18.668012108980825,18.668012108980825,13.139946855624437,1.8600531443755612,历史1/2次成功; 当前距低点1.86%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
11,63.985000613830806,58.25291388731865,601778,晶科科技,bottom_area,2023-09-13,3.75,2023-08-29,3.66,2.459016393442619,7.377049180327869,28.79377431906614,True,-1.5748,1.2469,1,3,1,33.33333333333333,42.344827586206904,42.344827586206904,12.54098360655738,2.459016393442619,历史1/3次成功; 当前距低点2.46%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
12,60.28796015160146,56.829201143372956,002272,川润股份,bottom_area,2023-09-13,6.03,2023-08-25,5.78,4.325259515570934,10.553633217993069,29.42612942612942,True,-4.2857,4.9031,1,2,1,50.0,48.337595907928375,48.337595907928375,10.674740484429066,4.325259515570934,历史1/2次成功; 当前距低点4.33%; 最新日涨幅-4.29%; 状态bottom_area; 底部已确认
13,56.89445592994479,50.38803921568628,002069,獐子岛,bottom_area,2023-09-13,4.12,2023-09-13,4.08,0.980392156862746,1.715686274509811,27.915194346289752,False,-0.4831,1.8496,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,14.019607843137253,0.980392156862746,历史1/3次成功; 当前距低点0.98%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
