rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.61574478593556,86.25437339187827,603305,旭升集团,bottom_area,2025-10-22,15.02,2025-10-17,14.64,2.59562841530054,5.669398907103825,27.881773399014776,False,0.0666,3.1234,6,6,6,100.0,20.174226767545644,32.41061130334487,5.404371584699461,2.59562841530054,历史6/6次成功; 当前距低点2.60%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
2,85.63973119436132,81.14450037773662,000700,模塑科技,bottom_area,2025-10-22,9.3,2025-10-17,9.19,1.1969532100108946,5.114254624591955,30.060882800608834,False,-0.7471,1.767,2,2,2,100.0,31.363191916997117,52.926829268292686,6.803046789989106,1.1969532100108946,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
3,84.08935634547176,81.61387268267437,300563,神宇股份,bottom_area,2025-10-22,37.69,2025-10-17,36.79,2.446316933949439,7.039956509921183,28.563106796116504,False,-0.7374,3.0981,4,4,4,100.0,15.86814673160799,20.477137176938378,5.553683066050561,2.446316933949439,历史4/4次成功; 当前距低点2.45%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
4,82.9334773749068,77.72634970045581,688036,传音控股,bottom_area,2025-10-22,75.16,2025-10-20,74.69,0.6292676395769164,4.244209398848577,28.79885605338418,False,-1.7131,0.6642,4,4,4,100.0,12.5326877348988,19.148936170212753,7.370732360423084,0.6292676395769164,历史4/4次成功; 当前距低点0.63%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
5,81.99051700282453,81.28563565305427,688039,当虹科技,bottom_area,2025-10-22,50.74,2025-10-17,49.0,3.551020408163269,6.448979591836728,30.956742285472732,False,-1.3224,1.9466,7,7,7,100.0,27.644957976701654,79.31638913234006,4.448979591836731,3.551020408163269,历史7/7次成功; 当前距低点3.55%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
6,81.36703660735634,78.47549152542372,688621,阳光诺和,confirmed_rebound,2025-10-22,60.25,2025-10-14,59.0,2.11864406779661,8.322033898305078,31.355439208842352,True,-1.0023,1.5725,1,1,1,100.0,46.0,46.0,5.88135593220339,2.11864406779661,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.00%; 状态confirmed_rebound; 底部已确认
7,80.7300858504777,76.71633393075456,300056,中创环保,confirmed_rebound,2025-10-22,10.52,2025-10-15,10.38,1.3487475915221463,8.188824662813097,29.001367989056074,True,-1.6822,2.2763,1,1,1,100.0,27.10472279260781,27.10472279260781,6.651252408477854,1.3487475915221463,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.68%; 状态confirmed_rebound; 底部已确认
8,80.12578137045595,77.02659371735756,002453,华软科技,bottom_area,2025-10-22,6.8,2025-10-17,6.67,1.9490254872563704,5.6971514242878545,31.65983606557377,False,-2.9957,7.1211,2,2,2,100.0,18.44285929194665,28.60169491525425,6.05097451274363,1.9490254872563704,历史2/2次成功; 当前距低点1.95%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
9,76.81346346857924,73.98480737922107,002123,梦网科技,bottom_area,2025-10-22,12.45,2025-10-17,12.2,2.0491803278688527,2.8688524590164053,29.68299711815563,False,0.4843,1.5748,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,5.950819672131147,2.0491803278688527,历史2/3次成功; 当前距低点2.05%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
10,75.4325474310462,76.6590929177299,002491,通鼎互联,confirmed_rebound,2025-10-22,5.2,2025-10-13,4.96,4.8387096774193585,8.467741935483868,28.01161103047895,True,0.5803,1.7811,2,2,2,100.0,30.437370872290508,52.39520958083833,3.1612903225806415,4.8387096774193585,历史2/2次成功; 当前距低点4.84%; 最新日涨幅0.58%; 状态confirmed_rebound; 底部已确认
11,73.3243792861895,70.15562749868887,002617,露笑科技,bottom_area,2025-10-22,8.36,2025-10-17,8.22,1.7031630170316152,5.596107055961059,29.743589743589734,False,-0.8304,2.2062,4,6,4,66.66666666666666,17.377271563732705,36.60589060308556,6.296836982968385,1.7031630170316152,历史4/6次成功; 当前距低点1.70%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
12,73.31851606895975,74.74217657515311,600706,曲江文旅,bottom_area,2025-10-22,10.29,2025-10-13,9.8,4.999999999999984,5.10204081632653,31.420573827851634,False,0.7835,3.2599,2,2,2,100.0,21.086970834156286,24.578313253012034,3.000000000000016,4.999999999999984,历史2/2次成功; 当前距低点5.00%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
13,73.17831669336489,71.40039946173493,300459,汤姆猫,bottom_area,2025-10-22,4.53,2025-10-17,4.41,2.721088435374152,4.081632653061218,29.326923076923077,False,0.0,1.7513,4,6,4,66.66666666666666,14.074271116781395,19.047619047619044,5.278911564625849,2.721088435374152,历史4/6次成功; 当前距低点2.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
