rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
20,79.82937650366593,78.52069820032715,605168,三人行,bottom_area,2025-01-07,31.5,2025-01-06,30.25,4.132231404958678,4.7603305785124,27.976190476190478,False,2.9075,2.4345,2,2,2,100.0,30.764439804478172,47.67726161369193,5.867768595041323,4.132231404958678,历史2/2次成功; 当前距低点4.13%; 最新日涨幅2.91%; 状态bottom_area; 底部未确认
21,79.82257788414037,76.63869108537303,601858,中国科传,bottom_area,2025-01-07,19.04,2025-01-06,18.51,2.8633171258778907,3.8357644516477434,27.6387802971071,False,0.9009,0.5745,4,5,4,80.0,15.091688883734559,21.243523316062173,7.13668287412211,2.8633171258778907,历史4/5次成功; 当前距低点2.86%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
22,79.65032611503788,79.52828782170536,300541,先进数通,confirmed_rebound,2025-01-07,11.73,2025-01-06,11.18,4.919499105545624,10.465116279069766,28.287363694676078,True,4.2667,10.7868,3,3,3,100.0,30.186805281448358,52.85714285714285,5.080500894454377,4.919499105545624,历史3/3次成功; 当前距低点4.92%; 最新日涨幅4.27%; 状态confirmed_rebound; 底部已确认
23,79.50698384662854,78.43256514599842,000965,天保基建,bottom_area,2025-01-07,2.92,2025-01-06,2.8,4.28571428571429,4.642857142857156,27.083333333333336,False,1.0381,1.8845,3,3,3,100.0,15.50534256681183,16.666666666666664,5.714285714285711,4.28571428571429,历史3/3次成功; 当前距低点4.29%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
24,79.41198947548818,77.19490347490348,000949,新乡化纤,bottom_area,2025-01-07,3.83,2025-01-06,3.7,3.51351351351351,3.783783783783775,27.16535433070866,False,1.5915,2.381,1,1,1,100.0,32.718894009216584,32.718894009216584,6.4864864864864895,3.51351351351351,历史1/1次成功; 当前距低点3.51%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
25,78.991127336251,77.70787797519277,000917,电广传媒,bottom_area,2025-01-07,6.54,2025-01-06,6.28,4.140127388535028,4.299363057324833,30.299667036625966,False,1.8692,1.9437,1,1,1,100.0,43.157894736842124,43.157894736842124,5.859872611464972,4.140127388535028,历史1/1次成功; 当前距低点4.14%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
26,78.34714642947354,76.57749835817127,300456,赛微电子,bottom_area,2025-01-07,16.66,2025-01-06,16.05,3.800623052959498,3.800623052959498,28.02690582959641,False,2.0208,2.0516,1,1,1,100.0,32.91891891891892,32.91891891891892,6.199376947040502,3.800623052959498,历史1/1次成功; 当前距低点3.80%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
27,78.34284665455168,77.17441929348118,605186,健麾信息,bottom_area,2025-01-07,18.56,2025-01-06,17.81,4.211117349803482,4.3234138124649055,31.42087023488641,False,2.0902,1.3007,2,2,2,100.0,24.49337016684467,37.29468599033817,5.788882650196519,4.211117349803482,历史2/2次成功; 当前距低点4.21%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
28,78.30711057751623,74.91083830318698,001270,铖昌科技,bottom_area,2025-01-07,34.96,2025-01-06,34.05,2.672540381791494,3.2305433186490498,31.73616680032078,False,1.7166,2.334,1,1,1,100.0,10.130270826191285,10.130270826191285,7.327459618208507,2.672540381791494,历史1/1次成功; 当前距低点2.67%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
29,78.2378031192204,75.70540404040406,000839,国安股份,bottom_area,2025-01-07,2.84,2025-01-06,2.75,3.2727272727272676,4.363636363636368,27.631578947368418,False,2.5271,0.9472,1,1,1,100.0,21.75925925925925,21.75925925925925,6.727272727272733,3.2727272727272676,历史1/1次成功; 当前距低点3.27%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
30,78.10925212390315,76.20838888776721,001219,青岛食品,bottom_area,2025-01-07,13.15,2025-01-06,12.68,3.706624605678239,4.889589905362784,27.749287749287753,False,0.921,1.778,5,6,5,83.33333333333334,15.893331480539011,27.212020033388985,6.293375394321762,3.706624605678239,历史5/6次成功; 当前距低点3.71%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
31,77.8454996150681,70.76863601369827,000759,中百集团,bottom_area,2025-01-07,10.49,2025-01-07,10.49,0.0,3.241182078169684,32.58354755784062,False,-10.0343,30.3793,2,2,2,100.0,23.218473191926165,34.68634686346863,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
32,77.50858047342449,75.1170264568739,000062,深圳华强,bottom_area,2025-01-07,20.95,2025-01-06,20.27,3.3547113961519472,3.3547113961519472,27.138749101365928,False,1.8969,1.2381,3,4,3,75.0,23.76757225860402,37.385512073272274,6.645288603848054,3.3547113961519472,历史3/4次成功; 当前距低点3.35%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
33,77.47692166637142,76.40023022456894,300489,光智科技,bottom_area,2025-01-07,51.09,2025-01-06,49.0,4.265306122448987,4.571428571428576,31.75487465181058,False,2.18,2.0713,2,2,2,100.0,20.995312815874314,22.924477771826446,5.734693877551013,4.265306122448987,历史2/2次成功; 当前距低点4.27%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
34,77.34958858833993,74.21747496592475,300683,海特生物,bottom_area,2025-01-07,22.89,2025-01-06,22.26,2.8301886792452784,6.963162623539969,28.03103782735208,False,-0.7802,1.3156,2,2,2,100.0,14.141425562387008,16.532137518684582,7.1698113207547225,2.8301886792452784,历史2/2次成功; 当前距低点2.83%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
