rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.86715761575766,80.30795626035257,300505,川金诺,bottom_area,2023-08-29,15.97,2023-08-25,15.37,3.9037085230969515,7.937540663630453,28.378378378378383,True,2.3062,1.8215,2,2,2,100.0,28.378557489320507,39.35656836461126,11.096291476903048,3.9037085230969515,历史2/2次成功; 当前距低点3.90%; 最新日涨幅2.31%; 状态bottom_area; 底部已确认
2,84.22577972122917,79.54509757157531,603212,赛伍技术,bottom_area,2023-08-29,16.51,2023-08-25,15.81,4.427577482605952,7.5268817204301035,30.198675496688736,True,3.123,1.5682,2,2,2,100.0,30.698786193101522,32.01038575667657,10.572422517394047,4.427577482605952,历史2/2次成功; 当前距低点4.43%; 最新日涨幅3.12%; 状态bottom_area; 底部已确认
3,81.20419840376077,76.92970040886138,002339,积成电子,bottom_area,2023-08-29,6.83,2023-08-25,6.53,4.5941807044410385,5.359877488514543,27.201783723522855,False,3.1722,1.9463,3,4,3,75.0,48.70662588702658,82.94930875576038,10.40581929555896,4.5941807044410385,历史3/4次成功; 当前距低点4.59%; 最新日涨幅3.17%; 状态bottom_area; 底部未确认
4,77.66962491986804,73.8813224183166,002755,奥赛康,bottom_area,2023-08-29,7.84,2023-08-24,7.48,4.812834224598923,5.347593582887693,32.97491039426523,False,2.3499,0.2305,1,1,1,100.0,30.831099195710454,30.831099195710454,10.187165775401077,4.812834224598923,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
5,77.52123260035754,73.74582588894728,002519,银河电子,bottom_area,2023-08-29,5.44,2023-08-25,5.19,4.816955684007707,7.707129094412321,30.053908355795144,True,2.2556,1.7638,1,1,1,100.0,20.959595959595962,20.959595959595962,10.183044315992293,4.816955684007707,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.26%; 状态bottom_area; 底部已确认
6,76.04528210229886,72.19561538461541,002819,东方中科,bottom_area,2023-08-29,25.13,2023-08-29,24.0,4.708333333333329,5.500000000000002,31.428571428571427,False,4.4472,1.0622,1,1,1,100.0,20.487179487179493,20.487179487179493,10.291666666666671,4.708333333333329,历史1/1次成功; 当前距低点4.71%; 最新日涨幅4.45%; 状态bottom_area; 底部未确认
7,76.00421957459749,71.96906105431893,603070,万控智造,bottom_area,2023-08-29,16.48,2023-08-28,15.76,4.56852791878173,6.47208121827412,29.955555555555556,False,4.3038,3.5194,1,1,1,100.0,17.555401662049874,17.555401662049874,10.431472081218269,4.56852791878173,历史1/1次成功; 当前距低点4.57%; 最新日涨幅4.30%; 状态bottom_area; 底部未确认
8,75.9471463977479,70.2948201442416,002386,天原股份,bottom_area,2023-08-29,5.87,2023-08-25,5.68,3.3450704225352186,5.281690140845083,31.48371531966224,False,1.0327,0.6818,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,11.654929577464781,3.3450704225352186,历史2/3次成功; 当前距低点3.35%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
9,75.3864101006865,71.74283706964552,300438,鹏辉能源,bottom_area,2023-08-29,38.14,2023-08-29,36.38,4.837822979659148,5.497526113249037,32.94009216589861,False,3.6977,2.7045,1,1,1,100.0,19.640179910044974,19.640179910044974,10.16217702034085,4.837822979659148,历史1/1次成功; 当前距低点4.84%; 最新日涨幅3.70%; 状态bottom_area; 底部未确认
10,75.27540042941705,71.49666906793752,002213,大为股份,bottom_area,2023-08-29,13.5,2023-08-29,12.89,4.732350659425907,5.042668735453829,29.79302832244008,False,4.0062,2.0165,1,1,1,100.0,17.02380952380952,17.02380952380952,10.267649340574092,4.732350659425907,历史1/1次成功; 当前距低点4.73%; 最新日涨幅4.01%; 状态bottom_area; 底部未确认
11,66.82495794148926,60.96848680731035,603155,新亚强,bottom_area,2023-08-29,22.32,2023-08-29,21.76,2.5735294117647,3.3547794117646914,28.39749917736097,False,1.6393,1.2865,1,2,1,50.0,25.624375624375624,25.624375624375624,12.4264705882353,2.5735294117647,历史1/2次成功; 当前距低点2.57%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
12,66.09894237968729,60.38117515077911,300423,昇辉科技,bottom_area,2023-08-29,9.33,2023-08-25,9.09,2.640264026402643,5.720572057205716,29.37062937062937,False,1.9672,1.5532,1,2,1,50.0,23.28482328482329,23.28482328482329,12.359735973597356,2.640264026402643,历史1/2次成功; 当前距低点2.64%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
13,65.69763232586638,62.252226101387095,002265,建设工业,bottom_area,2023-08-29,12.72,2023-08-25,12.16,4.605263157894741,6.907894736842104,28.344136711844424,False,3.2468,1.2152,2,4,2,50.0,24.09798979240379,32.75229357798165,10.39473684210526,4.605263157894741,历史2/4次成功; 当前距低点4.61%; 最新日涨幅3.25%; 状态bottom_area; 底部未确认
