rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.64595063013081,81.75155261480886,600203,福日电子,bottom_area,2023-05-15,5.74,2023-05-15,5.63,1.9538188277087092,2.131438721136769,28.824273072060684,False,0.3497,1.0997,2,2,2,100.0,21.43150291389641,24.045801526717554,13.046181172291291,1.9538188277087092,历史2/2次成功; 当前距低点1.95%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
2,90.35627087614345,82.33480480585804,688206,概伦电子,bottom_area,2023-05-15,26.99,2023-05-15,26.33,2.506646410938094,2.506646410938094,28.6449864498645,False,0.9727,1.2235,2,2,2,100.0,31.34386356342422,39.570720968629594,12.493353589061904,2.506646410938094,历史2/2次成功; 当前距低点2.51%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
3,89.17693489081152,79.99972369848528,688289,圣湘生物,bottom_area,2023-05-15,18.28,2023-04-26,17.98,1.668520578420471,12.45828698553948,27.058823529411757,False,0.883,0.5748,1,1,1,100.0,25.182530200451346,25.182530200451346,13.331479421579528,1.668520578420471,历史1/1次成功; 当前距低点1.67%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
4,88.37100761018428,81.04213251003442,688010,福光股份,bottom_area,2023-05-15,23.1,2023-05-15,22.46,2.849510240427429,3.7399821905609967,32.47143716175586,False,0.304,0.9043,2,2,2,100.0,28.59685945273632,42.08955223880597,12.15048975957257,2.849510240427429,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
5,88.22411500245285,78.8141036899992,600160,巨化股份,bottom_area,2023-05-15,14.05,2023-05-15,13.85,1.4440433212996466,1.9494584837545095,27.29658792650919,False,1.1519,0.5458,1,1,1,100.0,16.05657237936772,16.05657237936772,13.555956678700355,1.4440433212996466,历史1/1次成功; 当前距低点1.44%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
6,87.97504101136165,80.61401380428421,688181,八亿时空,bottom_area,2023-05-15,34.07,2023-05-15,33.14,2.8062764031382006,2.95715147857573,29.157759726378796,False,1.6408,0.6164,2,2,2,100.0,25.76518281418983,28.477257745550418,12.1937235968618,2.8062764031382006,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
7,87.73989674744334,80.67811946274988,688350,富淼科技,bottom_area,2023-05-15,16.52,2023-05-05,16.04,2.992518703241898,4.301745635910232,32.774518021793796,False,1.4119,1.2855,2,2,2,100.0,28.392807022265636,38.54748603351957,12.007481296758101,2.992518703241898,历史2/2次成功; 当前距低点2.99%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
8,86.93391227000711,78.24411980262748,301367,瑞迈特,bottom_area,2023-05-15,209.81,2023-05-15,206.01,1.844570651910107,1.936799184505611,31.07728337236534,False,0.4164,2.6072,1,1,1,100.0,17.901832736465128,17.901832736465128,13.155429348089893,1.844570651910107,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
9,86.71570338609177,78.5457148054941,600199,金种子酒,bottom_area,2023-05-15,22.91,2023-05-15,22.42,2.1855486173059697,2.497769848349682,28.78017789072426,False,0.1749,1.4706,1,1,1,100.0,23.70304114490161,23.70304114490161,12.814451382694031,2.1855486173059697,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
10,86.4000535120604,77.98700626480048,001201,东瑞股份,bottom_area,2023-05-15,24.5,2023-05-15,24.02,1.9983347210657803,2.0815986677768525,29.311359623307826,False,0.0,0.891,1,1,1,100.0,18.4043517679057,18.4043517679057,13.001665278934219,1.9983347210657803,历史1/1次成功; 当前距低点2.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,86.31371611693964,78.91543446167965,300661,圣邦股份,bottom_area,2023-05-15,122.31,2023-05-15,119.11,2.686592225673749,2.778943833431284,30.475134251692737,False,0.9075,0.4982,1,1,1,100.0,31.832606108687024,31.832606108687024,12.31340777432625,2.686592225673749,历史1/1次成功; 当前距低点2.69%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
12,85.71149796404218,78.90528488852186,002079,苏州固锝,bottom_area,2023-05-15,12.48,2023-05-10,12.11,3.0553261767134683,4.624277456647404,28.512396694214885,False,1.0526,1.4795,2,2,2,100.0,19.631336405529957,22.488479262672804,11.94467382328653,3.0553261767134683,历史2/2次成功; 当前距低点3.06%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
13,85.47849972710787,77.7864183937824,688328,深科达,bottom_area,2023-05-15,19.77,2023-05-15,19.3,2.4352331606217557,2.4352331606217557,30.04711852120333,False,1.1253,1.1315,1,1,1,100.0,22.681451612903224,22.681451612903224,12.564766839378244,2.4352331606217557,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
14,83.52203036643662,77.56506365842797,002802,洪汇新材,bottom_area,2023-05-15,10.28,2023-05-12,9.93,3.524672708962736,3.625377643504526,31.1373092926491,False,2.4925,1.0752,2,2,2,100.0,18.17912599388721,20.65637065637066,11.475327291037264,3.524672708962736,历史2/2次成功; 当前距低点3.52%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
15,83.3400918164643,76.90964194373403,000629,钒钛股份,bottom_area,2023-05-15,4.21,2023-04-25,4.08,3.1862745098039187,9.803921568627459,31.08108108108108,False,1.6908,0.6247,1,1,1,100.0,27.173913043478265,27.173913043478265,11.81372549019608,3.1862745098039187,历史1/1次成功; 当前距低点3.19%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
16,83.2954334517432,77.40675349396452,688048,长光华芯,bottom_area,2023-05-15,87.25,2023-05-12,84.25,3.5608308605341246,3.857566765578635,29.20168067226891,False,2.2142,1.9541,2,2,2,100.0,17.771225032162963,19.48504983388705,11.439169139465873,3.5608308605341246,历史2/2次成功; 当前距低点3.56%; 最新日涨幅2.21%; 状态bottom_area; 底部未确认
17,82.56159162747804,75.6573423526714,600114,东睦股份,bottom_area,2023-05-15,7.32,2023-05-10,7.12,2.8089887640449462,3.089887640449435,27.04918032786885,False,2.2346,1.123,1,1,1,100.0,15.816326530612232,15.816326530612232,12.191011235955052,2.8089887640449462,历史1/1次成功; 当前距低点2.81%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
18,81.69217938665197,76.72585562149082,688075,安旭生物,bottom_area,2023-05-15,67.32,2023-05-10,64.65,4.129930394431535,4.94972931167825,30.37906525953047,False,0.8086,1.3848,4,5,4,80.0,31.086542584917854,40.134529147982065,10.870069605568464,4.129930394431535,历史4/5次成功; 当前距低点4.13%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
19,81.33102796534175,75.14585905649389,002383,合众思壮,bottom_area,2023-05-15,6.67,2023-05-15,6.46,3.250773993808049,3.250773993808049,29.166666666666664,False,0.9077,1.2981,1,1,1,100.0,18.48184818481848,18.48184818481848,11.749226006191952,3.250773993808049,历史1/1次成功; 当前距低点3.25%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
20,81.09948124721221,77.36100133068973,002553,南方精工,bottom_area,2023-05-15,10.15,2023-04-26,9.67,4.963805584281287,7.445708376421931,28.844738778513612,True,1.3986,1.6035,2,2,2,100.0,25.52945195081221,32.14285714285715,10.036194415718713,4.963805584281287,历史2/2次成功; 当前距低点4.96%; 最新日涨幅1.40%; 状态bottom_area; 底部已确认
21,81.05614811549076,74.79571391144879,688321,微芯生物,bottom_area,2023-05-15,22.7,2023-05-15,22.0,3.1818181818181785,3.5454545454545507,31.888544891640862,False,0.7545,0.7307,1,1,1,100.0,15.754082612872244,15.754082612872244,11.81818181818182,3.1818181818181785,历史1/1次成功; 当前距低点3.18%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
