rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.7827513212155,80.78847103852804,002553,南方精工,bottom_area,2023-07-07,14.72,2023-07-07,14.54,1.2379642365887311,8.459422283356261,32.59156235512286,False,-8.9109,49.2381,3,3,3,100.0,23.500158591130926,32.14285714285715,13.762035763411268,1.2379642365887311,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-8.91%; 状态bottom_area; 底部未确认
2,85.27521085053414,78.78338289307307,688236,春立医疗,bottom_area,2023-07-07,24.49,2023-06-28,23.72,3.2462057335581775,7.082630691399662,32.228571428571435,True,1.9567,1.8122,1,1,1,100.0,28.788881535407025,28.788881535407025,11.753794266441822,3.2462057335581775,历史1/1次成功; 当前距低点3.25%; 最新日涨幅1.96%; 状态bottom_area; 底部已确认
3,84.70660901657232,77.31926061536116,688258,卓易信息,bottom_area,2023-07-07,62.38,2023-07-07,60.8,2.598684210526325,7.828947368421062,29.654055304871,False,-4.6906,2.9188,3,3,3,100.0,21.528282878285978,27.716894977168955,12.401315789473674,2.598684210526325,历史3/3次成功; 当前距低点2.60%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
4,83.9081039366244,76.5620012981051,002343,慈文传媒,bottom_area,2023-07-07,7.16,2023-07-07,6.98,2.5787965616045803,3.8681948424068704,29.280648429584588,False,-0.1395,4.5427,1,1,1,100.0,40.33149171270718,40.33149171270718,12.421203438395418,2.5787965616045803,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
5,83.54355173401542,72.94718285109063,300661,圣邦股份,bottom_area,2023-07-07,81.66,2023-07-03,81.48,0.2209131075110366,6.529209621993118,27.145922746781114,False,-2.0041,0.419,1,1,1,100.0,31.832606108687024,31.832606108687024,14.779086892488962,0.2209131075110366,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
6,83.02561382995836,77.48895518447085,002299,圣农发展,bottom_area,2023-07-07,19.16,2023-06-26,18.46,3.7919826652220974,5.579631635969651,27.00672202451561,False,1.9149,0.9325,2,2,2,100.0,21.046643339662563,26.73830594184577,11.208017334777901,3.7919826652220974,历史2/2次成功; 当前距低点3.79%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
7,82.67426338956436,74.51931904161412,002063,远光软件,bottom_area,2023-07-07,6.89,2023-07-07,6.76,1.9230769230769214,3.2544378698224947,29.656607700312172,False,-0.8633,1.0346,1,1,1,100.0,21.311475409836078,21.311475409836078,13.076923076923078,1.9230769230769214,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
8,80.38384518017135,74.45920339295596,601669,中国电建,bottom_area,2023-07-07,5.8,2023-06-07,5.61,3.3868092691622014,5.882352941176471,29.78723404255319,False,0.1727,0.6044,1,1,1,100.0,16.457680250783696,16.457680250783696,11.613190730837799,3.3868092691622014,历史1/1次成功; 当前距低点3.39%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
9,78.87230926185596,74.42811103100217,600935,华塑股份,bottom_area,2023-07-07,3.81,2023-06-27,3.65,4.383561643835621,6.575342465753431,28.571428571428577,False,0.2632,0.154,1,1,1,100.0,28.50877192982458,28.50877192982458,10.616438356164378,4.383561643835621,历史1/1次成功; 当前距低点4.38%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
10,78.81120925003039,69.72466533508104,002825,纳尔股份,bottom_area,2023-07-07,8.74,2023-07-07,8.66,0.9237875288683611,2.3094688221708926,32.55451713395638,False,-0.3421,1.5552,1,1,1,100.0,23.123123123123136,23.123123123123136,14.076212471131639,0.9237875288683611,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
11,78.65745220684,74.38010632095539,002395,双象股份,bottom_area,2023-07-07,11.39,2023-06-26,10.9,4.495412844036699,8.34862385321101,29.677419354838708,True,-1.8949,1.9325,2,2,2,100.0,26.23466454494123,36.59976387249114,10.5045871559633,4.495412844036699,历史2/2次成功; 当前距低点4.50%; 最新日涨幅-1.89%; 状态bottom_area; 底部已确认
12,66.890130505515,60.76874132917459,688156,路德科技,bottom_area,2023-07-07,26.62,2023-07-03,26.01,2.3452518262206823,9.765474817377928,27.72992497916088,False,-1.3343,0.9731,1,2,1,50.0,44.22535211267606,44.22535211267606,12.654748173779318,2.3452518262206823,历史1/2次成功; 当前距低点2.35%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
13,66.5223840948659,62.87586703165613,600984,建设机械,bottom_area,2023-07-07,4.44,2023-06-12,4.25,4.470588235294127,8.23529411764705,32.0,True,-0.4484,0.4145,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,10.529411764705873,4.470588235294127,历史2/3次成功; 当前距低点4.47%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
14,65.77835435404525,61.07285524594419,605266,健之佳,bottom_area,2023-07-07,61.3,2023-07-04,59.22,3.5123269165822326,5.369807497467072,32.11051243838129,False,-0.0815,0.4551,2,4,2,50.0,26.833121590062774,33.154615273148806,11.487673083417766,3.5123269165822326,历史2/4次成功; 当前距低点3.51%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
15,64.09272690828361,58.439751475613555,000792,盐湖股份,bottom_area,2023-07-07,18.97,2023-05-30,18.5,2.5405405405405346,7.5675675675675595,29.49695121951219,True,-0.4722,0.2141,1,2,1,50.0,24.904214559386965,24.904214559386965,12.459459459459465,2.5405405405405346,历史1/2次成功; 当前距低点2.54%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
16,63.58380273237548,59.1400613535146,002545,东方铁塔,bottom_area,2023-07-07,7.18,2023-06-26,6.93,3.6075036075036078,3.7518037518037617,27.58620689655173,False,0.7013,0.4673,1,2,1,50.0,28.468653648509758,28.468653648509758,11.392496392496392,3.6075036075036078,历史1/2次成功; 当前距低点3.61%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
17,51.235967184018854,48.739291384899566,603335,迪生力,bottom_area,2023-07-07,6.53,2023-06-27,6.23,4.815409309791329,8.18619582664526,27.134502923976612,True,-0.7599,2.9934,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,10.184590690208669,4.815409309791329,历史1/3次成功; 当前距低点4.82%; 最新日涨幅-0.76%; 状态bottom_area; 底部已确认
