rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.4138912981725,85.84372881355931,301058,中粮科工,bottom_area,2025-04-29,10.74,2025-04-24,10.62,1.129943502824868,3.860640301318269,28.629032258064523,False,0.656,1.9746,1,1,1,100.0,57.794273594909875,57.794273594909875,8.870056497175133,1.129943502824868,历史1/1次成功; 当前距低点1.13%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
2,85.75262904864768,80.08866616729699,688206,概伦电子,bottom_area,2025-04-29,20.8,2025-04-28,20.51,1.4139444173573823,4.388103364212572,27.75625220147939,False,0.241,1.9574,3,4,3,75.0,26.70677117673022,39.570720968629594,8.586055582642619,1.4139444173573823,历史3/4次成功; 当前距低点1.41%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,84.13922951064761,77.97675945418038,688050,爱博医疗,bottom_area,2025-04-29,78.11,2025-04-29,77.33,1.008664166558905,3.2070347859821595,28.688675765400223,False,-1.4385,2.0633,2,2,2,100.0,12.024267494272554,12.90770757525636,8.991335833441095,1.008664166558905,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
4,83.19101716890911,76.90346965027129,600371,万向德农,bottom_area,2025-04-29,9.21,2025-04-29,9.13,0.876232201533407,1.7524644030667946,28.671874999999996,False,0.3268,2.5376,1,1,1,100.0,38.66279069767441,38.66279069767441,9.123767798466593,0.876232201533407,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
5,83.0492763666928,75.4993421515389,000965,天保基建,bottom_area,2025-04-29,4.08,2025-04-29,4.08,0.0,2.9411764705882377,28.79581151832461,False,-9.9338,7.8849,4,4,4,100.0,15.319043825477877,16.666666666666664,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.93%; 状态bottom_area; 底部未确认
6,82.39166520845862,77.11749592021795,001299,美能能源,bottom_area,2025-04-29,10.63,2025-04-29,10.47,1.5281757402101255,2.674307545367711,31.11842105263157,False,-1.9373,8.6684,2,2,2,100.0,13.772777461812025,15.247322794492616,8.471824259789877,1.5281757402101255,历史2/2次成功; 当前距低点1.53%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
7,81.63933833082368,75.2969218425187,603322,超讯通信,confirmed_rebound,2025-04-29,29.3,2025-04-29,29.08,0.7565337001375599,10.00687757909216,30.463892874222864,False,-9.316,16.8207,6,6,6,100.0,21.461390746410416,39.45833333333333,9.24346629986244,0.7565337001375599,历史6/6次成功; 当前距低点0.76%; 最新日涨幅-9.32%; 状态confirmed_rebound; 底部未确认
8,81.36179472595991,75.4728794670926,603169,兰石重装,bottom_area,2025-04-29,6.69,2025-04-29,6.62,1.057401812688826,3.927492447129906,32.44897959183674,False,-5.6417,6.903,3,4,3,75.0,30.208363440984503,49.872122762148344,8.942598187311173,1.057401812688826,历史3/4次成功; 当前距低点1.06%; 最新日涨幅-5.64%; 状态bottom_area; 底部未确认
9,81.30732646097877,79.60209908122202,603221,爱丽家居,bottom_area,2025-04-29,10.69,2025-04-24,10.29,3.8872691933916457,6.802721088435384,29.761092150170654,False,1.5195,3.0203,3,3,3,100.0,16.908993775026747,17.92336217552533,6.112730806608354,3.8872691933916457,历史3/3次成功; 当前距低点3.89%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
10,80.58160461453114,73.39027223675606,001256,炜冈科技,bottom_area,2025-04-29,20.87,2025-04-29,20.85,0.09592326139088524,7.913669064748194,27.174292699965065,False,-4.3976,23.5337,1,1,1,100.0,42.897727272727266,42.897727272727266,9.904076738609115,0.09592326139088524,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-4.40%; 状态bottom_area; 底部未确认
11,78.31587389546765,75.55319736234533,000697,炼石航空,bottom_area,2025-04-29,6.29,2025-04-25,6.1,3.1147540983606623,8.688524590163938,28.904428904428908,False,0.319,1.0127,3,4,3,75.0,23.171165089288372,30.58161350844277,6.885245901639338,3.1147540983606623,历史3/4次成功; 当前距低点3.11%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
12,77.12466622659313,73.81926210335418,002304,洋河股份,bottom_area,2025-04-29,68.83,2025-04-29,67.02,2.70068636227992,3.595941509997032,29.452631578947376,False,-4.0028,0.881,2,2,2,100.0,20.62810220081931,20.781426953567394,7.299313637720081,2.70068636227992,历史2/2次成功; 当前距低点2.70%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
13,76.29811906915592,76.0726097075615,300757,罗博特科,bottom_area,2025-04-29,129.2,2025-04-29,123.23,4.844599529335376,6.589304552462866,32.450803047744344,False,1.381,3.0474,6,7,6,85.71428571428571,23.953975761231302,74.11052233156698,5.155400470664624,4.844599529335376,历史6/7次成功; 当前距低点4.84%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
14,75.36399053660136,75.2697596924063,300892,品渥食品,confirmed_rebound,2025-04-29,32.75,2025-04-28,31.21,4.934315924383208,11.022108298622229,31.64695575996495,False,2.7612,10.4435,1,1,1,100.0,78.87149917627676,78.87149917627676,5.065684075616793,4.934315924383208,历史1/1次成功; 当前距低点4.93%; 最新日涨幅2.76%; 状态confirmed_rebound; 底部未确认
15,74.90708953271967,68.09735412065423,000510,新金路,bottom_area,2025-04-29,4.82,2025-04-29,4.82,0.0,9.543568464730289,32.58741258741259,False,-10.0746,26.06,4,5,4,80.0,18.856742584162507,23.043478260869577,10.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-10.07%; 状态bottom_area; 底部未确认
16,72.85130426025216,69.51044762659158,000524,岭南控股,bottom_area,2025-04-29,12.13,2025-04-29,11.83,2.5359256128486956,3.127641589180044,29.41527446300717,False,0.4139,3.6943,2,3,2,66.66666666666666,18.31016858720398,21.550094517958406,7.464074387151305,2.5359256128486956,历史2/3次成功; 当前距低点2.54%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
17,72.35810311272627,69.54457766766512,300721,怡达股份,bottom_area,2025-04-29,14.46,2025-04-28,14.05,2.9181494661921716,4.697508896797154,32.71072796934865,False,0.9072,9.5115,5,8,5,62.5,15.540099196684384,22.270742358078603,7.081850533807829,2.9181494661921716,历史5/8次成功; 当前距低点2.92%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
18,64.08869580717311,64.00142114197949,002427,尤夫股份,confirmed_rebound,2025-04-29,6.6,2025-04-29,6.29,4.928457869634334,10.174880763116052,30.42035398230088,False,-5.4441,12.8748,1,1,1,100.0,22.033898305084747,22.033898305084747,5.071542130365667,4.928457869634334,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-5.44%; 状态confirmed_rebound; 底部未确认
