rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.25562740169266,79.19855900583742,688137,近岸蛋白,bottom_area,2022-12-08,86.88,2022-12-08,85.95,1.0820244328097643,4.363001745200698,27.773109243697476,False,-2.9274,9.813,1,1,1,100.0,36.159003831417635,36.159003831417635,13.917975567190236,1.0820244328097643,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
2,82.84236003664684,78.94081081081083,002317,众生药业,bottom_area,2022-12-08,29.5,2022-12-06,28.12,4.90753911806543,10.135135135135128,29.910269192422724,True,0.8202,16.6205,1,1,1,100.0,58.31999999999999,58.31999999999999,10.09246088193457,4.90753911806543,历史1/1次成功; 当前距低点4.91%; 最新日涨幅0.82%; 状态bottom_area; 底部已确认
3,78.51358761485089,74.2172099441054,002322,理工能科,bottom_area,2022-12-08,9.57,2022-11-28,9.16,4.475982532751093,8.187772925764191,29.80842911877395,True,-1.7454,1.5487,2,2,2,100.0,25.120699563321974,28.6908077994429,10.524017467248905,4.475982532751093,历史2/2次成功; 当前距低点4.48%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
4,77.0889093877949,73.43027184520682,603139,康惠股份,bottom_area,2022-12-08,19.96,2022-12-07,19.03,4.887020493956908,5.622700998423543,29.33531377645748,False,1.0633,2.2236,1,1,1,100.0,29.315476190476186,29.315476190476186,10.112979506043091,4.887020493956908,历史1/1次成功; 当前距低点4.89%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
5,74.65031966799026,66.26692491201382,688221,前沿生物,bottom_area,2022-12-08,17.39,2022-12-07,17.2,1.1046511627907052,7.441860465116286,29.45036915504512,False,-0.0575,6.9553,2,4,2,50.0,25.24478259772378,34.87394957983194,13.895348837209296,1.1046511627907052,历史2/4次成功; 当前距低点1.10%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
6,54.21486034077578,51.3424765997341,688185,康希诺,bottom_area,2022-12-08,183.33,2022-12-07,175.31,4.574753294164628,6.668187781643943,30.155378486055778,False,0.3998,6.3577,1,4,1,25.0,19.236097367900253,19.236097367900253,10.425246705835372,4.574753294164628,历史1/4次成功; 当前距低点4.57%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
