rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.7817047072065,79.70891810795399,688023,安恒信息,bottom_area,2023-10-27,118.28,2023-10-24,116.98,1.1113010771071954,4.804240041032647,29.021297251380375,False,-2.6021,1.4199,1,1,1,100.0,39.261744966442954,39.261744966442954,13.888698922892804,1.1113010771071954,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
2,84.26100986743555,76.08802037559302,000938,紫光股份,bottom_area,2023-10-27,19.69,2023-10-23,19.3,2.020725388601039,4.041450777202059,28.011935844834014,False,-0.9059,1.6681,1,1,1,100.0,30.942334739803094,30.942334739803094,12.97927461139896,2.020725388601039,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
3,79.59695334834551,75.73117774782871,601155,新城控股,bottom_area,2023-10-27,11.95,2023-10-20,11.4,4.8245614035087625,5.263157894736839,27.06333973128599,False,1.2712,0.5722,2,2,2,100.0,24.2536438055306,24.642857142857142,10.175438596491237,4.8245614035087625,历史2/2次成功; 当前距低点4.82%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
4,77.77261386466719,73.8023516110797,688337,普源精电,bottom_area,2023-10-27,39.78,2023-10-26,38.0,4.684210526315793,5.973684210526324,27.61904761904762,False,2.5522,1.8269,1,1,1,100.0,28.829847371396255,28.829847371396255,10.315789473684205,4.684210526315793,历史1/1次成功; 当前距低点4.68%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
5,77.0949857401437,70.32191941668904,300454,深信服,bottom_area,2023-10-27,82.5,2023-10-27,80.44,2.560914967677775,2.9711586275484843,27.150878464046375,False,0.3405,1.2126,2,3,2,66.66666666666666,22.979241270579003,29.49391262831224,12.439085032322224,2.560914967677775,历史2/3次成功; 当前距低点2.56%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
6,76.12840133666775,72.12955231371964,000006,深振业A,bottom_area,2023-10-27,4.32,2023-10-23,4.13,4.6004842615012205,6.053268765133172,32.295081967213115,False,0.9346,0.9497,1,1,1,100.0,18.809980806142043,18.809980806142043,10.39951573849878,4.6004842615012205,历史1/1次成功; 当前距低点4.60%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
7,76.10197065309275,72.60080745341617,000965,天保基建,bottom_area,2023-10-27,3.38,2023-10-23,3.22,4.968944099378873,8.385093167701864,29.8474945533769,True,1.1976,1.47,1,1,1,100.0,16.666666666666664,16.666666666666664,10.031055900621128,4.968944099378873,历史1/1次成功; 当前距低点4.97%; 最新日涨幅1.20%; 状态bottom_area; 底部已确认
8,75.86690866510075,72.21005785339788,002708,光洋股份,bottom_area,2023-10-27,7.79,2023-10-23,7.43,4.845222072678335,9.01749663526245,29.439696106362774,True,-2.625,8.3181,1,1,1,100.0,35.522388059701484,35.522388059701484,10.154777927321664,4.845222072678335,历史1/1次成功; 当前距低点4.85%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
9,72.41821482340069,67.29881182407217,603129,春风动力,bottom_area,2023-10-27,103.53,2023-10-26,99.97,3.561068320496151,4.9714914474342295,32.48919502971368,False,1.3807,0.97,2,3,2,66.66666666666666,18.985918968477026,20.09633197480549,11.438931679503849,3.561068320496151,历史2/3次成功; 当前距低点3.56%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
10,69.83074459724764,65.65599446676448,000928,中钢国际,bottom_area,2023-10-27,6.22,2023-10-23,5.97,4.1876046901172534,5.192629815745402,31.06235565819862,False,2.3026,2.089,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,10.812395309882747,4.1876046901172534,历史2/3次成功; 当前距低点4.19%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
11,66.26451023199387,60.28911025145067,603326,我乐家居,bottom_area,2023-10-27,10.14,2023-10-23,9.9,2.4242424242424265,3.8383838383838285,30.76923076923077,False,1.1976,2.2523,1,2,1,50.0,20.141843971631218,20.141843971631218,12.575757575757574,2.4242424242424265,历史1/2次成功; 当前距低点2.42%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
12,65.21533843998702,62.176693808427466,000721,西安饮食,bottom_area,2023-10-27,10.63,2023-10-23,10.13,4.935834155972358,8.588351431391898,30.521262002743477,True,2.0154,3.4149,2,4,2,50.0,18.550514430346464,20.485175202156327,10.064165844027642,4.935834155972358,历史2/4次成功; 当前距低点4.94%; 最新日涨幅2.02%; 状态bottom_area; 底部已确认
13,62.698763882579115,59.11395656684417,600328,中盐化工,bottom_area,2023-10-27,7.94,2023-10-26,7.61,4.336399474375821,4.599211563731926,28.207547169811313,False,1.7949,0.8797,1,2,1,50.0,37.26315789473683,37.26315789473683,10.663600525624178,4.336399474375821,历史1/2次成功; 当前距低点4.34%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
14,61.83302058968621,56.82838125300209,600408,安泰集团,bottom_area,2023-10-27,2.43,2023-10-23,2.36,2.9661016949152663,7.203389830508472,30.99415204678363,True,-0.8163,1.7705,1,2,1,50.0,21.457489878542503,21.457489878542503,12.033898305084733,2.9661016949152663,历史1/2次成功; 当前距低点2.97%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
15,61.03950900238956,57.0604907787513,000014,沙河股份,bottom_area,2023-10-27,11.25,2023-10-23,10.83,3.8781163434903037,5.909510618651899,31.671924290220822,False,1.0782,2.3521,1,2,1,50.0,20.605355064027936,20.605355064027936,11.121883656509695,3.8781163434903037,历史1/2次成功; 当前距低点3.88%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
16,58.993737679159764,55.07943842729026,002080,中材科技,bottom_area,2023-10-27,17.16,2023-10-26,16.53,3.8112522686025345,5.081669691470053,27.244718309859145,False,2.0821,0.8196,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,11.188747731397465,3.8112522686025345,历史1/3次成功; 当前距低点3.81%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
17,57.796793736240225,54.65995602024729,603305,旭升集团,bottom_area,2023-10-27,18.34,2023-10-26,17.55,4.501424501424496,6.324786324786322,27.178423236514526,False,1.382,1.3611,1,2,1,50.0,15.339805825242717,15.339805825242717,10.498575498575503,4.501424501424496,历史1/2次成功; 当前距低点4.50%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
18,56.500487512997175,52.79235050914939,300713,英可瑞,bottom_area,2023-10-27,18.33,2023-10-24,17.65,3.85269121813031,4.815864022662899,27.066115702479344,False,-0.3263,5.5249,1,2,1,50.0,19.819819819819813,19.819819819819813,11.147308781869688,3.85269121813031,历史1/2次成功; 当前距低点3.85%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
