rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.5065504236222,70.4221253530185,002862,实丰文化,bottom_area,2024-12-19,31.64,2024-12-19,31.64,0.0,7.996207332490522,28.09090909090909,False,-10.0114,14.9279,4,5,4,80.0,31.355512650637145,45.40647719762062,20.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
2,83.666255241856,70.59340286031599,603356,华菱精工,bottom_area,2024-12-19,14.85,2024-12-19,14.75,0.6779661016949128,4.949152542372884,28.94990366088632,False,-4.317,11.5244,3,4,3,75.0,39.16218049559353,53.658536585365866,19.322033898305087,0.6779661016949128,历史3/4次成功; 当前距低点0.68%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
3,81.19866304253138,69.19393257217767,002530,金财互联,bottom_area,2024-12-19,9.96,2024-12-19,9.84,1.2195121951219614,4.065040650406507,30.06396588486141,False,-1.1905,12.3567,2,4,2,50.0,42.38935686589115,54.814814814814795,18.78048780487804,1.2195121951219614,历史2/4次成功; 当前距低点1.22%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
4,80.73502181807007,69.3151436746154,002681,奋达科技,bottom_area,2024-12-19,7.49,2024-12-19,7.37,1.628222523744913,8.276797829036639,29.74261201143947,False,-4.2199,14.925,2,3,2,66.66666666666666,38.82163635530716,46.084337349397586,18.371777476255087,1.628222523744913,历史2/3次成功; 当前距低点1.63%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
5,77.16674767342744,66.29819166308553,605337,李子园,bottom_area,2024-12-19,12.2,2024-12-19,12.0,1.6666666666666607,4.583333333333339,28.01439712057589,False,-2.0867,3.6221,2,4,2,50.0,32.30210571551354,37.98882681564246,18.33333333333334,1.6666666666666607,历史2/4次成功; 当前距低点1.67%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
6,76.00346915816424,66.50784099323425,000816,智慧农业,bottom_area,2024-12-19,3.46,2024-12-19,3.37,2.6706231454005893,14.836795252225517,29.79166666666666,False,-6.7385,16.987,2,3,2,66.66666666666666,36.50642525849964,48.23943661971832,17.329376854599413,2.6706231454005893,历史2/3次成功; 当前距低点2.67%; 最新日涨幅-6.74%; 状态bottom_area; 底部未确认
7,75.68639643798828,67.8403267041533,300703,创源股份,bottom_area,2024-12-19,15.65,2024-12-19,15.05,3.986710963455147,5.3156146179401915,30.0,False,-3.5736,12.8734,1,1,1,100.0,20.914127423822727,20.914127423822727,16.013289036544855,3.986710963455147,历史1/1次成功; 当前距低点3.99%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
8,74.22560447280875,62.55974953839495,603088,宁波精达,bottom_area,2024-12-19,9.76,2024-12-19,9.7,0.618556701030933,3.7113402061855796,28.307464892830748,False,-2.4,5.9452,2,4,2,50.0,39.193864606158456,46.15384615384614,19.381443298969067,0.618556701030933,历史2/4次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
9,73.43002859321388,61.1916904943449,000525,红太阳,bottom_area,2024-12-19,7.39,2024-12-19,7.39,0.0,0.0,29.4173829990449,False,-5.0129,0.0527,2,3,2,66.66666666666666,27.285074342356076,34.22131147540984,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
10,66.86851240275794,57.01059314954053,000716,黑芝麻,bottom_area,2024-12-19,7.31,2024-12-19,7.22,1.2465373961218817,7.894736842105267,27.217741935483875,False,-6.9975,13.3997,1,3,1,33.33333333333333,40.211640211640216,40.211640211640216,18.75346260387812,1.2465373961218817,历史1/3次成功; 当前距低点1.25%; 最新日涨幅-7.00%; 状态bottom_area; 底部未确认
11,65.67095150385614,58.81694442942455,000813,德展健康,bottom_area,2024-12-19,3.69,2024-12-19,3.55,3.9436619718309895,11.549295774647891,30.118110236220474,False,-5.6266,9.8529,2,4,2,50.0,30.20695551182373,39.9103139013453,16.056338028169012,3.9436619718309895,历史2/4次成功; 当前距低点3.94%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
