rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.2647103669099,84.2220518768224,302132,中航成飞,bottom_area,2025-09-08,81.25,2025-09-08,80.0,1.5625,3.687500000000003,27.140255009107467,False,-1.789,3.371,4,4,4,100.0,19.056730520550555,28.81165919282512,6.4375,1.5625,历史4/4次成功; 当前距低点1.56%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
2,87.72687859831774,83.72734114526303,002041,登海种业,bottom_area,2025-09-08,9.68,2025-06-23,9.53,1.5739769150052505,7.345225603357829,29.719764011799416,True,0.4149,1.6383,2,2,2,100.0,18.2043468358871,21.395106715252467,6.426023084994751,1.5739769150052505,历史2/2次成功; 当前距低点1.57%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
3,85.92875817629526,82.85377279424097,002256,兆新股份,bottom_area,2025-09-08,2.91,2025-09-05,2.85,2.1052631578947385,6.666666666666665,28.571428571428577,False,-1.3559,13.7944,8,8,8,100.0,18.353617173338506,31.775700934579426,5.894736842105262,2.1052631578947385,历史8/8次成功; 当前距低点2.11%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
4,83.75691052702557,83.05251100673917,688011,新光光电,bottom_area,2025-09-08,34.9,2025-09-08,33.7,3.5608308605341117,4.2729970326409425,30.010384215991685,False,0.1147,3.0927,5,5,5,100.0,14.791426713746969,19.069767441860456,4.439169139465888,3.5608308605341117,历史5/5次成功; 当前距低点3.56%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
5,80.64458149423429,78.42210917156815,688221,前沿生物,confirmed_rebound,2025-09-08,15.3,2025-09-08,14.92,2.546916890080434,8.378016085790897,27.1484375,False,-3.287,8.9566,7,7,7,100.0,20.371396134147986,34.87394957983194,5.453083109919566,2.546916890080434,历史7/7次成功; 当前距低点2.55%; 最新日涨幅-3.29%; 状态confirmed_rebound; 底部未确认
6,80.56518889770446,82.0760950780663,300510,金冠股份,bottom_area,2025-09-08,4.65,2025-09-03,4.43,4.966139954853288,4.966139954853288,30.01579778830964,False,1.7505,5.6442,4,4,4,100.0,26.76824825339677,40.000000000000014,3.033860045146712,4.966139954853288,历史4/4次成功; 当前距低点4.97%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
7,80.35326056629182,76.71785024126999,601669,中国电建,bottom_area,2025-09-08,5.74,2025-09-04,5.65,1.5929203539822985,2.1238938053097205,27.93367346938775,False,-0.1739,2.1493,2,2,2,100.0,12.417788431987212,16.457680250783696,6.407079646017702,1.5929203539822985,历史2/2次成功; 当前距低点1.59%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
8,79.84626968423643,78.74922992979751,603256,宏和科技,confirmed_rebound,2025-09-08,35.26,2025-09-04,34.14,3.280609256004679,10.63268892794377,28.277310924369747,True,-3.2647,2.3734,5,5,5,100.0,21.93020985746335,47.511312217194565,4.719390743995321,3.280609256004679,历史5/5次成功; 当前距低点3.28%; 最新日涨幅-3.26%; 状态confirmed_rebound; 底部已确认
9,78.78373785385466,75.34847080868524,300870,欧陆通,bottom_area,2025-09-08,207.95,2025-09-08,204.51,1.6820693364627635,5.129333528922795,27.45299751684994,False,-3.9847,4.073,2,2,2,100.0,16.363381160324387,21.28571428571428,6.317930663537237,1.6820693364627635,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
10,78.49132936159874,79.91642387320267,002298,中电鑫龙,bottom_area,2025-09-08,9.78,2025-09-05,9.32,4.935622317596557,6.330472103004291,27.187500000000004,False,0.0,7.9801,7,7,7,100.0,14.783025577004356,23.734729493891784,3.0643776824034434,4.935622317596557,历史7/7次成功; 当前距低点4.94%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,76.77401161710728,77.848627971856,002148,北纬科技,bottom_area,2025-09-08,10.2,2025-09-05,9.74,4.722792607802865,5.133470225872689,32.31410701876303,False,0.691,5.5197,3,3,3,100.0,17.72362966476626,19.756097560975626,3.2772073921971354,4.722792607802865,历史3/3次成功; 当前距低点4.72%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
12,75.83280422875549,76.17795987922425,300902,国安达,bottom_area,2025-09-08,23.13,2025-09-04,22.19,4.2361424064893995,4.551599819738612,32.798304058146584,False,0.5215,3.7501,2,2,2,100.0,19.4428202474198,26.906779661016937,3.763857593510601,4.2361424064893995,历史2/2次成功; 当前距低点4.24%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
13,75.78714360261003,76.91510211658267,002272,川润股份,bottom_area,2025-09-08,15.82,2025-09-04,15.1,4.768211920529806,7.218543046357627,29.34019653720169,False,-0.7528,9.378,5,5,5,100.0,19.067877932207704,48.337595907928375,3.2317880794701943,4.768211920529806,历史5/5次成功; 当前距低点4.77%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
14,75.18414756721386,75.6049858837634,002826,易明医药,bottom_area,2025-09-08,19.69,2025-09-03,18.88,4.290254237288147,7.415254237288147,29.631010063361906,True,-0.856,4.1837,2,2,2,100.0,30.305191100969765,50.0,3.709745762711853,4.290254237288147,历史2/2次成功; 当前距低点4.29%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
15,74.69228137577782,73.4726888986319,301556,托普云农,bottom_area,2025-09-08,100.39,2025-09-04,97.33,3.143943285728966,5.394020343162437,32.87586206896552,False,0.0698,4.6727,1,1,1,100.0,8.176771989752345,8.176771989752345,4.856056714271034,3.143943285728966,历史1/1次成功; 当前距低点3.14%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
16,74.57736016822905,75.01554621596674,300645,正元智慧,bottom_area,2025-09-08,18.9,2025-09-05,18.12,4.304635761589391,4.74613686534216,27.3164861612515,False,0.7463,4.9323,1,1,1,100.0,30.699547055863096,30.699547055863096,3.6953642384106096,4.304635761589391,历史1/1次成功; 当前距低点4.30%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
17,74.3947126750149,73.65029038510097,605169,洪通燃气,bottom_area,2025-09-08,14.88,2025-09-05,14.38,3.477051460361613,4.033379694019472,31.064237775647165,False,0.7448,1.3966,3,4,3,75.0,17.381546853362593,26.09375,4.522948539638387,3.477051460361613,历史3/4次成功; 当前距低点3.48%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
18,73.40469955793654,72.3091499820885,002265,建设工业,confirmed_rebound,2025-09-08,30.15,2025-09-05,29.21,3.2180760013693863,9.448818897637787,28.756097560975608,False,-0.7244,6.1292,5,6,5,83.33333333333334,21.629193182136394,41.46981627296587,4.781923998630614,3.2180760013693863,历史5/6次成功; 当前距低点3.22%; 最新日涨幅-0.72%; 状态confirmed_rebound; 底部未确认
19,72.61219847194874,72.55999256723229,688347,华虹公司,confirmed_rebound,2025-09-08,70.05,2025-09-05,67.38,3.9626001780943927,8.029088750371047,28.258091993185698,False,-2.9106,7.4281,1,1,1,100.0,45.99312351229833,45.99312351229833,4.037399821905607,3.9626001780943927,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-2.91%; 状态confirmed_rebound; 底部未确认
20,72.003179040748,71.53725284708955,300192,科德教育,bottom_area,2025-09-08,19.53,2025-09-05,18.84,3.662420382165612,5.732484076433131,32.18142548596112,False,-1.0137,7.5642,1,1,1,100.0,26.599845797995382,26.599845797995382,4.337579617834388,3.662420382165612,历史1/1次成功; 当前距低点3.66%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
21,71.92344829444588,70.91194954248141,603280,南方路机,bottom_area,2025-09-08,42.4,2025-09-04,41.06,3.2635168046760747,5.138821237213832,30.875420875420872,False,-1.5556,11.8683,1,1,1,100.0,18.348214285714302,18.348214285714302,4.736483195323926,3.2635168046760747,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
22,71.24208172156753,70.64077045516947,300570,太辰光,bottom_area,2025-09-08,106.2,2025-09-08,102.55,3.559239395416876,7.752315943442226,30.5499119599079,False,-5.1955,11.4898,2,2,2,100.0,14.063635896343833,14.728682170542637,4.440760604583124,3.559239395416876,历史2/2次成功; 当前距低点3.56%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
23,69.41805344873127,70.37949497066981,688552,航天南湖,confirmed_rebound,2025-09-08,34.2,2025-09-04,32.66,4.7152480097979375,9.920391916717705,28.860814637333913,False,1.0041,7.4561,1,1,1,100.0,21.02290555381236,21.02290555381236,3.284751990202063,4.7152480097979375,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.00%; 状态confirmed_rebound; 底部未确认
24,67.91974911978899,69.16120227982574,002596,海南瑞泽,bottom_area,2025-09-08,3.61,2025-09-03,3.44,4.941860465116276,6.976744186046519,30.364372469635637,False,-0.2762,2.3722,2,2,2,100.0,12.842172797262624,14.970059880239523,3.058139534883724,4.941860465116276,历史2/2次成功; 当前距低点4.94%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
25,62.241319403871465,61.04021739527805,688343,云天励飞,confirmed_rebound,2025-09-08,82.41,2025-09-04,80.02,2.986753311672083,12.32191952011997,27.909909909909913,False,-0.5791,7.3181,2,3,2,66.66666666666666,10.9857434366867,12.88402000476303,5.013246688327917,2.986753311672083,历史2/3次成功; 当前距低点2.99%; 最新日涨幅-0.58%; 状态confirmed_rebound; 底部未确认
