rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.73516095344004,76.61775675675676,600106,重庆路桥,bottom_area,2024-12-31,5.59,2024-12-25,5.55,0.7207207207207215,7.567567567567567,30.88418430884184,True,-2.9514,1.6911,1,1,1,100.0,48.50000000000001,48.50000000000001,19.27927927927928,0.7207207207207215,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-2.95%; 状态bottom_area; 底部已确认
2,89.56355161750452,76.26687737041719,002421,达实智能,bottom_area,2024-12-31,3.43,2024-12-25,3.39,1.1799410029498536,8.259587020648961,28.78151260504201,True,-3.6517,3.4806,1,1,1,100.0,22.619047619047613,22.619047619047613,18.820058997050147,1.1799410029498536,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-3.65%; 状态bottom_area; 底部已确认
3,86.71170612803665,72.47475573049317,002016,世荣兆业,bottom_area,2024-12-31,6.18,2024-12-31,6.17,0.16207455429497222,3.2414910858995163,29.080459770114935,False,-2.2152,0.6004,1,1,1,100.0,28.571428571428566,28.571428571428566,19.83792544570503,0.16207455429497222,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
4,85.6610811779712,73.39529190568896,002836,新宏泽,bottom_area,2024-12-31,7.36,2024-12-25,7.25,1.5172413793103492,7.5862068965517215,27.500000000000004,True,-1.7356,2.1742,2,3,2,66.66666666666666,39.98890098844028,59.30851063829788,18.48275862068965,1.5172413793103492,历史2/3次成功; 当前距低点1.52%; 最新日涨幅-1.74%; 状态bottom_area; 底部已确认
5,85.27452091349942,72.0926651757172,300355,蒙草生态,bottom_area,2024-12-31,5.13,2024-12-31,5.09,0.7858546168958749,7.072691552062875,31.860776439089694,False,-4.1121,4.229,2,2,2,100.0,27.711901624945106,33.201581027668,19.214145383104125,0.7858546168958749,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
6,84.94587359025657,71.33543144086903,002321,华英农业,bottom_area,2024-12-31,2.39,2024-12-31,2.38,0.4201680672269005,3.361344537815129,32.76836158192091,False,-1.2397,1.6033,1,1,1,100.0,25.609756097560986,25.609756097560986,19.5798319327731,0.4201680672269005,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
7,84.89656733647232,70.948489649885,600326,西藏天路,bottom_area,2024-12-31,6.46,2024-12-31,6.45,0.15503875968991915,4.9612403100775095,27.93296089385474,False,-4.1543,4.7224,1,1,1,100.0,30.494505494505493,30.494505494505493,19.844961240310084,0.15503875968991915,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-4.15%; 状态bottom_area; 底部未确认
8,83.49277533039647,69.5773127753304,000031,大悦城,bottom_area,2024-12-31,3.04,2024-12-31,3.04,0.0,4.605263157894741,27.962085308056867,False,-3.1847,0.6201,1,1,1,100.0,33.48017621145373,33.48017621145373,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
9,83.29244577827848,71.54683960911537,688165,埃夫特,bottom_area,2024-12-31,26.4,2024-12-30,25.97,1.6557566422795524,5.352329611089721,29.140518417462484,False,0.3421,4.6569,2,4,2,50.0,37.91378899738032,53.84615384615383,18.34424335772045,1.6557566422795524,历史2/4次成功; 当前距低点1.66%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
10,82.69662886795828,70.34414499617208,002481,双塔食品,bottom_area,2024-12-31,5.41,2024-12-25,5.35,1.1214953271028132,7.4766355140186995,28.18791946308725,True,-2.17,2.3821,2,4,2,50.0,38.17824915035744,54.6583850931677,18.878504672897186,1.1214953271028132,历史2/4次成功; 当前距低点1.12%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
11,82.61035182773335,69.35833323416071,603319,美湖股份,bottom_area,2024-12-31,19.7,2024-12-31,19.62,0.4077471967380137,5.504587155963294,30.07840342124019,False,-3.5732,4.0008,3,4,3,75.0,29.209660444749293,43.981481481481474,19.592252803261985,0.4077471967380137,历史3/4次成功; 当前距低点0.41%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
12,82.20927036473799,68.81468456192938,301566,达利凯普,bottom_area,2024-12-31,16.44,2024-12-31,16.4,0.24390243902440673,7.74390243902441,27.975406236275806,False,-6.8555,6.6165,1,1,1,100.0,20.111731843575413,20.111731843575413,19.756097560975594,0.24390243902440673,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-6.86%; 状态bottom_area; 底部未确认
13,82.19646226867957,73.10541623794386,000692,惠天热电,bottom_area,2024-12-31,3.49,2024-12-25,3.37,3.5608308605341277,9.792284866468846,30.515463917525764,True,1.1594,3.9414,2,3,2,66.66666666666666,41.00776308223117,59.042553191489375,16.43916913946587,3.5608308605341277,历史2/3次成功; 当前距低点3.56%; 最新日涨幅1.16%; 状态bottom_area; 底部已确认
14,82.08817585835047,74.09660486268876,300536,农尚环境,bottom_area,2024-12-31,5.73,2024-12-30,5.49,4.371584699453555,12.386156648451726,31.116687578419068,True,3.0576,3.1948,4,6,4,66.66666666666666,39.608340380517234,60.27027027027027,15.628415300546447,4.371584699453555,历史4/6次成功; 当前距低点4.37%; 最新日涨幅3.06%; 状态bottom_area; 底部已确认
15,79.64789298585471,66.5952282490424,002006,精工科技,bottom_area,2024-12-31,16.5,2024-12-31,16.47,0.18214936247723826,5.64663023679417,27.25265017667845,False,-5.0086,2.618,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,19.817850637522763,0.18214936247723826,历史2/3次成功; 当前距低点0.18%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
16,78.50000000000001,65.41666666666669,002137,实益达,bottom_area,2024-12-31,8.99,2024-12-31,8.99,0.0,4.226918798665173,30.364058869093725,False,-10.01,32.3404,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
17,77.79854141061057,64.83211784217548,300607,拓斯达,bottom_area,2024-12-31,25.49,2024-12-31,25.49,0.0,7.296979207532378,29.934029686641022,False,-5.312,9.0442,3,5,3,60.0,44.63504216223377,59.90836197021764,20.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-5.31%; 状态bottom_area; 底部未确认
18,72.80804773219651,60.673373110163766,300551,古鳌科技,bottom_area,2024-12-31,9.97,2024-12-31,9.97,0.0,8.124373119358062,31.241379310344826,False,-6.032,5.9085,2,3,2,66.66666666666666,24.49842173923171,28.36676217765042,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-6.03%; 状态bottom_area; 底部未确认
19,72.31504693509363,60.50723749952462,688023,安恒信息,bottom_area,2024-12-31,40.8,2024-12-31,40.71,0.22107590272659375,5.8462294276590585,28.553878553878548,False,-4.0,2.3489,2,4,2,50.0,33.50156213839389,39.261744966442954,19.778924097273407,0.22107590272659375,历史2/4次成功; 当前距低点0.22%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
20,69.82447679333983,61.97438768639631,000510,新金路,bottom_area,2024-12-31,3.6,2024-12-25,3.48,3.448275862068969,8.333333333333334,29.6969696969697,True,-1.9074,1.6524,2,4,2,50.0,21.70137984899766,23.043478260869577,16.551724137931032,3.448275862068969,历史2/4次成功; 当前距低点3.45%; 最新日涨幅-1.91%; 状态bottom_area; 底部已确认
21,67.78065346833058,56.66797349228825,300530,领湃科技,bottom_area,2024-12-31,16.93,2024-12-31,16.9,0.17751479289941502,4.615384615384623,27.962489343563522,False,-3.4778,1.5286,3,7,3,42.857142857142854,27.802573379948058,34.07510431154381,19.822485207100588,0.17751479289941502,历史3/7次成功; 当前距低点0.18%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
