rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.05737774431306,84.7051926146749,688355,明志科技,bottom_area,2023-08-16,22.53,2023-08-16,22.22,1.3951395139514056,4.095409540954096,27.027914614121514,False,-2.383,2.3469,4,4,4,100.0,19.602745733785582,35.08474576271185,6.604860486048595,1.3951395139514056,历史4/4次成功; 当前距低点1.40%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
2,87.88949965285347,83.55691868405084,688300,联瑞新材,bottom_area,2023-08-16,42.12,2023-08-14,41.55,1.3718411552346579,3.7304452466907447,28.974358974358978,False,0.0475,0.2936,2,2,2,100.0,24.003852247235756,26.809910956252438,6.628158844765341,1.3718411552346579,历史2/2次成功; 当前距低点1.37%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
3,84.9336924421605,78.88791447658359,688248,南网科技,bottom_area,2023-08-16,30.93,2023-08-16,30.88,0.16191709844559815,3.011658031088082,28.152629129827822,False,-1.7159,1.9752,3,3,3,100.0,29.715513231395445,49.406593406593416,7.838082901554403,0.16191709844559815,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
4,84.24146412183077,78.42864779317141,300604,长川科技,bottom_area,2023-08-16,35.35,2023-08-16,35.25,0.2836879432624154,4.2836879432624055,29.031608616871353,False,-3.1507,1.9283,4,4,4,100.0,22.28739948284786,36.28082648300379,7.716312056737584,0.2836879432624154,历史4/4次成功; 当前距低点0.28%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
5,84.12569494618515,79.67977096982634,688115,思林杰,confirmed_rebound,2023-08-16,29.22,2023-08-15,28.88,1.1772853185595562,10.734072022160671,27.345911949685537,False,-0.5107,2.224,3,3,3,100.0,16.79559944162432,23.658728081654015,6.822714681440443,1.1772853185595562,历史3/3次成功; 当前距低点1.18%; 最新日涨幅-0.51%; 状态confirmed_rebound; 底部未确认
6,83.44130160979377,79.39242097724535,002507,涪陵榨菜,bottom_area,2023-08-16,17.93,2023-06-26,17.68,1.414027149321267,7.861990950226248,28.967456809963842,True,0.1676,0.3009,1,1,1,100.0,9.604316546762583,9.604316546762583,6.585972850678733,1.414027149321267,历史1/1次成功; 当前距低点1.41%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
7,83.37259804245909,77.31432669906565,002240,盛新锂能,bottom_area,2023-08-16,25.35,2023-08-16,25.33,0.07895775759969652,2.4476904855902135,28.243626062322946,False,-1.4002,0.8949,3,3,3,100.0,20.23844293759655,33.42198581560282,7.921042242400303,0.07895775759969652,历史3/3次成功; 当前距低点0.08%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
8,83.26580406341087,77.59362034097292,002386,天原股份,bottom_area,2023-08-16,6.03,2023-08-15,6.01,0.33277870216306926,1.6638935108153168,27.503015681544024,False,-0.495,0.4778,3,3,3,100.0,24.851375171530723,48.85290148448042,7.667221297836931,0.33277870216306926,历史3/3次成功; 当前距低点0.33%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
9,82.9515312183795,80.92658409219591,002045,国光电器,confirmed_rebound,2023-08-16,13.62,2023-08-14,13.26,2.7149321266968283,8.974358974358971,28.20790471034109,True,-4.0169,3.8472,4,4,4,100.0,26.70230828529398,33.77563329312426,5.285067873303172,2.7149321266968283,历史4/4次成功; 当前距低点2.71%; 最新日涨幅-4.02%; 状态confirmed_rebound; 底部已确认
10,82.44942522904924,78.69072760553702,688286,敏芯股份,bottom_area,2023-08-16,47.75,2023-08-16,47.01,1.5741331631567794,7.679217187832375,28.338414634146336,False,-4.4809,2.1968,3,3,3,100.0,16.34274848136819,25.016501650165008,6.425866836843221,1.5741331631567794,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
11,82.03516814624966,76.18686296141395,001266,宏英智能,bottom_area,2023-08-16,25.7,2023-08-16,25.66,0.1558846453624285,2.6890101325019535,27.14366837024418,False,-2.1325,2.5083,3,3,3,100.0,15.119784692689752,23.285351397121083,7.844115354637572,0.1558846453624285,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
