rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.0177825425089,77.10614619197926,300505,川金诺,bottom_area,2021-09-29,33.4,2021-09-29,32.93,1.427269966595806,7.804433647130277,27.990378307456808,False,-5.2213,10.556,1,1,1,100.0,39.35656836461126,39.35656836461126,6.572730033404195,1.427269966595806,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
2,79.9556744332211,76.71950617283952,605365,立达信,bottom_area,2021-09-29,18.7,2021-09-28,18.36,1.851851851851851,4.193899782135074,29.68211413251628,False,0.7001,4.0507,1,1,1,100.0,9.794238683127569,9.794238683127569,6.148148148148149,1.851851851851851,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
3,79.24013557191243,77.01293678192846,601127,赛力斯,bottom_area,2021-09-29,58.23,2021-09-29,56.8,2.5176056338028165,6.9894366197183215,30.630190522716173,False,-2.95,1.7626,2,2,2,100.0,25.33912702687572,27.74461028192372,5.482394366197184,2.5176056338028165,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
4,78.56521824019336,72.92989998419664,000426,兴业银锡,bottom_area,2021-09-29,7.62,2021-09-29,7.61,0.13140604467805236,3.153745072273315,30.628988149498632,False,-2.8061,2.3983,1,1,1,100.0,30.64250411861613,30.64250411861613,7.868593955321948,0.13140604467805236,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
5,77.85036683491155,72.12754927991631,001212,中旗新材,bottom_area,2021-09-29,31.66,2021-09-29,31.65,0.03159557661927824,1.8957345971564028,28.95622895622896,False,-0.252,3.9006,1,1,1,100.0,25.105307497893843,25.105307497893843,7.968404423380722,0.03159557661927824,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
6,77.59941797815608,74.07002950948225,000792,盐湖股份,bottom_area,2021-09-29,28.29,2021-09-29,27.85,1.5798922800718052,6.894075403949723,28.917815211842772,False,-3.8082,1.8938,1,1,1,100.0,24.904214559386965,24.904214559386965,6.420107719928195,1.5798922800718052,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-3.81%; 状态bottom_area; 底部未确认
7,77.52856406216924,72.19678108644314,300727,润禾材料,bottom_area,2021-09-29,27.06,2021-09-29,26.98,0.29651593773164675,7.375833951074864,30.76725686425455,False,-5.7143,3.0143,2,2,2,100.0,22.273319486404827,26.812499999999993,7.703484062268354,0.29651593773164675,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-5.71%; 状态bottom_area; 底部未确认
8,77.43590449938407,71.69991157350375,300340,科恒股份,bottom_area,2021-09-29,16.0,2021-09-29,16.0,0.0,5.750000000000011,30.069930069930066,False,-3.7304,3.7927,2,2,2,100.0,28.225331040342816,42.54473161033797,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
9,76.80095148417182,71.50433414043583,688355,明志科技,bottom_area,2021-09-29,24.57,2021-09-29,24.5,0.28571428571428686,4.081632653061225,29.658340511053687,False,-3.7603,3.306,1,1,1,100.0,35.08474576271185,35.08474576271185,7.7142857142857135,0.28571428571428686,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
10,75.85068463012072,70.51823808712778,002455,百川股份,confirmed_rebound,2021-09-29,14.24,2021-09-29,14.21,0.2111189303307485,9.50035186488388,27.536970933197342,False,-6.8063,10.8266,2,2,2,100.0,22.417146496139253,35.42600896860987,7.788881069669252,0.2111189303307485,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-6.81%; 状态confirmed_rebound; 底部未确认
11,75.08030813599964,69.66588119520488,300631,久吾高科,bottom_area,2021-09-29,36.49,2021-09-29,36.45,0.1097393689986259,7.2153635116597945,31.459195186160205,False,-7.3858,4.8978,1,1,1,100.0,23.04347826086956,23.04347826086956,7.890260631001373,0.1097393689986259,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-7.39%; 状态bottom_area; 底部未确认
12,75.03992841444699,69.73434019613467,001202,炬申股份,bottom_area,2021-09-29,15.93,2021-09-29,15.9,0.18867924528301483,2.7044025157232574,27.6944065484311,False,-1.7879,2.2266,1,1,1,100.0,14.164133738601837,14.164133738601837,7.811320754716985,0.18867924528301483,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
13,74.91521564064494,69.44454460951948,688329,艾隆科技,bottom_area,2021-09-29,34.03,2021-09-29,34.01,0.05880623346075604,7.233166715671864,30.4214402618658,False,-5.0237,6.9066,1,1,1,100.0,21.229154955967783,21.229154955967783,7.941193766539244,0.05880623346075604,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
