rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.0779896612808,82.35702757237307,300056,中创环保,bottom_area,2025-10-23,10.54,2025-10-15,10.38,1.5414258188824506,8.188824662813097,29.001367989056074,True,0.1901,2.1718,1,1,1,100.0,27.10472279260781,27.10472279260781,18.45857418111755,1.5414258188824506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.19%; 状态bottom_area; 底部已确认
2,85.98081444927367,75.01374012832851,300141,和顺电气,bottom_area,2025-10-23,11.45,2025-10-23,11.17,2.5067144136078725,2.9543419874664285,27.935483870967744,False,-0.5213,7.5563,1,1,1,100.0,31.123919308357333,31.123919308357333,17.49328558639213,2.5067144136078725,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
3,85.34779269453227,74.33256795105999,301190,善水科技,bottom_area,2025-10-23,22.08,2025-10-23,21.56,2.4118738404452675,3.3858998144712453,27.91708458709462,False,-0.8977,3.1649,1,1,1,100.0,26.299141436963403,26.299141436963403,17.588126159554733,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
4,84.68074497548031,74.08366420561556,605488,福莱新材,bottom_area,2025-10-23,30.9,2025-10-23,30.1,2.65780730897009,2.923588039867106,27.64423076923077,False,-0.675,1.5344,1,1,1,100.0,27.975617581007374,27.975617581007374,17.34219269102991,2.65780730897009,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
5,82.1120970055629,74.22562441180825,002674,兴业科技,bottom_area,2025-10-23,14.08,2025-10-20,13.48,4.451038575667654,6.824925816023739,27.52688172043011,False,-0.7752,1.0854,2,2,2,100.0,34.05372238887374,36.52849740932641,15.548961424332347,4.451038575667654,历史2/2次成功; 当前距低点4.45%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
6,75.86876114470212,66.13642281844764,600353,旭光电子,bottom_area,2025-10-23,15.82,2025-10-23,15.44,2.461139896373062,6.735751295336794,27.81673679289388,False,-4.4109,5.2212,2,3,2,66.66666666666666,31.941694169416934,41.11111111111111,17.538860103626938,2.461139896373062,历史2/3次成功; 当前距低点2.46%; 最新日涨幅-4.41%; 状态bottom_area; 底部未确认
7,71.64438755978018,62.16243660418965,000700,模塑科技,bottom_area,2025-10-23,9.27,2025-10-23,9.07,2.205071664829099,2.4255788313120052,30.974124809741248,False,-0.3226,1.6637,1,2,1,50.0,52.926829268292686,52.926829268292686,17.7949283351709,2.205071664829099,历史1/2次成功; 当前距低点2.21%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
8,70.99922638102059,60.98453678593301,688039,当虹科技,bottom_area,2025-10-23,49.8,2025-10-23,48.99,1.653398652786273,4.000816493161871,30.970832746230798,False,-1.8526,2.1021,2,7,2,28.57142857142857,62.201664036449046,79.31638913234006,18.346601347213728,1.653398652786273,历史2/7次成功; 当前距低点1.65%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
9,70.33498645872855,61.58612021857923,002123,梦网科技,bottom_area,2025-10-23,12.53,2025-10-17,12.2,2.704918032786886,2.8688524590164053,29.68299711815563,False,0.6426,1.828,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,17.295081967213115,2.704918032786886,历史1/3次成功; 当前距低点2.70%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
10,69.28057652631367,60.846108607711635,002453,华软科技,bottom_area,2025-10-23,6.81,2025-10-23,6.62,2.87009063444108,2.87009063444108,32.17213114754098,False,0.1471,4.8694,1,2,1,50.0,28.60169491525425,28.60169491525425,17.12990936555892,2.87009063444108,历史1/2次成功; 当前距低点2.87%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
11,68.80712807079854,59.19109960288893,603305,旭升集团,bottom_area,2025-10-23,14.65,2025-10-23,14.4,1.7361111111111112,3.680555555555551,29.064039408867,False,-2.4634,3.1898,2,6,2,33.33333333333333,31.05429894026305,32.41061130334487,18.26388888888889,1.7361111111111112,历史2/6次成功; 当前距低点1.74%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
12,64.45962401037335,54.964423632685886,300563,神宇股份,bottom_area,2025-10-23,37.14,2025-10-23,36.68,1.2540894220283558,3.0261723009814596,28.776699029126213,False,-1.4593,3.7174,1,4,1,25.0,20.477137176938378,20.477137176938378,18.745910577971646,1.2540894220283558,历史1/4次成功; 当前距低点1.25%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
13,63.38841689698521,55.1287727056478,000572,海马汽车,bottom_area,2025-10-23,5.7,2025-10-23,5.57,2.333931777378813,8.438061041292634,28.129032258064512,False,-5.6291,11.4552,2,6,2,33.33333333333333,26.75700981042025,30.592105263157897,17.66606822262119,2.333931777378813,历史2/6次成功; 当前距低点2.33%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
14,62.734967590928214,53.82855250288969,002617,露笑科技,bottom_area,2025-10-23,8.28,2025-10-23,8.15,1.595092024539865,2.208588957055211,30.341880341880334,False,-0.9569,3.1954,1,6,1,16.666666666666664,36.60589060308556,36.60589060308556,18.404907975460137,1.595092024539865,历史1/6次成功; 当前距低点1.60%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
