rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.20785694542917,89.98618191377162,002045,国光电器,bottom_area,2023-07-27,13.61,2023-07-26,13.41,1.4914243102162512,7.084265473527212,27.39577693557119,False,0.4428,3.6475,4,4,4,100.0,26.70230828529398,33.77563329312426,8.50857568978375,1.4914243102162512,历史4/4次成功; 当前距低点1.49%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
2,86.08648430544741,79.59692010676889,300342,天银机电,bottom_area,2023-07-27,11.37,2023-07-25,11.27,0.8873114463176544,5.2351375332741785,27.337201805286917,False,0.088,4.9484,3,3,3,100.0,19.9461838944793,26.68539325842696,9.112688553682347,0.8873114463176544,历史3/3次成功; 当前距低点0.89%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
3,80.83314176999743,74.9690942107311,601360,三六零,bottom_area,2023-07-27,11.57,2023-07-24,11.45,1.0480349344978255,5.065502183406115,29.1460396039604,False,-0.9418,1.0855,1,1,1,100.0,13.003300330033007,13.003300330033007,8.951965065502176,1.0480349344978255,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
4,80.48169697037234,74.85560677931551,688287,退市观典,bottom_area,2023-07-27,10.99,2023-07-24,10.86,1.1970534069981655,3.5911602209944804,27.406417112299476,False,-0.8123,0.7876,1,1,1,100.0,14.219830899308223,14.219830899308223,8.802946593001835,1.1970534069981655,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
5,80.29106775920177,76.11422123835328,600105,永鼎股份,bottom_area,2023-07-27,6.05,2023-07-24,5.92,2.1959459459459443,5.912162162162156,27.628361858190708,False,0.4983,3.3332,1,1,1,100.0,10.757946210268958,10.757946210268958,7.804054054054056,2.1959459459459443,历史1/1次成功; 当前距低点2.20%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
6,79.99387559005861,74.45205319566803,600990,四创电子,bottom_area,2023-07-27,23.0,2023-07-24,22.72,1.2323943661971881,3.2570422535211354,29.199127454035533,False,-0.519,0.6565,1,1,1,100.0,12.483399734395755,12.483399734395755,8.767605633802813,1.2323943661971881,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
7,79.24693681126561,76.83990368382061,002590,万安科技,confirmed_rebound,2023-07-27,11.62,2023-07-24,11.24,3.3807829181494573,11.654804270462638,28.589580686149933,True,0.7806,12.9004,1,1,1,100.0,30.204778156996575,30.204778156996575,6.619217081850542,3.3807829181494573,历史1/1次成功; 当前距低点3.38%; 最新日涨幅0.78%; 状态confirmed_rebound; 底部已确认
8,78.29704537674456,73.96282389641465,301379,天山电子,bottom_area,2023-07-27,35.0,2023-07-27,34.31,2.011075488195855,5.770912270475071,31.10441767068272,False,-0.6529,35.2815,1,1,1,100.0,19.398258115597777,19.398258115597777,7.9889245118041465,2.011075488195855,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
9,77.49081569858932,71.29123799023472,301386,未来电器,bottom_area,2023-07-27,27.38,2023-07-27,27.21,0.6247703050349068,4.00588019110621,27.148594377510037,False,-1.1552,12.6678,1,1,1,100.0,27.880184331797242,27.880184331797242,9.375229694965094,0.6247703050349068,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
10,76.67666886574678,74.17517949416711,600995,南网储能,bottom_area,2023-07-27,11.09,2023-06-07,10.74,3.258845437616384,8.379888268156428,32.7909887359199,True,-0.6272,0.6556,1,1,1,100.0,26.64165103189493,26.64165103189493,6.741154562383617,3.258845437616384,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-0.63%; 状态bottom_area; 底部已确认
11,76.11803638709253,74.77213790480603,002654,万润科技,confirmed_rebound,2023-07-27,10.5,2023-07-26,10.09,4.06342913776016,10.208126858275515,29.93055555555556,True,2.6393,14.1268,2,2,2,100.0,10.789012574726865,11.22448979591837,5.936570862239841,4.06342913776016,历史2/2次成功; 当前距低点4.06%; 最新日涨幅2.64%; 状态confirmed_rebound; 底部已确认
