rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.42755505609078,81.72847026449853,300422,博世科,bottom_area,2025-03-06,4.22,2025-02-06,4.11,2.6763990267639763,6.5693430656934195,30.220713073005083,False,0.4762,2.4781,2,2,2,100.0,30.164838954410644,45.4320987654321,7.323600973236025,2.6763990267639763,历史2/2次成功; 当前距低点2.68%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
2,85.42096934394782,82.73568823457987,600421,退市华嵘,bottom_area,2025-03-06,6.84,2025-03-05,6.62,3.32326283987915,4.682779456193348,27.886710239651414,False,1.1834,4.3274,3,3,3,100.0,26.842621018840468,44.900662251655625,6.676737160120851,3.32326283987915,历史3/3次成功; 当前距低点3.32%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
3,79.34988109906242,76.04271432339755,002718,友邦吊顶,bottom_area,2025-03-06,13.75,2025-03-05,13.38,2.76532137518684,3.5127055306427417,27.32210755024443,False,0.8065,4.1532,1,1,1,100.0,17.352941176470598,17.352941176470598,7.234678624813161,2.76532137518684,历史1/1次成功; 当前距低点2.77%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
