rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.6268852459017,80.44000000000004,002687,乔治白,bottom_area,2024-06-19,4.27,2024-06-06,4.2,1.666666666666652,5.714285714285719,28.2051282051282,False,-0.6977,0.8239,1,1,1,100.0,64.00000000000001,64.00000000000001,18.33333333333335,1.666666666666652,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
2,93.16143709814459,79.7856136356906,600162,香江控股,bottom_area,2024-06-19,1.36,2024-06-18,1.34,1.492537313432837,2.9850746268656576,30.208333333333325,False,-0.7299,0.3518,2,2,2,100.0,27.68063822751323,28.90624999999999,18.507462686567163,1.492537313432837,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
3,91.16840980656774,76.26435672514621,002790,瑞尔特,bottom_area,2024-06-19,9.62,2024-06-19,9.6,0.2083333333333289,1.8749999999999971,30.785868781542895,False,-1.232,0.9195,1,1,1,100.0,49.512670565302145,49.512670565302145,19.79166666666667,0.2083333333333289,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
4,88.83236707793075,74.60510298610976,605198,安德利,bottom_area,2024-06-19,28.39,2024-06-17,28.27,0.42447824548992213,3.21896002829855,29.99009410599307,False,-1.4578,0.3994,1,1,1,100.0,43.241469816272954,43.241469816272954,19.575521754510078,0.42447824548992213,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
5,84.75742358687441,71.1488032774562,000402,金融街,bottom_area,2024-06-19,2.52,2024-06-19,2.51,0.3984063745020013,1.9920318725099708,28.285714285714292,False,-1.1765,0.8298,1,1,1,100.0,24.339622641509433,24.339622641509433,19.601593625498,0.3984063745020013,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
6,82.40580292072381,73.51507369565549,002615,哈尔斯,bottom_area,2024-06-19,6.4,2024-06-06,6.17,3.7277147487844475,7.77957860615884,27.41176470588235,True,-0.156,1.5156,1,1,1,100.0,28.84012539184954,28.84012539184954,16.272285251215553,3.7277147487844475,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-0.16%; 状态bottom_area; 底部已确认
7,80.65082059047542,71.31763236214962,000999,华润三九,bottom_area,2024-06-19,46.78,2024-06-14,45.31,3.244316927830498,6.5327742220260445,31.181652490886997,False,-1.9904,0.472,1,1,1,100.0,20.293951384963254,20.293951384963254,16.755683072169504,3.244316927830498,历史1/1次成功; 当前距低点3.24%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
8,79.34243210802704,71.17645161290325,600173,卧龙新能,bottom_area,2024-06-19,3.87,2024-06-06,3.72,4.032258064516126,9.946236559139775,29.545454545454547,True,-0.2577,0.4875,1,1,1,100.0,20.000000000000004,20.000000000000004,15.967741935483875,4.032258064516126,历史1/1次成功; 当前距低点4.03%; 最新日涨幅-0.26%; 状态bottom_area; 底部已确认
9,79.22632539316027,67.5040629625396,002761,浙江建投,bottom_area,2024-06-19,8.35,2024-06-06,8.25,1.2121212121212077,4.848484848484853,28.26086956521739,False,-0.949,1.6448,3,6,3,50.0,33.213437237505204,43.73730534867976,18.787878787878793,1.2121212121212077,历史3/6次成功; 当前距低点1.21%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
10,78.45999273351653,68.7599310340677,000813,德展健康,bottom_area,2024-06-19,2.24,2024-06-06,2.18,2.7522935779816535,8.715596330275226,29.677419354838708,True,-1.3216,0.4367,2,3,2,66.66666666666666,30.20695551182373,39.9103139013453,17.247706422018346,2.7522935779816535,历史2/3次成功; 当前距低点2.75%; 最新日涨幅-1.32%; 状态bottom_area; 底部已确认
11,74.11350187255643,63.568096685902795,688357,建龙微纳,bottom_area,2024-06-19,25.8,2024-06-06,25.4,1.574803149606308,8.464566929133866,32.012847965738764,True,-1.5643,0.3957,2,5,2,40.0,28.97122509142576,31.65083135391925,18.425196850393693,1.574803149606308,历史2/5次成功; 当前距低点1.57%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
12,71.78896367410823,61.75962316081369,688092,爱科科技,bottom_area,2024-06-19,22.23,2024-06-17,21.85,1.7391304347826038,4.347826086956518,32.35294117647058,False,-1.2,0.9507,1,2,1,50.0,42.12279866730127,42.12279866730127,18.260869565217398,1.7391304347826038,历史1/2次成功; 当前距低点1.74%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
13,67.3579634332444,60.19146372724941,301393,昊帆生物,bottom_area,2024-06-19,40.5,2024-06-11,39.01,3.8195334529607847,10.433222250704949,30.438659058487875,True,-1.8895,2.4519,1,2,1,50.0,58.59438845001361,58.59438845001361,16.180466547039217,3.8195334529607847,历史1/2次成功; 当前距低点3.82%; 最新日涨幅-1.89%; 状态bottom_area; 底部已确认
14,67.14070254596479,59.98128254316251,603137,恒尚节能,bottom_area,2024-06-19,10.64,2024-06-18,10.25,3.8048780487804934,10.146341463414627,31.848404255319146,True,3.2008,3.8229,1,2,1,50.0,26.217228464419488,26.217228464419488,16.19512195121951,3.8048780487804934,历史1/2次成功; 当前距低点3.80%; 最新日涨幅3.20%; 状态bottom_area; 底部已确认
15,65.15588325122178,57.05155675170602,603155,新亚强,bottom_area,2024-06-19,11.01,2024-06-18,10.72,2.7052238805970066,3.6380597014925256,30.97231165486155,False,0.0,0.5662,1,3,1,33.33333333333333,25.624375624375624,25.624375624375624,17.294776119402993,2.7052238805970066,历史1/3次成功; 当前距低点2.71%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,65.08210263005405,54.614834691674886,001322,箭牌家居,bottom_area,2024-06-19,7.91,2024-06-19,7.88,0.38071065989848035,2.53807106598985,30.141843971631204,False,-1.4944,1.6151,1,2,1,50.0,26.897069872276486,26.897069872276486,19.61928934010152,0.38071065989848035,历史1/2次成功; 当前距低点0.38%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
17,64.08276473936472,53.93628285847696,688105,诺唯赞,bottom_area,2024-06-19,20.37,2024-06-19,20.26,0.5429417571569567,2.7640671273445148,30.497427101200675,False,-1.1645,0.7627,1,2,1,50.0,25.237580993520524,25.237580993520524,19.457058242843043,0.5429417571569567,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
18,63.11316213989678,56.82956766623208,603177,德创环保,bottom_area,2024-06-19,7.38,2024-06-06,7.08,4.237288135593218,10.59322033898305,31.791907514450873,True,-0.5391,0.8336,1,2,1,50.0,37.04615384615384,37.04615384615384,15.762711864406784,4.237288135593218,历史1/2次成功; 当前距低点4.24%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
19,62.54353485548178,52.319026548672575,300639,凯普生物,bottom_area,2024-06-19,4.81,2024-06-19,4.8,0.2083333333333289,2.0833333333333446,29.618768328445753,False,-0.8247,0.9858,1,4,1,25.0,33.27433628318583,33.27433628318583,19.79166666666667,0.2083333333333289,历史1/4次成功; 当前距低点0.21%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
20,62.27905181618576,52.15906023749739,301379,天山电子,bottom_area,2024-06-19,18.4,2024-06-18,18.35,0.27247956403268203,8.446866485013608,31.350542461653568,False,-4.1167,7.3177,1,2,1,50.0,22.58233141662311,22.58233141662311,19.727520435967318,0.27247956403268203,历史1/2次成功; 当前距低点0.27%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
21,62.23266563801836,54.584265528659785,300364,中文在线,bottom_area,2024-06-19,19.84,2024-06-11,19.3,2.797927461139892,8.186528497409318,28.41246290801187,True,-2.266,3.9278,2,7,2,28.57142857142857,20.42609906329583,20.7773851590106,17.202072538860108,2.797927461139892,历史2/7次成功; 当前距低点2.80%; 最新日涨幅-2.27%; 状态bottom_area; 底部已确认
22,59.63195810706597,54.14776172702149,600322,津投城开,bottom_area,2024-06-19,1.56,2024-06-06,1.49,4.697986577181212,7.382550335570476,28.01932367149758,False,0.6452,1.1495,1,4,1,25.0,35.828877005347586,35.828877005347586,15.302013422818789,4.697986577181212,历史1/4次成功; 当前距低点4.70%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
23,59.22288341684363,53.8472399052258,002837,英维克,bottom_area,2024-06-19,23.72,2024-06-11,22.64,4.770318021201406,9.761484098939933,31.97115384615385,True,1.0652,2.9418,1,3,1,33.33333333333333,24.517374517374524,24.517374517374524,15.229681978798595,4.770318021201406,历史1/3次成功; 当前距低点4.77%; 最新日涨幅1.07%; 状态bottom_area; 底部已确认
24,58.07844728350575,51.898685544306325,000705,浙江震元,bottom_area,2024-06-19,7.34,2024-06-06,7.07,3.8189533239038127,5.799151343705801,27.26337448559671,False,-0.6766,1.6764,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,16.181046676096187,3.8189533239038127,历史1/3次成功; 当前距低点3.82%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
25,56.22122307443304,51.102673301304044,603326,我乐家居,bottom_area,2024-06-19,6.17,2024-06-06,5.89,4.753820033955862,6.791171477079802,27.552275522755238,False,0.817,1.2344,1,4,1,25.0,20.141843971631218,20.141843971631218,15.246179966044139,4.753820033955862,历史1/4次成功; 当前距低点4.75%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
