rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.04775778917872,83.39214077265532,002838,道恩股份,bottom_area,2023-01-19,17.21,2023-01-13,17.01,1.1757789535567271,2.057613168724267,32.17703349282296,False,0.467,0.857,2,2,2,100.0,20.71460638045511,24.95606326889279,6.824221046443273,1.1757789535567271,历史2/2次成功; 当前距低点1.18%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
2,85.19261803120361,79.16179640422484,000679,大连友谊,bottom_area,2023-01-19,5.45,2023-01-18,5.44,0.18382352941176078,2.5735294117647,28.515111695137975,False,-0.3656,2.0601,4,4,4,100.0,14.78986049077237,24.94061757719715,7.816176470588239,0.18382352941176078,历史4/4次成功; 当前距低点0.18%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
3,82.39598443482478,76.53185526515692,000715,中兴商业,bottom_area,2023-01-19,6.16,2023-01-19,6.15,0.1626016260162567,2.7642276422764214,31.05381165919282,False,-1.7544,3.5583,3,3,3,100.0,17.056919206849418,24.33862433862435,7.837398373983744,0.1626016260162567,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
4,82.18457360411924,81.07455950088566,000411,英特集团,bottom_area,2023-01-19,11.92,2023-01-05,11.54,3.292894280762572,3.812824956672455,31.675547661338076,False,0.1681,1.1157,2,2,2,100.0,34.206228285076975,47.98426745329401,4.707105719237428,3.292894280762572,历史2/2次成功; 当前距低点3.29%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
5,79.69288033053373,76.7561242714521,300485,赛升药业,bottom_area,2023-01-19,11.96,2023-01-12,11.72,2.047781569965872,3.583617747440272,27.69895126465145,False,0.5042,1.5405,1,1,1,100.0,12.392829306313327,12.392829306313327,5.9522184300341285,2.047781569965872,历史1/1次成功; 当前距低点2.05%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
6,79.38400352452769,76.69952031355332,600158,中体产业,bottom_area,2023-01-19,8.32,2023-01-12,8.14,2.2113022113022076,2.457002457002448,30.899830220713064,False,0.6046,1.1563,1,1,1,100.0,14.092953523238386,14.092953523238386,5.788697788697792,2.2113022113022076,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
7,79.08752251983299,73.46227301453547,000419,通程控股,bottom_area,2023-01-19,6.07,2023-01-19,6.06,0.16501650165017617,2.1452145214521585,29.039812646370024,False,-1.9386,3.1144,2,2,2,100.0,17.250057195149854,24.82269503546099,7.834983498349823,0.16501650165017617,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
8,78.55707478043551,73.20761570137422,300434,金石亚药,bottom_area,2023-01-19,12.01,2023-01-19,11.97,0.3341687552213797,2.422723475355047,31.127733026467197,False,-1.1523,2.1517,2,2,2,100.0,17.954411092897637,26.7379679144385,7.66583124477862,0.3341687552213797,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
9,78.5476714931246,73.14673342787249,002095,生意宝,bottom_area,2023-01-19,20.25,2023-01-19,20.19,0.29717682020801744,2.377414561664192,32.699999999999996,False,-1.2677,4.1764,1,1,1,100.0,33.84030418250951,33.84030418250951,7.702823179791983,0.29717682020801744,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
10,78.08760441811532,77.20525860548125,000650,仁和药业,bottom_area,2023-01-19,6.37,2023-01-12,6.16,3.4090909090909083,4.058441558441558,27.444051825677267,False,0.1572,1.9282,2,2,2,100.0,14.827881065637138,17.19038817005545,4.590909090909092,3.4090909090909083,历史2/2次成功; 当前距低点3.41%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
11,77.43870277641301,75.55190390637031,002395,双象股份,bottom_area,2023-01-19,9.45,2023-01-17,9.2,2.717391304347826,4.021739130434794,32.65007320644217,False,-0.6309,0.7923,1,1,1,100.0,36.59976387249114,36.59976387249114,5.282608695652175,2.717391304347826,历史1/1次成功; 当前距低点2.72%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
