rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.32341461691652,84.62931966198721,300351,永贵电器,bottom_area,2023-12-19,19.09,2023-12-19,18.9,1.005291005291012,2.010582010582024,30.258302583025838,False,0.21,5.8145,2,2,2,100.0,25.27625351640169,33.447979363714516,8.994708994708988,1.005291005291012,历史2/2次成功; 当前距低点1.01%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,88.63487544095162,82.87936404868202,301499,维科精密,bottom_area,2023-12-19,30.24,2023-12-19,29.8,1.4765100671140863,1.8120805369127488,28.537170263788976,False,0.1325,4.6729,2,2,2,100.0,21.64412366506522,21.950454687989964,8.523489932885914,1.4765100671140863,历史2/2次成功; 当前距低点1.48%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,88.45455472918447,82.23367485346667,002459,晶澳科技,bottom_area,2023-12-19,18.11,2023-12-18,17.9,1.1731843575419043,3.3519553072625783,28.22774659182038,False,1.0603,1.3168,2,2,2,100.0,14.454490261624771,15.855457227138645,8.826815642458097,1.1731843575419043,历史2/2次成功; 当前距低点1.17%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
4,86.67148317969395,80.84041855574812,601628,中国人寿,bottom_area,2023-12-19,27.88,2023-12-18,27.51,1.3449654671028624,1.7084696474009409,28.2472613458529,False,0.2878,0.0415,1,1,1,100.0,25.736235595390532,25.736235595390532,8.655034532897139,1.3449654671028624,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
5,85.29158360993702,78.56869525321835,000301,东方盛虹,bottom_area,2023-12-19,8.73,2023-12-18,8.67,0.6920415224913552,1.7301038062283776,29.683698296836987,False,-0.2286,0.2158,5,5,5,100.0,17.830913572573255,28.337639965546952,9.307958477508645,0.6920415224913552,历史5/5次成功; 当前距低点0.69%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
6,85.13911841061258,78.89685318029652,002137,实益达,bottom_area,2023-12-19,7.04,2023-12-19,6.97,1.0043041606886698,1.5781922525107652,28.144329896907216,False,0.1422,3.0558,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,8.995695839311331,1.0043041606886698,历史2/3次成功; 当前距低点1.00%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
7,84.49138621407302,78.21741020144803,002706,良信股份,bottom_area,2023-12-19,8.49,2023-12-19,8.41,0.9512485136741982,1.9024970273483963,27.499999999999996,False,0.1179,0.6121,3,3,3,100.0,13.31320867002797,14.727153188691638,9.048751486325802,0.9512485136741982,历史3/3次成功; 当前距低点0.95%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
8,83.78264736143332,78.59482357509182,002369,卓翼科技,bottom_area,2023-12-19,5.56,2023-12-19,5.47,1.6453382084095038,2.0109689213894026,29.781771501925547,False,0.5425,2.7522,1,1,1,100.0,17.345132743362825,17.345132743362825,8.354661791590496,1.6453382084095038,历史1/1次成功; 当前距低点1.65%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
9,83.71597915710727,78.14202578219952,601933,永辉超市,bottom_area,2023-12-19,2.93,2023-12-11,2.89,1.3840830449827002,4.844290657439435,27.56892230576441,False,0.3425,0.2912,1,1,1,100.0,11.70825335892515,11.70825335892515,8.6159169550173,1.3840830449827002,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
10,82.17956379359336,77.62227562861462,300683,海特生物,bottom_area,2023-12-19,36.62,2023-12-11,35.9,2.0055710306406653,6.211699164345416,30.48024786986832,False,0.1093,0.597,1,1,1,100.0,16.532137518684582,16.532137518684582,7.994428969359335,2.0055710306406653,历史1/1次成功; 当前距低点2.01%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
11,78.48471722777282,74.0595150862069,605188,国光连锁,bottom_area,2023-12-19,8.87,2023-12-08,8.7,1.9540229885057463,5.40229885057472,27.680798004987533,False,-0.3371,0.6347,1,1,1,100.0,19.218749999999993,19.218749999999993,8.045977011494255,1.9540229885057463,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
