rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.9413006656052,79.5027611906901,300400,劲拓股份,confirmed_rebound,2022-08-26,16.35,2022-08-25,16.16,1.1757425742574337,9.653465346534645,27.338129496402875,False,-0.1832,1.6737,3,3,3,100.0,15.825022903209952,27.014218009478668,6.824257425742567,1.1757425742574337,历史3/3次成功; 当前距低点1.18%; 最新日涨幅-0.18%; 状态confirmed_rebound; 底部未确认
2,81.29820354120292,77.38106058718496,605069,正和生态,bottom_area,2022-08-26,10.62,2022-08-25,10.47,1.4326647564469779,3.6294173829990353,29.58977807666442,False,0.2833,1.1171,1,1,1,100.0,8.212560386473426,8.212560386473426,6.567335243553023,1.4326647564469779,历史1/1次成功; 当前距低点1.43%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,80.72864660956124,77.09088731774973,300740,水羊股份,bottom_area,2022-08-26,14.58,2022-08-25,14.35,1.6027874564459959,5.5749128919860675,28.321678321678323,False,0.2751,2.7465,1,1,1,100.0,8.73786407766991,8.73786407766991,6.397212543554004,1.6027874564459959,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
4,80.15082763994299,74.27658131454002,688083,中望软件,bottom_area,2022-08-26,182.08,2022-08-26,182.0,0.04395604395605083,6.219780219780216,29.721589373286488,False,-2.5111,1.1287,2,2,2,100.0,20.144091907310933,21.52777777777778,7.95604395604395,0.04395604395605083,历史2/2次成功; 当前距低点0.04%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
5,80.0351876718003,76.7969799877159,603180,金牌家居,bottom_area,2022-08-26,23.64,2022-08-10,23.21,1.8526497199482967,5.342524773804388,27.15003138731952,False,-1.2119,0.6828,2,2,2,100.0,16.0269965010647,23.744619799139173,6.147350280051703,1.8526497199482967,历史2/2次成功; 当前距低点1.85%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
6,79.75135078825663,75.3074512162456,688091,上海谊众,bottom_area,2022-08-26,104.05,2022-08-26,103.0,1.0194174757281527,7.9514563106796095,31.319597252783886,False,-1.2434,3.9726,1,1,1,100.0,14.471629359708471,14.471629359708471,6.980582524271847,1.0194174757281527,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
7,79.69704226510756,75.40720988077881,600248,陕建股份,bottom_area,2022-08-26,4.5,2022-08-03,4.45,1.1235955056179736,5.393258426966296,28.2258064516129,False,-1.7467,0.9938,1,1,1,100.0,16.28498727735369,16.28498727735369,6.876404494382027,1.1235955056179736,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
8,79.57479705748234,75.14405290156694,000561,烽火电子,bottom_area,2022-08-26,7.91,2022-08-26,7.83,1.0217113665389537,3.703703703703693,30.830388692579508,False,-1.2484,2.4656,1,1,1,100.0,13.621262458471767,13.621262458471767,6.978288633461046,1.0217113665389537,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
9,79.49705260224668,73.60838203911729,688288,鸿泉技术,bottom_area,2022-08-26,19.7,2022-08-26,19.7,0.0,4.974619289340104,27.891654465592975,False,-3.7146,2.0696,3,3,3,100.0,21.819258274824108,41.992882562277565,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
10,77.6908911032219,72.5768985454653,300552,万集科技,bottom_area,2022-08-26,21.81,2022-08-26,21.71,0.4606172270842831,3.5467526485490537,32.80718043949242,False,-1.535,1.8265,2,2,2,100.0,16.113472167835834,23.929299796057098,7.539382772915718,0.4606172270842831,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
11,77.40928727272728,72.16120000000001,002471,中超控股,bottom_area,2022-08-26,2.86,2022-08-26,2.85,0.3508771929824486,4.210526315789477,31.980906921241054,False,-2.0548,5.4417,1,1,1,100.0,29.2,29.2,7.649122807017552,0.3508771929824486,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
