rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.99764526384362,85.94853120941617,601689,拓普集团,bottom_area,2024-02-01,49.47,2024-02-01,47.95,3.1699687174139646,6.9864442127215725,27.216150576806303,False,1.4977,1.3917,4,4,4,100.0,25.570214436129103,47.99107142857144,6.830031282586035,3.1699687174139646,历史4/4次成功; 当前距低点3.17%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
2,86.19176427813969,81.19155279503107,000678,襄阳轴承,bottom_area,2024-02-01,4.92,2024-02-01,4.83,1.8633540372670776,4.968944099378887,27.368421052631582,False,-3.5294,3.6703,2,2,2,100.0,68.2777295253666,121.62162162162164,8.136645962732922,1.8633540372670776,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
3,85.77076923076923,79.70923076923077,000985,大庆华科,bottom_area,2024-02-01,13.15,2024-02-01,13.0,1.1538461538461564,9.230769230769226,28.88402625820569,False,-8.7439,4.5038,1,1,1,100.0,56.687898089171995,56.687898089171995,8.846153846153843,1.1538461538461564,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
4,84.50611817722645,83.5819338456643,605111,新洁能,bottom_area,2024-02-01,30.93,2024-01-31,29.62,4.422687373396349,9.250506414584734,29.274116523400195,True,2.7575,3.4328,4,4,4,100.0,19.008930414021304,36.800373134328346,5.577312626603651,4.422687373396349,历史4/4次成功; 当前距低点4.42%; 最新日涨幅2.76%; 状态bottom_area; 底部已确认
5,83.56350007767199,80.80309175396883,300437,清水源,bottom_area,2024-02-01,9.25,2024-02-01,8.96,3.2366071428571326,6.584821428571426,29.337539432176644,False,-2.8361,2.8806,7,7,7,100.0,21.196537847758496,30.330330330330323,6.763392857142867,3.2366071428571326,历史7/7次成功; 当前距低点3.24%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
6,82.87332671593657,75.77171034854186,300461,田中精机,bottom_area,2024-02-01,16.73,2024-02-01,16.68,0.299760191846527,4.376498800959236,27.097902097902093,False,-2.7326,4.0829,2,2,2,100.0,31.318083795440543,39.80283425754775,9.700239808153475,0.299760191846527,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
7,82.5451215737099,78.23644764541187,002803,吉宏股份,bottom_area,2024-02-01,14.49,2024-02-01,14.18,2.186177715091682,5.0775740479548706,31.990407673860915,False,-0.5491,4.192,2,2,2,100.0,27.854477611940297,41.25000000000001,7.813822284908318,2.186177715091682,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
8,82.40506535836683,78.11502719234706,600366,宁波韵升,bottom_area,2024-02-01,5.59,2024-02-01,5.47,2.193784277879344,3.8391224862888476,30.318471337579616,False,0.1792,1.0998,1,1,1,100.0,21.488469601677156,21.488469601677156,7.806215722120657,2.193784277879344,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
9,82.26666392924304,76.4495360442798,603079,圣达生物,bottom_area,2024-02-01,10.54,2024-02-01,10.42,1.151631477927056,5.470249520153554,28.08833678398896,False,-1.4032,1.8219,1,1,1,100.0,22.232558139534888,22.232558139534888,8.848368522072944,1.151631477927056,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
10,82.08757223029463,76.22059241908848,002304,洋河股份,bottom_area,2024-02-01,91.2,2024-01-31,90.2,1.1086474501108647,3.037694013303764,29.3546365914787,False,-0.1205,0.3267,1,1,1,100.0,20.474777448071226,20.474777448071226,8.891352549889136,1.1086474501108647,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
11,81.41427695959409,74.40482893697933,000635,英力特,bottom_area,2024-02-01,7.25,2024-02-01,7.23,0.27662517289072713,9.266943291839556,30.480769230769226,False,-8.575,5.5502,3,3,3,100.0,17.234055543925752,26.334519572953745,9.723374827109273,0.27662517289072713,历史3/3次成功; 当前距低点0.28%; 最新日涨幅-8.57%; 状态bottom_area; 底部未确认
12,80.98582908965832,76.54615225865626,603198,迎驾贡酒,bottom_area,2024-02-01,50.0,2024-02-01,49.0,2.0408163265306123,4.061224489795922,27.41816027255222,False,-0.5173,0.5773,1,1,1,100.0,33.65168539325842,33.65168539325842,7.959183673469389,2.0408163265306123,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
13,80.46965846098519,75.25634602661472,605598,上海港湾,bottom_area,2024-02-01,17.77,2024-02-01,17.51,1.4848657909765732,5.596801827527109,27.704376548307174,False,-2.7367,7.1172,1,1,1,100.0,19.902365752910256,19.902365752910256,8.515134209023428,1.4848657909765732,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
14,80.30487329084256,78.60582805631321,688017,绿的谐波,bottom_area,2024-02-01,110.11,2024-01-30,106.0,3.877358490566037,9.999999999999995,31.3915857605178,True,2.466,1.6792,2,2,2,100.0,18.90433018711707,22.08643815201191,6.122641509433963,3.877358490566037,历史2/2次成功; 当前距低点3.88%; 最新日涨幅2.47%; 状态bottom_area; 底部已确认
15,79.61523740814947,72.95001977411192,000887,中鼎股份,bottom_area,2024-02-01,9.73,2024-02-01,9.69,0.41279669762642857,4.437564499484002,28.487084870848715,False,-2.3092,1.6447,2,2,2,100.0,17.53331314354936,23.84615384615385,9.587203302373572,0.41279669762642857,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
16,79.49337101483064,76.76662892664756,001209,洪兴股份,bottom_area,2024-02-01,14.33,2024-02-01,13.89,3.1677465802735743,6.839452843772492,28.586118251928017,False,-2.517,8.8805,3,3,3,100.0,15.317694245544681,21.88679245283018,6.832253419726427,3.1677465802735743,历史3/3次成功; 当前距低点3.17%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
17,79.32052538669801,74.95158579991539,603324,盛剑科技,bottom_area,2024-02-01,23.16,2024-02-01,22.7,2.0264317180616778,6.696035242290748,28.09629394995249,False,-1.0256,5.3856,1,1,1,100.0,24.90241998438719,24.90241998438719,7.973568281938323,2.0264317180616778,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
18,79.23168007055213,73.43330964651558,688311,盟升电子,bottom_area,2024-02-01,26.95,2024-02-01,26.68,1.011994002998499,6.034482758620688,27.499999999999996,False,-4.3987,4.1544,3,4,3,75.0,18.68632243737717,23.893805309734503,8.988005997001501,1.011994002998499,历史3/4次成功; 当前距低点1.01%; 最新日涨幅-4.40%; 状态bottom_area; 底部未确认
19,79.22973749802638,74.28024753474202,688029,南微医学,confirmed_rebound,2024-02-01,68.6,2024-02-01,67.51,1.6145756184268838,10.354021626425707,30.97137014314928,False,-6.8441,2.2324,2,2,2,100.0,20.007956692232852,23.296670482257504,8.385424381573117,1.6145756184268838,历史2/2次成功; 当前距低点1.61%; 最新日涨幅-6.84%; 状态confirmed_rebound; 底部未确认
20,78.79815730221858,74.54441468013646,603106,恒银科技,bottom_area,2024-02-01,5.38,2024-02-01,5.27,2.087286527514238,4.743833017077799,28.39673913043479,False,-0.3704,3.3531,3,4,3,75.0,27.625956789617884,34.60144927536232,7.9127134724857635,2.087286527514238,历史3/4次成功; 当前距低点2.09%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
21,78.72923462627449,77.850220700311,300661,圣邦股份,bottom_area,2024-02-01,62.97,2024-01-31,60.31,4.4105455148399875,8.73818603879953,32.6145251396648,True,1.3194,0.8036,2,2,2,100.0,21.377765990033247,31.832606108687024,5.5894544851600125,4.4105455148399875,历史2/2次成功; 当前距低点4.41%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
22,78.38177315939211,74.0766680978606,688282,理工导航,bottom_area,2024-02-01,21.56,2024-02-01,21.13,2.0350212967344996,7.146237576904882,28.27562797012899,False,-4.8544,8.2047,2,2,2,100.0,13.852240077501396,17.645625152327572,7.964978703265501,2.0350212967344996,历史2/2次成功; 当前距低点2.04%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
23,78.2851971948465,75.48356146209268,002384,东山精密,bottom_area,2024-02-01,12.69,2024-02-01,12.31,3.0869212022745653,3.7367993501218444,32.62178434592227,False,1.52,2.4368,1,1,1,100.0,18.28893442622951,18.28893442622951,6.913078797725436,3.0869212022745653,历史1/1次成功; 当前距低点3.09%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
24,78.23583321352041,74.26238459146771,603035,常熟汽饰,bottom_area,2024-02-01,13.55,2024-02-01,13.25,2.2641509433962317,4.075471698113201,30.664573521716378,False,-0.0737,1.1488,1,1,1,100.0,24.111014744145717,24.111014744145717,7.735849056603769,2.2641509433962317,历史1/1次成功; 当前距低点2.26%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
25,77.6903112517385,76.01071954564915,603259,药明康德,bottom_area,2024-02-01,55.8,2024-02-01,53.73,3.8525963149078732,5.974316024567282,28.721146192624037,False,2.952,2.2733,2,2,2,100.0,13.842145933543593,14.040390163483993,6.147403685092128,3.8525963149078732,历史2/2次成功; 当前距低点3.85%; 最新日涨幅2.95%; 状态bottom_area; 底部未确认
26,77.35286391082042,73.31619408106525,002571,德力股份,bottom_area,2024-02-01,5.14,2024-02-01,5.03,2.1868787276341837,7.554671968190853,27.62589928057554,False,-4.9908,3.644,1,1,1,100.0,28.291814946619215,28.291814946619215,7.813121272365817,2.1868787276341837,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
27,77.2947510367552,72.25461850269758,605389,长龄液压,bottom_area,2024-02-01,20.83,2024-02-01,20.53,1.4612761811982324,6.186069167072574,31.566666666666666,False,-6.8842,7.5478,1,1,1,100.0,13.68993653671804,13.68993653671804,8.538723818801769,1.4612761811982324,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-6.88%; 状态bottom_area; 底部未确认
28,76.19551088665739,76.1342111997011,300354,东华测试,confirmed_rebound,2024-02-01,37.26,2024-02-01,35.5,4.957746478873234,10.366197183098592,30.83966491330606,False,1.8311,3.5602,2,2,2,100.0,38.26813533081753,39.34343434343434,5.042253521126767,4.957746478873234,历史2/2次成功; 当前距低点4.96%; 最新日涨幅1.83%; 状态confirmed_rebound; 底部未确认
