rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.37234240363188,82.33480480585804,688206,概伦电子,bottom_area,2023-05-15,26.99,2023-05-15,26.33,2.506646410938094,2.506646410938094,28.6449864498645,False,0.9727,1.2235,2,2,2,100.0,31.34386356342422,39.570720968629594,17.493353589061908,2.506646410938094,历史2/2次成功; 当前距低点2.51%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
2,93.11127578823704,79.99972369848528,688289,圣湘生物,bottom_area,2023-05-15,18.28,2023-04-26,17.98,1.668520578420471,12.45828698553948,27.058823529411757,False,0.883,0.5748,1,1,1,100.0,25.182530200451346,25.182530200451346,18.33147942157953,1.668520578420471,历史1/1次成功; 当前距低点1.67%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
3,91.89571670474876,80.61401380428421,688181,八亿时空,bottom_area,2023-05-15,34.07,2023-05-15,33.14,2.8062764031382006,2.95715147857573,29.157759726378796,False,1.6408,0.6164,2,2,2,100.0,25.76518281418983,28.477257745550418,17.1937235968618,2.8062764031382006,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
4,90.55899218124492,78.5457148054941,600199,金种子酒,bottom_area,2023-05-15,22.91,2023-05-15,22.42,2.1855486173059697,2.497769848349682,28.78017789072426,False,0.1749,1.4706,1,1,1,100.0,23.70304114490161,23.70304114490161,17.81445138269403,2.1855486173059697,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
5,90.15625450248892,78.91543446167965,300661,圣邦股份,bottom_area,2023-05-15,122.31,2023-05-15,119.11,2.686592225673749,2.778943833431284,30.475134251692737,False,0.9075,0.4982,1,1,1,100.0,31.832606108687024,31.832606108687024,17.31340777432625,2.686592225673749,历史1/1次成功; 当前距低点2.69%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
6,89.27535828805881,77.7864183937824,688328,深科达,bottom_area,2023-05-15,19.77,2023-05-15,19.3,2.4352331606217557,2.4352331606217557,30.04711852120333,False,1.1253,1.1315,1,1,1,100.0,22.681451612903224,22.681451612903224,17.564766839378247,2.4352331606217557,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
7,87.06682981088753,76.90964194373403,000629,钒钛股份,bottom_area,2023-05-15,4.21,2023-04-25,4.08,3.1862745098039187,9.803921568627459,31.08108108108108,False,1.6908,0.6247,1,1,1,100.0,27.173913043478265,27.173913043478265,16.81372549019608,3.1862745098039187,历史1/1次成功; 当前距低点3.19%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
8,85.37631973567855,76.72585562149082,688075,安旭生物,bottom_area,2023-05-15,67.32,2023-05-10,64.65,4.129930394431535,4.94972931167825,30.37906525953047,False,0.8086,1.3848,4,5,4,80.0,31.086542584917854,40.134529147982065,15.870069605568466,4.129930394431535,历史4/5次成功; 当前距低点4.13%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
9,83.5791494189684,73.15833944052196,002385,大北农,bottom_area,2023-05-15,6.88,2023-05-15,6.7,2.6865671641791002,2.9850746268656745,32.25480283114257,False,-0.2899,1.6223,1,1,1,100.0,23.353293413173663,23.353293413173663,17.3134328358209,2.6865671641791002,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
10,83.385167827421,72.06199383724095,002690,美亚光电,bottom_area,2023-05-15,24.12,2023-05-15,23.65,1.9873150105708348,2.0718816067653365,28.765060240963862,False,1.1745,0.6025,2,3,2,66.66666666666666,25.30325481008482,27.355278093076052,18.012684989429168,1.9873150105708348,历史2/3次成功; 当前距低点1.99%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
11,81.57228207598325,74.21852041971766,300762,上海瀚讯,bottom_area,2023-05-15,11.99,2023-05-10,11.44,4.807692307692315,4.807692307692315,27.50316856780735,False,3.5406,1.3076,1,1,1,100.0,32.580961727183514,32.580961727183514,15.192307692307686,4.807692307692315,历史1/1次成功; 当前距低点4.81%; 最新日涨幅3.54%; 状态bottom_area; 底部未确认
12,72.21763899849437,63.401773368243376,688010,福光股份,bottom_area,2023-05-15,23.1,2023-05-15,22.46,2.849510240427429,3.7399821905609967,32.47143716175586,False,0.304,0.9043,1,2,1,50.0,42.08955223880597,42.08955223880597,17.150489759572572,2.849510240427429,历史1/2次成功; 当前距低点2.85%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
13,71.88773512091468,62.08781215679362,600203,福日电子,bottom_area,2023-05-15,5.74,2023-05-15,5.63,1.9538188277087092,2.131438721136769,28.824273072060684,False,0.3497,1.0997,1,2,1,50.0,24.045801526717554,24.045801526717554,18.04618117229129,1.9538188277087092,历史1/2次成功; 当前距低点1.95%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
