rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.55501326665099,89.89042885061885,603222,济民健康,bottom_area,2023-07-11,9.62,2023-07-10,9.49,1.3698630136986196,4.636459430979974,27.112135176651304,False,0.1041,1.4449,7,7,7,100.0,24.697400655116585,68.46504559270518,6.6301369863013795,1.3698630136986196,历史7/7次成功; 当前距低点1.37%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
2,90.25501166327373,85.28091284102986,605266,健之佳,bottom_area,2023-07-11,59.5,2023-07-10,58.88,1.0529891304347783,4.330842391304343,32.50028659864726,False,-0.7837,0.5634,4,4,4,100.0,18.503914292586888,33.154615273148806,6.947010869565222,1.0529891304347783,历史4/4次成功; 当前距低点1.05%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
3,87.92802330567423,84.67426061536119,688258,卓易信息,bottom_area,2023-07-11,62.04,2023-07-07,60.8,2.0394736842105297,7.828947368421062,29.654055304871,False,0.1938,1.6097,3,3,3,100.0,21.528282878285978,27.716894977168955,5.96052631578947,2.0394736842105297,历史3/3次成功; 当前距低点2.04%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
4,84.6450062897903,82.14462819701579,688156,路德科技,bottom_area,2023-07-11,26.44,2023-07-11,25.81,2.4409143742735475,3.370786516853937,28.285634898582945,False,0.5323,1.2589,2,2,2,100.0,29.515661130964897,44.22535211267606,5.5590856257264525,2.4409143742735475,历史2/2次成功; 当前距低点2.44%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
5,83.01748035687795,81.49476635514019,002535,林州重机,bottom_area,2023-07-11,4.41,2023-07-10,4.28,3.037383177570091,5.140186915887844,30.179445350734092,False,3.0374,14.966,1,1,1,100.0,54.03225806451613,54.03225806451613,4.962616822429909,3.037383177570091,历史1/1次成功; 当前距低点3.04%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
6,81.83535368074314,79.83936944462747,688195,腾景科技,bottom_area,2023-07-11,41.6,2023-07-11,40.5,2.716049382716053,5.753086419753082,29.626411815812332,False,-4.2798,10.9371,7,7,7,100.0,19.849258264623995,38.77410468319559,5.283950617283947,2.716049382716053,历史7/7次成功; 当前距低点2.72%; 最新日涨幅-4.28%; 状态bottom_area; 底部未确认
7,81.41989515415796,77.55346170122723,002507,涪陵榨菜,bottom_area,2023-07-11,17.94,2023-06-26,17.68,1.4705882352941264,4.8076923076923155,28.967456809963842,False,0.3917,0.3547,1,1,1,100.0,9.604316546762583,9.604316546762583,6.529411764705874,1.4705882352941264,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
8,81.21974085084064,79.24645172187216,603178,圣龙股份,bottom_area,2023-07-11,12.08,2023-07-11,11.76,2.721088435374152,3.7414965986394515,28.11735941320293,False,1.6835,6.4675,2,2,2,100.0,17.36845889529691,21.994535519125673,5.278911564625849,2.721088435374152,历史2/2次成功; 当前距低点2.72%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
9,80.73814216125012,78.15531198635128,002825,纳尔股份,bottom_area,2023-07-11,8.86,2023-07-07,8.66,2.3094688221708926,2.3094688221708926,32.55451713395638,False,1.0262,0.9546,1,1,1,100.0,23.123123123123136,23.123123123123136,5.690531177829108,2.3094688221708926,历史1/1次成功; 当前距低点2.31%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
10,79.93376826353297,78.78338289307307,688236,春立医疗,bottom_area,2023-07-11,24.49,2023-06-28,23.72,3.2462057335581775,7.082630691399662,32.228571428571435,True,2.5544,1.7335,1,1,1,100.0,28.788881535407025,28.788881535407025,4.7537942664418225,3.2462057335581775,历史1/1次成功; 当前距低点3.25%; 最新日涨幅2.55%; 状态bottom_area; 底部已确认
11,77.74502769110674,75.69032245602223,688085,三友医疗,bottom_area,2023-07-11,25.58,2023-06-26,24.93,2.6073004412354535,6.498194945848379,29.25652667423383,False,0.8675,0.2668,1,1,1,100.0,13.52133044107013,13.52133044107013,5.392699558764546,2.6073004412354535,历史1/1次成功; 当前距低点2.61%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
