rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.95067440006643,80.97337948981934,600009,上海机场,bottom_area,2023-05-30,46.7,2023-05-30,45.85,1.8538713195201777,3.1188658669574694,28.224796493425174,False,-0.8703,0.6338,3,3,3,100.0,21.829065044759854,27.704918032786885,13.146128680479821,1.8538713195201777,历史3/3次成功; 当前距低点1.85%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
2,89.18904940162611,79.37109790303523,600955,维远股份,bottom_area,2023-05-30,18.8,2023-05-30,18.57,1.2385568120624686,2.5309639203015553,27.119309262166407,False,-0.9484,0.4191,2,2,2,100.0,22.33874964805201,25.969084423305596,13.76144318793753,1.2385568120624686,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
3,89.05712862334566,79.7606681182678,001332,锡装股份,bottom_area,2023-05-30,43.07,2023-05-24,42.4,1.5801886792452873,6.556603773584908,32.290003193867776,False,-2.5124,1.9925,2,2,2,100.0,28.620958639500337,31.086142322097377,13.419811320754713,1.5801886792452873,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
4,86.9968980531101,78.80844499930642,688289,圣湘生物,bottom_area,2023-05-30,18.19,2023-05-29,17.8,2.1910112359550595,2.2471910112359472,27.789046653144013,False,1.6201,0.7751,1,1,1,100.0,25.182530200451346,25.182530200451346,12.80898876404494,2.1910112359550595,历史1/1次成功; 当前距低点2.19%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
5,84.716914149878,77.09881677778714,002251,步步高,bottom_area,2023-05-30,4.62,2023-05-30,4.51,2.43902439024391,2.43902439024391,30.07751937984497,False,0.6536,1.9309,1,1,1,100.0,19.0311418685121,19.0311418685121,12.56097560975609,2.43902439024391,历史1/1次成功; 当前距低点2.44%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
6,84.64282715916846,75.61948984903695,002041,登海种业,bottom_area,2023-05-30,15.42,2023-05-30,15.2,1.4473684210526359,3.4210526315789567,28.30188679245283,False,-1.9708,0.4652,1,1,1,100.0,21.395106715252467,21.395106715252467,13.552631578947363,1.4473684210526359,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
7,84.46941572989773,75.31139595732789,001201,东瑞股份,bottom_area,2023-05-30,23.47,2023-05-30,23.16,1.3385146804835868,2.0293609671847963,31.842260153031187,False,-0.382,0.7481,1,1,1,100.0,18.4043517679057,18.4043517679057,13.661485319516412,1.3385146804835868,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
8,84.09122001361106,76.42426692014584,300363,博腾股份,bottom_area,2023-05-30,31.16,2023-05-30,30.44,2.36530880420499,3.777923784494082,27.01989930472309,False,-1.0165,1.3629,1,1,1,100.0,36.97403760071621,36.97403760071621,12.634691195795009,2.36530880420499,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
9,83.80237121175615,76.46026615617377,603077,和邦生物,bottom_area,2023-05-30,2.39,2023-05-30,2.33,2.5751072961373414,2.5751072961373414,29.819277108433727,False,0.4202,0.7718,1,1,1,100.0,17.26618705035971,17.26618705035971,12.424892703862659,2.5751072961373414,历史1/1次成功; 当前距低点2.58%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
10,82.49748385061561,77.5058869179601,000890,法尔胜,bottom_area,2023-05-30,4.27,2023-05-19,4.1,4.146341463414633,7.56097560975611,27.689594356261026,True,1.1848,1.5964,1,1,1,100.0,32.954545454545446,32.954545454545446,10.853658536585366,4.146341463414633,历史1/1次成功; 当前距低点4.15%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
11,82.4827060916815,76.80942951062677,300762,上海瀚讯,bottom_area,2023-05-30,11.86,2023-05-10,11.44,3.6713286713286704,6.206293706293714,27.50316856780735,False,1.1083,1.1836,1,1,1,100.0,32.580961727183514,32.580961727183514,11.328671328671328,3.6713286713286704,历史1/1次成功; 当前距低点3.67%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
12,82.2996815677761,76.1249971528133,688075,安旭生物,bottom_area,2023-05-30,66.79,2023-05-10,64.65,3.310131477184842,7.6566125290023015,30.37906525953047,True,-0.2092,1.3052,4,5,4,80.0,31.086542584917854,40.134529147982065,11.689868522815159,3.310131477184842,历史4/5次成功; 当前距低点3.31%; 最新日涨幅-0.21%; 状态bottom_area; 底部已确认
13,81.35866254438633,73.41167097741388,600160,巨化股份,bottom_area,2023-05-30,13.39,2023-05-30,13.13,1.9801980198019784,3.0464584920030355,31.076115485564305,False,-0.8148,0.6556,1,1,1,100.0,16.05657237936772,16.05657237936772,13.01980198019802,1.9801980198019784,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
14,81.17504213474224,73.57061717117111,002481,双塔食品,bottom_area,2023-05-30,4.61,2023-05-30,4.51,2.2172949002217415,3.5476718403547705,27.25806451612904,False,-0.8602,0.9789,1,1,1,100.0,19.817470664928287,19.817470664928287,12.782705099778259,2.2172949002217415,历史1/1次成功; 当前距低点2.22%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
15,80.40410935134375,70.98398293029874,600935,华塑股份,bottom_area,2023-05-30,3.73,2023-05-30,3.7,0.8108108108108055,1.8918918918918874,27.59295499021526,False,-0.7979,0.3269,1,1,1,100.0,28.50877192982458,28.50877192982458,14.189189189189195,0.8108108108108055,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
16,80.40326859132225,74.97555931722127,600256,广汇能源,bottom_area,2023-05-30,7.48,2023-05-29,7.21,3.744798890429965,5.547850208044388,29.10521140609636,False,0.9447,1.4674,1,1,1,100.0,23.62204724409449,23.62204724409449,11.255201109570034,3.744798890429965,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
