rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.49233266977701,87.46872250897299,688206,概伦电子,bottom_area,2025-04-25,21.06,2025-04-25,20.6,2.2330097087378507,2.9126213592232904,27.43923916872138,False,0.2857,1.8487,4,4,4,100.0,22.257981961802596,39.570720968629594,5.766990291262149,2.2330097087378507,历史4/4次成功; 当前距低点2.23%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
2,88.80456364434373,86.49933601879474,300757,罗博特科,bottom_area,2025-04-25,129.83,2025-04-25,126.5,2.632411067193686,4.3478260869565215,30.65833470372198,False,1.5884,4.2213,7,7,7,100.0,21.942114258044786,74.11052233156698,5.3675889328063136,2.632411067193686,历史7/7次成功; 当前距低点2.63%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
3,84.45311164462912,79.49293207482613,603169,兰石重装,bottom_area,2025-04-25,7.09,2025-04-25,7.03,0.8534850640113741,2.560455192034135,28.26530612244898,False,-1.8006,5.7915,4,4,4,100.0,24.778914090172343,49.872122762148344,7.146514935988627,0.8534850640113741,历史4/4次成功; 当前距低点0.85%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
4,84.30022397991588,79.68492713843698,600371,万向德农,bottom_area,2025-04-25,9.42,2025-04-24,9.32,1.072961373390554,3.433476394849788,27.187500000000004,False,-0.106,3.7536,1,1,1,100.0,38.66279069767441,38.66279069767441,6.927038626609446,1.072961373390554,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
5,83.64319447257975,80.16090395480224,301058,中粮科工,bottom_area,2025-04-25,10.81,2025-04-24,10.62,1.7890772128060384,3.1073446327683625,28.629032258064523,False,-0.3687,2.2913,1,1,1,100.0,57.794273594909875,57.794273594909875,6.210922787193962,1.7890772128060384,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
6,81.95445230031213,79.44600203645594,600610,中毅达,confirmed_rebound,2025-04-25,9.02,2025-04-24,8.81,2.3836549375709315,17.366628830874,28.836833602584814,True,-6.0417,16.7245,2,2,2,100.0,48.01470588235294,76.0294117647059,5.616345062429069,2.3836549375709315,历史2/2次成功; 当前距低点2.38%; 最新日涨幅-6.04%; 状态confirmed_rebound; 底部已确认
7,80.62250624142175,76.80337929823553,603255,鼎际得,bottom_area,2025-04-25,23.36,2025-04-25,23.02,1.4769765421372714,3.1711555169417918,29.473039215686274,False,-1.7662,4.3004,2,2,2,100.0,11.456375345744673,12.757367783609205,6.523023457862728,1.4769765421372714,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
8,80.06448511392797,76.35577599420924,300721,怡达股份,bottom_area,2025-04-25,14.56,2025-04-24,14.34,1.5341701534170198,6.7642956764295725,31.321839080459768,False,-3.3842,12.8605,7,8,7,87.5,13.71604270967764,22.270742358078603,6.465829846582981,1.5341701534170198,历史7/8次成功; 当前距低点1.53%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
9,77.31732471021196,71.59011547241847,600696,退市岩石,bottom_area,2025-04-25,6.94,2025-04-25,6.94,0.0,0.0,27.024185068349098,False,-5.0616,0.033,2,2,2,100.0,27.635029421604703,46.45858343337334,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
10,76.12510207428619,74.66282598039629,000668,荣丰控股,bottom_area,2025-04-25,4.82,2025-04-24,4.68,2.991452991453004,7.6923076923077,28.110599078341014,False,-0.6186,6.2689,2,2,2,100.0,18.512574198436226,20.604914933837428,5.008547008546996,2.991452991453004,历史2/2次成功; 当前距低点2.99%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
11,74.01108330649585,68.76741317067099,600249,两面针,bottom_area,2025-04-25,5.55,2025-04-25,5.54,0.18050541516245103,5.234657039711192,30.576441102756895,False,-6.7227,11.5649,1,1,1,100.0,19.080459770114945,19.080459770114945,7.81949458483755,0.18050541516245103,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-6.72%; 状态bottom_area; 底部未确认
12,70.48327295890473,66.23859560771636,000736,中交地产,bottom_area,2025-04-25,3.92,2025-04-25,3.89,0.7712082262210747,3.856041131105396,28.754578754578752,False,-4.1565,5.3814,3,4,3,75.0,16.892206255378625,19.029126213592225,7.228791773778926,0.7712082262210747,历史3/4次成功; 当前距低点0.77%; 最新日涨幅-4.16%; 状态bottom_area; 底部未确认
