rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.1262531667912,81.26592451095611,688010,福光股份,bottom_area,2025-05-23,31.81,2025-05-23,31.75,0.18897637795275188,3.181102362204718,28.907299596954765,False,-2.4233,1.5393,4,4,4,100.0,26.1655411434859,42.08955223880597,14.811023622047248,0.18897637795275188,历史4/4次成功; 当前距低点0.19%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
2,91.7817880539499,81.57333333333332,000565,渝三峡A,bottom_area,2025-05-23,10.38,2025-05-23,10.26,1.1695906432748635,6.725146198830405,30.39348710990502,False,-2.2599,15.5883,1,1,1,100.0,57.568807339449535,57.568807339449535,13.830409356725138,1.1695906432748635,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
3,90.93451704545448,81.80454545454543,301058,中粮科工,bottom_area,2025-05-23,10.64,2025-04-30,10.45,1.8181818181818306,8.038277511961722,29.77150537634409,True,-1.845,1.6656,1,1,1,100.0,57.794273594909875,57.794273594909875,13.18181818181817,1.8181818181818306,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
4,89.84775563499535,80.96934731059015,688280,精进电动,bottom_area,2025-05-23,7.46,2025-05-21,7.32,1.9125683060109244,7.923497267759563,27.236580516898606,False,-0.2674,4.1464,3,3,3,100.0,22.526898109113223,32.37518910741301,13.087431693989075,1.9125683060109244,历史3/3次成功; 当前距低点1.91%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
5,83.69734102174009,73.41221644534164,002304,洋河股份,bottom_area,2025-05-23,67.33,2025-04-29,67.02,0.46254849298717143,5.147717099373326,29.452631578947376,False,-0.6199,0.2986,2,2,2,100.0,20.62810220081931,20.781426953567394,14.537451507012827,0.46254849298717143,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
6,82.49640978819623,71.73600851147499,002041,登海种业,bottom_area,2025-05-23,9.81,2025-05-23,9.81,0.0,2.4464831804281366,27.654867256637168,False,-1.8018,1.207,2,2,2,100.0,18.2043468358871,21.395106715252467,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
7,81.5443553527214,75.95055390397019,301038,深水规院,bottom_area,2025-05-23,14.08,2025-05-19,13.58,3.6818851251840945,8.983799705449194,27.379679144385022,True,0.7153,3.2414,1,1,1,100.0,18.89920424403183,18.89920424403183,11.318114874815905,3.6818851251840945,历史1/1次成功; 当前距低点3.68%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
8,80.9039761263718,72.25720728534257,002813,路畅科技,bottom_area,2025-05-23,23.39,2025-05-23,23.06,1.4310494362532604,8.36947094535993,28.385093167701875,False,-6.1773,11.7303,3,5,3,60.0,53.266653128562695,85.16388729154689,13.56895056374674,1.4310494362532604,历史3/5次成功; 当前距低点1.43%; 最新日涨幅-6.18%; 状态bottom_area; 底部未确认
9,80.15590095015739,69.70078343491947,002819,东方中科,bottom_area,2025-05-23,29.5,2025-05-23,29.5,0.0,8.101694915254239,27.62512266928361,False,-6.5864,11.9481,4,5,4,80.0,27.47733029526597,51.677148846960186,15.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-6.59%; 状态bottom_area; 底部未确认
10,79.06559450695593,75.13792998501212,603221,爱丽家居,bottom_area,2025-05-23,10.78,2025-04-24,10.29,4.7619047619047645,8.64917395529641,29.761092150170654,True,-1.5525,2.576,3,3,3,100.0,16.908993775026747,17.92336217552533,10.238095238095235,4.7619047619047645,历史3/3次成功; 当前距低点4.76%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
11,64.47876296153694,58.5300896975488,300727,润禾材料,bottom_area,2025-05-23,28.45,2025-05-23,27.81,2.3013304566702644,6.076950737144917,30.82089552238807,False,0.815,2.1881,2,7,2,28.57142857142857,22.273319486404827,26.812499999999993,12.698669543329736,2.3013304566702644,历史2/7次成功; 当前距低点2.30%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
12,63.04513424756432,58.558695449517764,001299,美能能源,bottom_area,2025-05-23,10.84,2025-04-29,10.47,3.5339063992359048,7.163323782234957,31.11842105263157,True,0.3704,6.0595,1,2,1,50.0,15.247322794492616,15.247322794492616,11.466093600764095,3.5339063992359048,历史1/2次成功; 当前距低点3.53%; 最新日涨幅0.37%; 状态bottom_area; 底部已确认
13,53.14459126079874,46.7678341867624,601022,宁波远洋,bottom_area,2025-05-23,9.45,2025-05-23,9.39,0.6389776357827339,4.259850905218302,29.977628635346754,False,-4.6418,23.618,1,3,1,33.33333333333333,17.53424657534247,17.53424657534247,14.361022364217266,0.6389776357827339,历史1/3次成功; 当前距低点0.64%; 最新日涨幅-4.64%; 状态bottom_area; 底部未确认
