rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.31495719450352,83.83849633641455,000065,北方国际,bottom_area,2024-07-10,9.66,2024-07-09,9.54,1.2578616352201362,3.4591194968553474,28.000000000000007,False,-1.5291,0.5471,3,3,3,100.0,29.926993896325044,41.48061104582843,18.742138364779866,1.2578616352201362,历史3/3次成功; 当前距低点1.26%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
2,95.92962369975187,81.68264988295704,000789,万年青,bottom_area,2024-07-10,4.3,2024-07-09,4.25,1.17647058823529,3.9999999999999982,29.752066115702476,False,-1.3761,0.4255,2,2,2,100.0,34.00539152759949,47.599999999999994,18.82352941176471,1.17647058823529,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
3,95.32610333261081,81.78530202365145,600155,华创云信,bottom_area,2024-07-10,5.75,2024-07-08,5.66,1.5901060070671353,4.41696113074205,27.806122448979586,False,-1.5411,0.7324,2,2,2,100.0,39.627654407336166,46.19883040935671,18.409893992932865,1.5901060070671353,历史2/2次成功; 当前距低点1.59%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
4,93.2482718720544,80.75499856469304,600973,宝胜股份,bottom_area,2024-07-10,3.4,2024-07-09,3.33,2.1021021021020974,4.504504504504501,28.077753779697623,False,-2.0173,0.6996,2,2,2,100.0,40.36446966390223,46.551724137931025,17.897897897897906,2.1021021021020974,历史2/2次成功; 当前距低点2.10%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
5,92.99774804849004,79.9619365445832,603218,日月股份,bottom_area,2024-07-10,9.52,2024-07-05,9.36,1.7094017094017109,5.982905982905988,27.216174183514774,False,-1.8557,0.717,1,1,1,100.0,47.95361527967258,47.95361527967258,18.29059829059829,1.7094017094017109,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
6,92.7500963805733,79.88933096000027,605567,春雪食品,bottom_area,2024-07-10,7.33,2024-07-09,7.2,1.805555555555554,3.333333333333336,29.961089494163417,False,-0.8119,0.8138,2,2,2,100.0,32.07525605734906,36.46616541353383,18.194444444444446,1.805555555555554,历史2/2次成功; 当前距低点1.81%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
7,90.26322492379454,78.07828106121151,001218,丽臣实业,bottom_area,2024-07-10,14.52,2024-07-09,14.23,2.037947997189031,4.146170063246661,28.131313131313128,False,-1.8256,0.7729,2,2,2,100.0,25.18711018711019,29.999999999999993,17.962052002810967,2.037947997189031,历史2/2次成功; 当前距低点2.04%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
8,89.97572644528307,76.46892407459576,600389,江山股份,bottom_area,2024-07-10,13.18,2024-07-09,13.04,1.073619631901845,5.061349693251535,28.74316939890711,False,-2.1529,0.946,1,1,1,100.0,21.380520620064356,21.380520620064356,18.926380368098155,1.073619631901845,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
9,89.8060013217397,78.47401377325521,002399,海普瑞,bottom_area,2024-07-10,8.31,2024-07-09,8.1,2.592592592592603,3.7037037037037126,27.549194991055458,False,0.4837,0.2104,1,1,1,100.0,28.307123034227555,28.307123034227555,17.407407407407398,2.592592592592603,历史1/1次成功; 当前距低点2.59%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
10,88.09793490366286,78.23622577265583,002639,雪人集团,bottom_area,2024-07-10,4.76,2024-07-09,4.6,3.478260869565221,5.652173913043494,28.348909657320874,False,-1.4493,0.7515,2,2,2,100.0,43.69172341540074,63.25301204819277,16.52173913043478,3.478260869565221,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
11,87.71473106203615,77.79555171756579,603282,亚光股份,bottom_area,2024-07-10,15.78,2024-07-09,15.26,3.407601572739185,4.652686762778512,27.848699763593377,False,0.0,0.4687,1,1,1,100.0,34.64991023339317,34.64991023339317,16.592398427260814,3.407601572739185,历史1/1次成功; 当前距低点3.41%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,87.39061295981794,78.30866166600867,605099,共创草坪,bottom_area,2024-07-10,18.59,2024-07-09,17.88,3.9709172259507883,4.865771812080543,28.96305125148988,False,0.9229,0.1398,1,1,1,100.0,44.31372549019606,44.31372549019606,16.029082774049215,3.9709172259507883,历史1/1次成功; 当前距低点3.97%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
13,86.90931829845678,76.84847880299253,002687,乔治白,bottom_area,2024-07-10,4.14,2024-07-09,4.01,3.2418952618453836,5.73566084788031,31.45299145299145,False,-0.241,1.2141,1,1,1,100.0,64.00000000000001,64.00000000000001,16.758104738154618,3.2418952618453836,历史1/1次成功; 当前距低点3.24%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
14,86.70374840781966,76.17426093514328,603063,禾望电气,bottom_area,2024-07-10,13.89,2024-07-09,13.5,2.8888888888888933,5.925925925925931,28.4957627118644,False,-0.5014,1.2386,2,2,2,100.0,25.38133119252664,28.846153846153843,17.111111111111107,2.8888888888888933,历史2/2次成功; 当前距低点2.89%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
15,86.64594602871134,74.92246655048754,002367,康力电梯,bottom_area,2024-07-10,5.56,2024-07-09,5.45,2.0183486238532002,4.036697247706417,29.036458333333325,False,-1.4184,0.7254,1,1,1,100.0,24.646781789638936,24.646781789638936,17.9816513761468,2.0183486238532002,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
