rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,81.53069870328434,76.01367346938774,605133,嵘泰股份,bottom_area,2023-04-21,28.03,2023-04-21,27.93,0.3580379520229195,3.1865377730039404,27.151799687010964,False,-1.993,4.7567,1,1,1,100.0,60.01483679525222,60.01483679525222,7.64196204797708,0.3580379520229195,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
13,81.45771906168092,75.89532612743774,000980,众泰汽车,bottom_area,2023-04-21,3.1,2023-04-21,3.09,0.32362459546926314,4.2071197411003345,27.803738317757016,False,-3.4268,1.6031,3,3,3,100.0,25.823603253266942,43.49775784753364,7.676375404530737,0.32362459546926314,历史3/3次成功; 当前距低点0.32%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
14,81.41720796122496,75.57484194169112,002843,泰嘉股份,bottom_area,2023-04-21,15.44,2023-04-21,15.42,0.12970168612191682,3.7613488975356684,28.478664192949903,False,-2.6482,1.0575,2,2,2,100.0,28.175063365855337,31.56626506024095,7.8702983138780835,0.12970168612191682,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
15,81.24899473255213,76.00195588120171,300658,延江股份,bottom_area,2023-04-21,7.59,2023-04-21,7.55,0.5298013245033117,3.0463576158940455,27.193828351012534,False,-2.0645,1.4223,3,3,3,100.0,18.70915538209279,26.72018348623853,7.470198675496688,0.5298013245033117,历史3/3次成功; 当前距低点0.53%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
16,80.51400000000002,74.55000000000001,600172,黄河旋风,bottom_area,2023-04-21,4.79,2023-04-21,4.79,0.0,3.757828810020871,30.174927113702626,False,-2.6423,2.0309,1,1,1,100.0,51.074589127686465,51.074589127686465,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
17,80.18147694642954,75.96674068522937,300758,七彩化学,confirmed_rebound,2023-04-21,10.18,2023-04-20,10.06,1.1928429423459166,9.343936381709735,27.364620938628153,False,-3.2319,1.9242,2,2,2,100.0,23.905497816011056,38.59480269489894,6.807157057654084,1.1928429423459166,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-3.23%; 状态confirmed_rebound; 底部未确认
18,78.83683287012673,73.28899960143485,000935,四川双马,bottom_area,2023-04-21,19.34,2023-04-21,19.3,0.20725388601035827,3.8860103626943006,28.306092124814263,False,-3.7811,0.6305,1,1,1,100.0,43.71794871794874,43.71794871794874,7.792746113989642,0.20725388601035827,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
19,78.2590136313001,72.4620496586112,300763,锦浪科技,bottom_area,2023-04-21,119.18,2023-04-21,119.18,0.0,4.178553448565187,32.51033467353757,False,-2.3515,2.0172,2,2,2,100.0,22.10779386350115,35.693617021276594,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
20,78.14228563680739,72.35396818222905,002350,北京科锐,bottom_area,2023-04-21,6.98,2023-04-21,6.98,0.0,3.2951289398280736,29.208924949290054,False,-2.6499,1.7879,2,2,2,100.0,21.526710657145447,23.07692307692308,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
21,77.82541891162676,72.06057306632107,600966,博汇纸业,bottom_area,2023-04-21,6.44,2023-04-21,6.44,0.0,7.763975155279502,27.395715896279583,False,-9.9301,1.6469,3,3,3,100.0,13.49770465764015,15.231788079470201,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.93%; 状态bottom_area; 底部未确认
22,77.72925469849335,72.77824003806231,000059,华锦股份,bottom_area,2023-04-21,6.95,2023-04-17,6.91,0.5788712011577429,6.367583212735159,27.71966527196653,False,-1.5581,1.1548,2,2,2,100.0,18.645518154311638,25.41603630862328,7.421128798842257,0.5788712011577429,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
23,77.21019478167722,72.11372690699456,002706,良信股份,bottom_area,2023-04-21,11.15,2023-04-21,11.1,0.45045045045045684,3.2432432432432545,27.49836708033965,False,-0.3575,0.8638,2,2,2,100.0,13.49867706463227,14.727153188691638,7.5495495495495435,0.45045045045045684,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
24,77.20480307753482,72.25048416346843,002397,梦洁股份,bottom_area,2023-04-21,3.64,2023-04-21,3.62,0.5524861878453043,4.419889502762422,32.83858998144712,False,-3.7037,2.6765,1,1,1,100.0,42.36641221374045,42.36641221374045,7.447513812154696,0.5524861878453043,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
25,77.16264790325037,71.7913526775128,002810,山东赫达,bottom_area,2023-04-21,20.07,2023-04-21,20.02,0.2497502497502533,3.2967032967032974,30.486111111111114,False,-0.4958,1.2947,2,2,2,100.0,9.305286273889134,10.118110236220474,7.750249750249746,0.2497502497502533,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
26,77.11895012652813,71.6336654043643,688168,安博通,confirmed_rebound,2023-04-21,42.5,2023-04-21,42.43,0.16497761018147603,8.649540419514498,27.5567696773092,False,-7.8291,3.8069,3,3,3,100.0,11.181797610634721,12.015306122448962,7.8350223898185245,0.16497761018147603,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-7.83%; 状态confirmed_rebound; 底部未确认
27,76.99376728465731,73.44832928784733,002188,中天服务,bottom_area,2023-04-21,5.9,2023-04-21,5.81,1.5490533562822848,5.851979345955263,31.56654888103652,False,-2.8007,2.4535,1,1,1,100.0,10.968660968660975,10.968660968660975,6.450946643717716,1.5490533562822848,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
28,76.5106708361649,71.22964477824016,002385,大北农,bottom_area,2023-04-21,7.1,2023-04-21,7.08,0.28248587570620864,2.25988700564972,28.41253791708797,False,-0.6993,0.9571,1,1,1,100.0,23.353293413173663,23.353293413173663,7.717514124293791,0.28248587570620864,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
29,76.03614973619699,70.40384234833054,300665,飞鹿股份,bottom_area,2023-04-21,7.28,2023-04-21,7.28,0.0,3.983516483516484,29.457364341085267,False,-4.2105,2.0745,2,2,2,100.0,21.25721692650826,22.6044226044226,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
30,75.8096570120153,70.72972401585677,603051,鹿山新材,bottom_area,2023-04-21,45.78,2023-04-21,45.6,0.39473684210526255,5.263157894736839,31.940298507462682,False,-3.029,3.4036,2,2,2,100.0,15.58991406374611,18.738110336081178,7.605263157894737,0.39473684210526255,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
31,75.67331162433625,70.06788113364468,603335,迪生力,bottom_area,2023-04-21,5.16,2023-04-21,5.16,0.0,3.48837209302325,27.932960893854748,False,-2.0873,0.9172,2,2,2,100.0,9.235920073358502,9.27643784786642,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
32,75.38260226851158,70.5905418302837,300530,领湃科技,bottom_area,2023-04-21,22.32,2023-04-21,22.19,0.5858494817485308,3.3348355114916557,30.764430577223077,False,-1.3699,0.2321,3,4,3,75.0,27.802573379948058,34.07510431154381,7.4141505182514695,0.5858494817485308,历史3/4次成功; 当前距低点0.59%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
33,75.2880919442762,69.71119624470019,000887,中鼎股份,bottom_area,2023-04-21,11.35,2023-04-21,11.35,0.0,4.405286343612335,32.998819362455734,False,-3.8136,1.4607,2,2,2,100.0,17.53331314354936,23.84615384615385,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.81%; 状态bottom_area; 底部未确认
34,75.13348982091026,72.95366933944256,002146,荣盛发展,bottom_area,2023-04-21,1.66,2023-04-21,1.62,2.469135802469124,5.5555555555555465,28.318584070796447,False,-0.5988,1.3032,1,1,1,100.0,19.587628865979376,19.587628865979376,5.530864197530875,2.469135802469124,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
35,74.96519065326635,69.4122135678392,002806,华锋股份,bottom_area,2023-04-21,10.6,2023-04-21,10.6,0.0,4.339622641509442,29.708222811671092,False,-3.6364,2.4377,2,2,2,100.0,15.925879396984929,20.35175879396985,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.64%; 状态bottom_area; 底部未确认
36,74.5418881317101,69.17268067297852,000799,酒鬼酒,bottom_area,2023-04-21,113.63,2023-04-21,113.5,0.1145374449339167,2.643171806167401,32.70484999407091,False,-1.3029,1.5657,1,1,1,100.0,10.235623910902333,10.235623910902333,7.885462555066083,0.1145374449339167,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
