rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.3056239739032,86.00907489220589,002819,东方中科,bottom_area,2025-01-06,24.23,2025-01-06,23.88,1.4656616415410444,3.6850921273031934,28.072289156626518,False,-1.2632,1.6314,4,4,4,100.0,27.47733029526597,51.677148846960186,6.534338358458956,1.4656616415410444,历史4/4次成功; 当前距低点1.47%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
2,90.10695435212561,87.48247995352003,300409,道氏技术,bottom_area,2025-01-06,12.48,2025-01-06,12.18,2.463054187192124,4.351395730706085,27.672209026128268,False,0.6452,3.3369,6,6,6,100.0,25.151846775903593,50.03460207612457,5.536945812807876,2.463054187192124,历史6/6次成功; 当前距低点2.46%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
3,89.89269039749891,87.11683603610491,002761,浙江建投,bottom_area,2025-01-06,8.21,2025-01-06,8.02,2.369077306733183,3.491271820448892,28.392857142857142,False,0.2442,1.4229,7,7,7,100.0,22.034044599228856,43.73730534867976,5.630922693266817,2.369077306733183,历史7/7次成功; 当前距低点2.37%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
4,89.85739870400243,87.31328947152454,603185,弘元绿能,bottom_area,2025-01-06,15.54,2025-01-06,15.16,2.506596306068595,3.9577836411609475,29.651972157772622,False,1.1719,1.464,6,6,6,100.0,24.77596263097275,43.51028702057404,5.493403693931405,2.506596306068595,历史6/6次成功; 当前距低点2.51%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
5,89.70343813394867,85.52777788598208,002246,北化股份,bottom_area,2025-01-06,9.34,2025-01-06,9.2,1.521739130434789,3.695652173913042,27.38752959747435,False,-0.8493,1.5035,4,4,4,100.0,25.577113458996685,31.992687385740403,6.4782608695652115,1.521739130434789,历史4/4次成功; 当前距低点1.52%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
6,89.53985987237526,86.84394109043308,002777,久远银海,bottom_area,2025-01-06,15.72,2025-01-06,15.35,2.410423452768736,3.5830618892508186,28.504890544946438,False,0.2551,1.943,5,5,5,100.0,21.07369119755796,51.99999999999999,5.589576547231264,2.410423452768736,历史5/5次成功; 当前距低点2.41%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
7,89.26661543599386,84.91214639033564,300520,科大国创,bottom_area,2025-01-06,20.28,2025-01-06,20.0,1.4000000000000057,4.0000000000000036,31.342258839684174,False,-2.2179,4.3753,4,4,4,100.0,20.774980593202418,32.59013282732449,6.599999999999994,1.4000000000000057,历史4/4次成功; 当前距低点1.40%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
8,88.68885028565289,84.39731963825977,603305,旭升集团,bottom_area,2025-01-06,12.13,2025-01-06,11.96,1.4214046822742468,4.347826086956518,31.65714285714285,False,-0.9796,1.1637,5,5,5,100.0,18.26947480561853,32.41061130334487,6.578595317725753,1.4214046822742468,历史5/5次成功; 当前距低点1.42%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
9,88.68605382052638,84.00252645591677,002657,中科金财,bottom_area,2025-01-06,16.3,2025-01-06,16.11,1.1793916821849861,4.779639975170699,27.004984141368375,False,-2.5702,4.7096,3,3,3,100.0,29.84698651235768,56.540447504302946,6.820608317815013,1.1793916821849861,历史3/3次成功; 当前距低点1.18%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
10,88.26759664043536,84.16340962109669,300342,天银机电,bottom_area,2025-01-06,14.65,2025-01-06,14.43,1.5246015246015292,4.365904365904372,28.986220472440948,False,-1.4795,3.1854,4,4,4,100.0,18.276887619291326,26.68539325842696,6.475398475398471,1.5246015246015292,历史4/4次成功; 当前距低点1.52%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
11,87.92215116026814,83.74062206879105,300663,科蓝软件,bottom_area,2025-01-06,15.22,2025-01-06,15.0,1.466666666666671,3.9333333333333322,29.544387036167212,False,-1.8065,3.8148,2,2,2,100.0,48.62700036984445,76.77304964539006,6.53333333333333,1.466666666666671,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
